address,name,keyword,latitude,longitude,areacode
대구광역시 동구 갓바위로 350,관암사,"['관광', '인문', '역사관광지', '사찰']",35.9775409155,128.7333808444,대구
대구광역시 동구 둔산로 535,관음사,"['관광', '인문', '역사관광지', '사찰']",35.9189546191,128.6651523890,대구
대구광역시 북구 구암로21길 41,구천서원,"['관광', '인문', '역사관광지', '유적지/사적지']",35.9361894770,128.5526340486,대구
대구광역시 달서구 공원순환로 213,금용사,"['관광', '인문', '역사관광지', '사찰']",35.8477246420,128.5605830316,대구
대구광역시 중구 남산로4길 112,남산동 가톨릭타운,"['관광', '인문', '체험관광지', '이색거리']",35.8598737703,128.5878969540,대구
대구광역시 달성군 가창면 남지장사길 127,남지장사,"['관광', '인문', '역사관광지', '사찰']",35.7351497188,128.6276080315,대구
대구광역시 중구 서성로 10,대구 계산동성당,"['관광', '인문', '역사관광지', '종교성지']",35.8679756281,128.5877689624,대구
대구광역시 동구 효목동,대구 고모령비,"['관광', '인문', '건축/조형물', '기념탑/기념비/전망대']",35.8773591657,128.6563571036,대구
대구광역시 동구 동촌역사로3길 35,대구 구 동촌역사,"['관광', '인문', '역사관광지', '유적지/사적지']",35.8901603738,128.6498350987,대구
대구광역시 중구 경상감영길 99,대구 근대골목,"['관광', '인문', '체험관광지', '이색거리']",35.8720863580,128.5923156699,대구
대구광역시 달서구 성서공단로 52,대구 녹색에너지체험관,"['관광', '인문', '산업관광지', '기타']",35.8346303496,128.4881842177,대구
대구광역시 중구 달성공원로 35,대구 달성공원,"['관광', '인문', '휴양관광지', '공원']",35.8734025733,128.5759198549,대구
대구광역시 달성군 다사읍 죽곡리,대구 달성습지,"['관광', '자연', '자연관광지', '자연생태관광지']",35.8409875753,128.4670442386,대구
대구광역시 동구 도평로,대구 도동 측백나무 숲,"['관광', '자연', '자연관광지', '수목원']",35.9182241168,128.6635775484,대구
대구광역시 중구 동성로2길 27,대구 동성로거리,"['관광', '인문', '체험관광지', '이색거리']",35.8702143803,128.5940850103,대구
대구광역시 동구 불로동,대구 불로동 고분군,"['관광', '인문', '역사관광지', '유적지/사적지']",35.9145547565,128.6456570076,대구
대구광역시 달성군 가창면 가창로 891,대구 스파밸리,"['관광', '인문', '휴양관광지', '온천/욕장/스파']",35.7881605357,128.6353392148,대구
대구광역시 중구 달구벌대로415길 49,대구 약령시 한의약박물관,"['관광', '인문', '산업관광지', '기타']",35.8685339382,128.5899076470,대구
대구광역시 중구 인교동,대구 오토바이골목,"['관광', '인문', '체험관광지', '이색거리']",35.8722695138,128.5838136357,대구
대구광역시 동구 둔산동,대구 옻골마을,"['관광', '인문', '역사관광지', '민속마을']",35.9065508628,128.6864647477,대구
대구광역시 북구 태평로 161,대구 중구 골목투어버스 ,"['관광', '인문', '체험관광지', '이색체험']",35.8758943303,128.5961291167,대구
대구광역시 중구 진골목길 26,대구 진골목,"['관광', '인문', '체험관광지', '이색거리']",35.8686534227,128.5928073889,대구
대구광역시 동구 아양로9길 10,대구 평화시장 닭똥집 골목,"['관광', '인문', '체험관광지', '이색거리']",35.8833661337,128.6192824239,대구
대구광역시 북구 노곡동 665,대구 하중도,"['관광', '자연', '자연관광지', '섬']",35.9007936200,128.5598788398,대구
대구광역시 동구 동대구로 461,대구경북디자인센터,"['관광', '인문', '산업관광지', '기타']",35.8714286996,128.6248600431,대구
대구광역시 달서구 두류공원로 161,대구두류공원,"['관광', '인문', '휴양관광지', '공원']",35.8500105518,128.5637104699,대구
대구광역시 수성구 팔현길 248,대구부수성비,"['관광', '인문', '역사관광지', '유적지/사적지']",35.8753566453,128.6580042373,대구
대구광역시 동구 팔공로 227,대구섬유박물관,"['관광', '인문', '산업관광지', '기타']",35.9191096976,128.6403017970,대구
대구광역시 달서구 화암로 342,대구수목원,"['관광', '자연', '자연관광지', '수목원']",35.8007431029,128.5200295717,대구
대구광역시 동구 팔공산로 1155,대구시민안전테마파크,"['관광', '인문', '체험관광지', '이색체험']",35.9891527182,128.6919230606,대구
대구광역시 남구 앞산순환로 574-87,대구앞산공원,"['관광', '인문', '휴양관광지', '공원']",35.8290189503,128.5890560428,대구
대구광역시 중구 국채보상로102길 50,대구제일교회,"['관광', '인문', '역사관광지', '종교성지']",35.8683617281,128.5895493503,대구
대구광역시 중구 명륜로 112,대구향교,"['관광', '인문', '역사관광지', '유적지/사적지']",35.8597517110,128.5959906893,대구
대구광역시 중구 북성로 19-1,대성사,"['관광', '인문', '역사관광지', '사찰']",35.8737887990,128.5845024217,대구
대구광역시 수성구 청호로46길 5-3,덕산서원,"['관광', '인문', '역사관광지', '유적지/사적지']",35.8390493209,128.6405817836,대구
대구광역시 동구 동화사1길 1,동화사,"['관광', '인문', '역사관광지', '사찰']",35.9903555744,128.7034886742,대구
대구광역시 동구 팔공로 220-2,땅땅랜드,"['관광', '인문', '체험관광지', '이색체험']",35.9175265690,128.6416906077,대구
대구광역시 동구 효신로 88,바운스 트램폴린파크,"['관광', '인문', '체험관광지', '이색체험']",35.8793946049,128.6324702620,대구
