address,name,keyword,latitude,longitude,areacode
광주광역시 남구 사직길 49,광주 경찰충혼탑,"['관광', '인문', '건축/조형물', '기념탑/기념비/전망대']",35.1425419960,126.9155968119,광주
경기도 광주시 곤지암읍 경충대로 727,광주 곤지암도자공원,"['관광', '인문', '휴양관광지', '테마공원']",37.3520659710,127.3272620740,광주
경기도 광주시 도척면 추곡길 38,광주 산두른마을 [농촌전통테마],"['관광', '인문', '체험관광지', '농.산.어촌 체험']",37.2792598597,127.2913729464,광주
광주광역시 서구 동하길 10,광주 서구 8경,"['관광', '인문', '역사관광지', '유적지/사적지']",35.1207264135,126.8338490284,광주
광주광역시 광산구 광산로29번길,광주 송정동 떡갈비 골목,"['관광', '인문', '체험관광지', '이색거리']",35.1397152706,126.7943076079,광주
광주광역시 동구 예술길 24,광주 예술의 거리,"['관광', '인문', '체험관광지', '이색거리']",35.1498078933,126.9186491379,광주
광주광역시 북구 우치로 677,광주 우치공원 동물원,"['관광', '인문', '휴양관광지', '테마공원']",35.2235741448,126.8940800160,광주
경기도 광주시 남한산성면 해공로 91,광주 조선백자 요지,"['관광', '인문', '역사관광지', '민속마을']",37.4466622817,127.2686396996,광주
광주광역시 북구 충효샘길 7,광주 충효동 왕버들 군,"['관광', '자연', '관광자원', '희귀동.식물']",35.1841776330,127.0011659808,광주
광주광역시 북구 풍암제길 14,광주 충효동 요지,"['관광', '인문', '역사관광지', '유적지/사적지']",35.1674711376,126.9983333183,광주
광주광역시 북구 평촌길 15,광주 평촌마을,"['관광', '인문', '체험관광지', '농.산.어촌 체험']",35.1756287576,127.0105542557,광주
광주광역시 남구 백서로 13,광주 3·1 만세운동 기념비,"['관광', '인문', '역사관광지', '유적지/사적지']",35.1367619930,126.9096947007,광주
광주광역시 남구 중앙로107번길 15,광주공원,"['관광', '인문', '휴양관광지', '공원']",35.1468969300,126.9079362685,광주
광주광역시 남구 중앙로107번길 15,광주공원 사적비군,"['관광', '인문', '역사관광지', '유적지/사적지']",35.1472246955,126.9093972429,광주
