address,name,keyword,latitude,longitude,areacode
인천광역시 중구 제물량로218번길 3,구 일본우선,"['관광', '인문', '건축/조형물', '유명건물']",37.4728532152,126.6206396146,인천
인천광역시 중구 하나개로,국사봉,"['관광', '자연', '자연관광지', '산']",37.3915424097,126.4159383165,인천
인천광역시 중구 우현로67번길 57,동인천 삼치거리,"['관광', '인문', '체험관광지', '이색거리']",37.4757224674,126.6286721359,인천
인천광역시 남동구 풀무로 48,약사사,"['관광', '인문', '역사관광지', '사찰']",37.4718466279,126.7128701186,인천
인천광역시 중구 운남로 199-1,용궁사,"['관광', '인문', '역사관광지', '사찰']",37.4971570919,126.5279807341,인천
인천광역시 서구 도요지로 54,인천 경서동 녹청자 요지,"['관광', '인문', '역사관광지', '유적지/사적지']",37.5582466915,126.6562562094,인천
인천광역시 서구 도요지로 54,인천 녹청자박물관,"['관광', '인문', '산업관광지', '기타']",37.5582466915,126.6562562094,인천
인천광역시 중구 우현로50번길 2,인천 답동성당,"['관광', '인문', '역사관광지', '종교성지']",37.4710924729,126.6299554804,인천
인천광역시 서구 새오개로68번길 15-47,인천 신현동 회화나무,"['관광', '자연', '관광자원', '희귀동.식물']",37.5165100769,126.6674119100,인천
인천광역시 중구 차이나타운로59번길 20,인천 차이나타운,"['관광', '인문', '체험관광지', '이색거리']",37.4738502955,126.6191619441,인천
인천광역시 옹진군 북도면 신도로 577,인천 푸른벗말,"['관광', '인문', '체험관광지', '농.산.어촌 체험']",37.5286466783,126.4598860859,인천
인천광역시 동구 화평로,인천 화평동 세숫대야 냉면 거리,"['관광', '인문', '체험관광지', '이색거리']",37.4785193793,126.6295164248,인천
인천광역시 중구 제2터미널대로 446,인천국제공항 제2여객터미널,"['관광', '인문', '산업관광지', '기타']",37.4784546859,126.4250156573,인천
인천광역시 동구 우각로 57,인천기독교사회복지관,"['관광', '인문', '역사관광지', '유적지/사적지']",37.4706816068,126.6411378044,인천
인천광역시 부평구 평천로 26-47,인천나비공원,"['관광', '인문', '휴양관광지', '공원']",37.5202545329,126.6926983872,인천
인천광역시 중구 개항로45번길 21-32,인천내동성공회성당,"['관광', '인문', '역사관광지', '종교성지']",37.4739837596,126.6274500730,인천
인천광역시 남동구 무네미로 236,인천대공원,"['관광', '인문', '휴양관광지', '공원']",37.4576739190,126.7492727502,인천
인천광역시 남동구 무네미로 236,인천대공원 반려동물 놀이터,"['관광', '인문', '휴양관광지', '공원']",37.4577461335,126.7493033010,인천
인천광역시 중구 인천대교고속도로 3,인천대교,"['관광', '인문', '건축/조형물', '다리/대교']",37.4256657486,126.5476448037,인천
인천광역시 미추홀구 매소홀로 589,인천도호부청사,"['관광', '인문', '역사관광지', '유적지/사적지']",37.4393638299,126.6868011769,인천
경상남도 하동군 북천면 중촌길 51-22,인천서원,"['관광', '인문', '역사관광지', '유적지/사적지']",35.1279628829,127.8704964086,인천
인천광역시 중구 제물량로 183,인천우체국,"['관광', '인문', '역사관광지', '유적지/사적지']",37.4700591426,126.6233172260,인천
인천광역시 중구 신포로27번길 80,인천중구청,"['관광', '인문', '역사관광지', '유적지/사적지']",37.4736836892,126.6214950690,인천
인천광역시 중구 월미로 376,인천항 갑문,"['관광', '자연', '자연관광지', '항구/포구']",37.4667897312,126.6036330015,인천
인천광역시 중구 월미로 376,인천항 갑문홍보관,"['관광', '인문', '산업관광지', '기타']",37.4671063698,126.6041412796,인천
인천광역시 연수구 국제항만대로 438,인천항크루즈터미널,"['관광', '인문', '휴양관광지', '유람선/잠수함관광']",37.4251776902,126.5916880215,인천
인천광역시 미추홀구 매소홀로 589,인천향교,"['관광', '인문', '역사관광지', '유적지/사적지']",37.4393638299,126.6868011769,인천
인천광역시 중구 자유공원남로 25,자유공원,"['관광', '인문', '휴양관광지', '공원']",37.4746280419,126.6225060621,인천
인천광역시 강화군 강화읍 청하동길36번길 62,청수암,"['관광', '인문', '역사관광지', '사찰']",37.7419776519,126.4755231711,인천
인천광역시 중구 영종해안남로321번길 186,파라다이스 씨티 씨메르,"['관광', '인문', '휴양관광지', '온천/욕장/스파']",37.4373461143,126.4557445366,인천
인천광역시 연수구 청량로46번길 38,흥륜사,"['관광', '인문', '역사관광지', '사찰']",37.4169742897,126.6599598009,인천
인천광역시 중구 신포로23번길 77,,"['관광', '인문', '역사관광지', '유적지/사적지']",37.4729671013,126.6212340020,인천
인천광역시 서구 고산후로121번길 7,인천 검단선사박물관,"['문화', '인문', '문화시설', '박물관']",37.5944210109,126.6986402152,인천
인천광역시 계양구 계양산로134번길 18,인천 계양도서관,"['문화', '인문', '문화시설', '도서관']",37.5460438645,126.7301609134,인천
인천광역시 부평구 경원대로 1191,인천 부평도서관,"['문화', '인문', '문화시설', '도서관']",37.4849755107,126.7045538444,인천
인천광역시 부평구 굴포로 151,인천 부평문화원,"['문화', '인문', '문화시설', '문화원']",37.5121201677,126.7378611598,인천
인천광역시 서구 건지로334번길 45,인천 서구도서관,"['문화', '인문', '문화시설', '도서관']",37.4943406472,126.6796003048,인천
인천광역시 중구 축항대로296번길 81,인천 중구문화원,"['문화', '인문', '문화시설', '문화원']",37.4401904974,126.6293286174,인천
인천광역시 동구 화도진로 122,인천 화도진도서관,"['문화', '인문', '문화시설', '도서관']",37.4818328626,126.6283497735,인천
인천광역시 중구 신포로23번길 89,인천개항박물관,"['문화', '인문', '문화시설', '박물관']",37.4760583605,126.6185036096,인천
인천광역시 남동구 인주대로776번길 53,인천광역시 미추홀도서관,"['문화', '인문', '문화시설', '도서관']",37.4470386108,126.7248308295,인천
인천광역시 부평구 길주로 539,인천광역시 여성문화회관,"['문화', '인문', '문화시설', '공연장']",37.5079981448,126.7220738262,인천
인천광역시 남동구 정각로 9,인천광역시 중앙도서관,"['문화', '인문', '문화시설', '도서관']",37.4562843746,126.7031103304,인천
인천광역시 부평구 신트리로 21,인천광역시교육청북구도서관,"['문화', '인문', '문화시설', '도서관']",37.5066566520,126.7230848824,인천
인천광역시 연수구 청량로160번길 26,인천광역시립박물관,"['문화', '인문', '문화시설', '박물관']",37.4207237343,126.6531380962,인천
인천광역시 남동구 무네미로 236,인천대공원 목재문화체험장,"['문화', '인문', '문화시설', '전시관']",37.4577461335,126.7493033010,인천
인천광역시 연수구 인천타워대로 238,인천도시역사관,"['문화', '인문', '문화시설', '전시관']",37.3928266701,126.6358737757,인천
인천광역시 동구 솔빛로 82,인천동구청소년수련관,"['문화', '인문', '문화시설', '문화원']",37.4760504522,126.6425597485,인천
인천광역시 남동구 예술로 149,인천문화예술회관,"['문화', '인문', '문화시설', '공연장']",37.4476131053,126.7000330745,인천
인천광역시 연수구 청량로 138,인천상륙작전기념관,"['문화', '인문', '문화시설', '기념관']",37.4195655542,126.6542046978,인천
인천광역시 서구 서달로 190,인천서구문화회관,"['문화', '인문', '문화시설', '공연장']",37.5158048243,126.6799218995,인천
인천광역시 미추홀구 수봉안길 78,인천수봉문화회관,"['문화', '인문', '문화시설', '공연장']",37.4615191552,126.6622472444,인천
인천광역시 중구 제물량로218번길 3,인천아트플랫폼,"['문화', '인문', '문화시설', '공연장']",37.4755917487,126.6185425080,인천
인천광역시 계양구 방축로 21,인천어린이과학관,"['문화', '인문', '문화시설', '전시관']",37.5516350563,126.7400265233,인천
인천광역시 미추홀구 매소홀로 618,인천어린이박물관,"['문화', '인문', '문화시설', '박물관']",37.4365614435,126.6905342474,인천
인천광역시 미추홀구 경인로 391,인천음악문화원,"['문화', '인문', '문화시설', '공연장']",37.4585587644,126.6835453846,인천
인천광역시 미추홀구 구월남로 27,인천주안도서관,"['문화', '인문', '문화시설', '도서관']",37.4554592893,126.6928668431,인천
인천광역시 미추홀구 수봉안길 84,인천통일관,"['문화', '인문', '문화시설', '전시관']",37.4598249258,126.6632805309,인천
인천광역시 중구 영종대로277번길 74-10,인천학생과학관,"['문화', '인문', '문화시설', '전시관']",37.4906880282,126.5067939592,인천
인천광역시 중구 자유공원로 12,인천학생교육문화회관,"['문화', '인문', '문화시설', '공연장']",37.4757391504,126.6296831541,인천
인천광역시 동구 송현동 100,동인천 낭만시장 2019,"['축제/공연/행사', '인문', '축제', '일반축제']",37.4767752107,126.6336383200,인천
인천광역시 중구 신포로27번길 80,인천 개항장 문화재 야행 2020,"['축제/공연/행사', '인문', '축제', '일반축제']",37.4737642366,126.6215617279,인천
인천광역시 연수구 센트럴로 123 송도컨벤시아,인천 보드게임 페스티벌 2019,"['축제/공연/행사', '인문', '축제', '일반축제']",37.3890356252,126.6461951621,인천
인천광역시 중구 공항로 272,인천공항 겨울 정기공연 2019,"['축제/공연/행사', '인문', '공연/행사', '기타행사']",37.4583320727,126.4276798563,인천
인천광역시 중구 공항로 272,인천공항 T1 문화예술 상설공연 2019,"['축제/공연/행사', '인문', '공연/행사', '기타행사']",37.4493113037,126.4508002142,인천
인천광역시 중구 공항로 272,인천공항 T1 문화예술_2019 인천공항 여름 정기공연 'TIMELESS Summer Concert' 2019,"['축제/공연/행사', '인문', '공연/행사', '기타행사']",37.4584042866,126.4277104062,인천
인천광역시 연수구 센트럴로 123,인천과학대제전 2019,"['축제/공연/행사', '인문', '축제', '일반축제']",37.3889717474,126.6463951460,인천
인천광역시 서구 장고개로231번길 9,인천국제디자인페어 2019,"['축제/공연/행사', '인문', '공연/행사', '기타행사']",37.4865831860,126.6779256729,인천
인천광역시 남동구 예술로 198,인천여성영화제 2020,"['축제/공연/행사', '인문', '축제', '일반축제']",37.4517904324,126.7019744481,인천
인천광역시 연수구 센트럴로 123,인천카페앤디저트쇼 2019,"['축제/공연/행사', '인문', '축제', '일반축제']",37.3881940453,126.6455646871,인천
인천광역시 남동구 무네미로 236,함께 걷자 인천 페스타 2019,"['축제/공연/행사', '인문', '축제', '일반축제']",37.4576739190,126.7492727502,인천
인천광역시 연수구 센트럴로 350,[문화관광축제] 인천 펜타포트 락 페스티벌 2020,"['축제/공연/행사', '인문', '축제', '문화관광축제']",37.4078332011,126.6324847807,인천
인천광역시 남동구 구월로 251,인천 올림픽기념국민생활관,"['레포츠', '레포츠', '육상 레포츠', '스포츠센터']",37.4574289656,126.7189116357,인천
인천광역시 미추홀구 경인로42번길 23,인천광역시 미추홀구 청소년수련관,"['레포츠', '레포츠', '육상 레포츠', '수련시설']",37.4634020343,126.6489261854,인천
인천광역시 서구 도요지로 37,인천국제컨트리클럽,"['레포츠', '레포츠', '육상 레포츠', '골프']",37.5628073348,126.6598002023,인천
인천광역시 남동구 무네미로 238,인천대공원 사계절썰매장,"['레포츠', '레포츠', '육상 레포츠', '썰매장']",37.4585766392,126.7519391488,인천
인천광역시 미추홀구 매소홀로 618,인천문학경기장,"['레포츠', '레포츠', '육상 레포츠', '경기장']",37.4366169207,126.6864651730,인천
인천광역시 서구 심곡로 166,인천서구 사계절썰매장,"['레포츠', '레포츠', '육상 레포츠', '썰매장']",37.5471207190,126.6851205507,인천
인천광역시 서구 봉수대로 806,인천아시아드 주경기장 연희크리켓경기장,"['레포츠', '레포츠', '육상 레포츠', '경기장']",37.5452400279,126.6651113190,인천
인천광역시 서구 봉수대로 806,인천아시아드주경기장,"['레포츠', '레포츠', '육상 레포츠', '경기장']",37.5452400279,126.6651113190,인천
인천광역시 중구 영종해안남로321번길 208,파라다이스 카지노 인천공항점,"['레포츠', '레포츠', '육상 레포츠', '카지노']",37.4405152207,126.4574776244,인천
인천광역시 중구 제물량로 269,[인천 개항 누리길] 1시간 코스,"['레포츠', '레포츠', '육상 레포츠', '트래킹']",37.4766471560,126.6171037210,인천
인천광역시 중구 제물량로 269,[인천 개항 누리길] 2시간 코스,"['레포츠', '레포츠', '육상 레포츠', '트래킹']",37.4767665832,126.6169092911,인천
인천광역시 중구 제물량로 269,[인천 개항 누리길] 3시간 코스,"['레포츠', '레포츠', '육상 레포츠', '트래킹']",37.4766471560,126.6171037210,인천
