address,name,keyword,latitude,longitude,areacode
제주특별자치도 제주시 관덕로 19,관덕정,"['관광', '인문', '역사관광지', '유적지/사적지']",33.5132954930,126.5219701925,제주
제주특별자치도 제주시 산록북로 660,관음사,"['관광', '인문', '역사관광지', '사찰']",33.4237615317,126.5581440803,제주
제주특별자치도 제주시 구좌읍 김녕로 148-11,금룡사,"['관광', '인문', '역사관광지', '사찰']",33.5539724801,126.7536019143,제주
제주특별자치도 서귀포시 남원읍 태위로 522-12,금호리조트 제주아쿠아나,"['관광', '인문', '휴양관광지', '온천/욕장/스파']",33.2737526275,126.7028238197,제주
제주특별자치도 서귀포시 성산읍 제성로,남제주 억새오름길,"['관광', '자연', '자연관광지', '자연생태관광지']",33.4498916019,126.8809960343,제주
제주특별자치도 서귀포시 표선면 번영로 2644,다이나믹 메이즈 ,"['관광', '인문', '체험관광지', '이색체험']",33.3990984383,126.7847499840,제주
제주특별자치도 제주시 구좌읍 만장굴길 182,만장굴 ,"['관광', '자연', '자연관광지', '동굴']",33.5280478463,126.7706788052,제주
제주특별자치도 제주시 조천읍 신흥로1길 24-14,방사탑,"['관광', '인문', '역사관광지', '유적지/사적지']",33.5481992429,126.6507304273,제주
제주특별자치도 제주시 독짓골8길 26,보덕사,"['관광', '인문', '역사관광지', '사찰']",33.4917036061,126.5324919902,제주
제주특별자치도 제주시 사라봉동길 61,보림사,"['관광', '인문', '역사관광지', '사찰']",33.5175093027,126.5462929822,제주
제주특별자치도 제주시 원당로16길 41,불탑사,"['관광', '인문', '역사관광지', '사찰']",33.5291588377,126.5978743444,제주
제주특별자치도 제주시 1100로 3047,브릭캠퍼스 제주,"['관광', '인문', '휴양관광지', '테마공원']",33.4585759664,126.4853023976,제주
제주특별자치도 서귀포시 안덕면 산방로,산방굴사,"['관광', '인문', '역사관광지', '사찰']",33.2372949367,126.3135722702,제주
제주특별자치도 서귀포시 안덕면 산방로 218-10,산방산,"['관광', '자연', '자연관광지', '산']",33.2362672397,126.3115002498,제주
제주특별자치도 서귀포시 남원읍 태위로510번길 42,선광사,"['관광', '인문', '역사관광지', '사찰']",33.2726999126,126.6994907989,제주
제주특별자치도 제주시 조천읍,선흘곶자왈 ,"['관광', '자연', '자연관광지', '수목원']",33.5166288016,126.7170420573,제주
제주특별자치도 서귀포시 이어도로 293-28,약천사,"['관광', '인문', '역사관광지', '사찰']",33.2453656306,126.4496741720,제주
제주특별자치도 서귀포시 서흥동,외돌개,"['관광', '자연', '관광자원', '기암괴석']",33.2402621646,126.5462159180,제주
제주특별자치도 제주시 애월읍 하귀동남2길 40-16,월영사,"['관광', '인문', '역사관광지', '사찰']",33.4778338147,126.4140192709,제주
제주특별자치도 제주시 아연로 216-5,월정사,"['관광', '인문', '역사관광지', '사찰']",33.4667615657,126.5100972799,제주
