address,name,keyword,latitude,longitude,areacode
서울특별시 종로구 율곡로23길 16,감로암,"['관광', '인문', '역사관광지', '사찰']",37.5753148419,127.0066015446,Seoul
서울특별시 성북구 개운사길 73,개운사,"['관광', '인문', '역사관광지', '사찰']",37.5899857439,127.0280213987,Seoul
서울특별시 성북구 보국문로 113-10,경국사,"['관광', '인문', '역사관광지', '사찰']",37.6145602435,127.0045728379,Seoul
서울특별시 서초구 바우뫼로7길 111,관문사,"['관광', '인문', '역사관광지', '사찰']",37.4737408098,127.0222641043,Seoul
서울특별시 관악구 승방1길 109-80,관음사,"['관광', '인문', '역사관광지', '사찰']",37.4676601403,126.9765239933,Seoul
서울특별시 종로구 동숭길 3,구 서울대학교 본관,"['관광', '인문', '역사관광지', '유적지/사적지']",37.5798947977,127.0028545340,Seoul
서울특별시 서초구 염곡동,구룡산,"['관광', '자연', '자연관광지', '산']",37.4690781677,127.0615995465,Seoul
서울특별시 동작구 현충로 210,국립서울현충원,"['관광', '인문', '역사관광지', '유적지/사적지']",37.5013561691,126.9732511193,Seoul
서울특별시 중랑구 망우로91길 98,극락사,"['관광', '인문', '역사관광지', '사찰']",37.6047383453,127.1133520931,Seoul
서울특별시 종로구 비봉길 137,금선사,"['관광', '인문', '역사관광지', '사찰']",37.6207780461,126.9534467684,Seoul
서울특별시 성북구 선잠로5길 68,길상사,"['관광', '인문', '역사관광지', '사찰']",37.5990951960,126.9946241836,Seoul
서울특별시 중구 삼일대로 231,남산공원,"['관광', '인문', '휴양관광지', '공원']",37.5557113068,126.9922506300,Seoul
서울특별시 용산구 남산공원길 105,남산서울타워,"['관광', '인문', '건축/조형물', '기념탑/기념비/전망대']",37.5511089858,126.9878983791,Seoul
서울특별시 용산구 남산공원길 105,남산서울타워 한복문화체험관,"['관광', '인문', '체험관광지', '전통체험']",37.5511312042,126.9878594933,Seoul
서울특별시 성북구 보국문로 262-151,내원사,"['관광', '인문', '역사관광지', '사찰']",37.6267614100,126.9938929098,Seoul
서울특별시 종로구 인사동길 12,다이나믹 메이즈 ,"['관광', '인문', '체험관광지', '이색체험']",37.5718843365,126.9872034096,Seoul
서울특별시 동작구 서달로 50-26,달마사,"['관광', '인문', '역사관광지', '사찰']",37.4985229748,126.9626521644,Seoul
서울특별시 서초구 남부순환로328길 49,대성사,"['관광', '인문', '역사관광지', '사찰']",37.4759903902,127.0134398431,Seoul
서울특별시 중구 서소문로9길 14,대한민국 임시정부 서울연통부 터,"['관광', '인문', '역사관광지', '유적지/사적지']",37.5631989276,126.9700829938,Seoul
서울특별시 중구 세종대로21길 15,대한성공회 서울주교좌성당,"['관광', '인문', '역사관광지', '종교성지']",37.5671457978,126.9760490054,Seoul
서울특별시 중구 세종대로 39,대한제국군 서울시가 전투지,"['관광', '인문', '역사관광지', '유적지/사적지']",37.5607020615,126.9737577300,Seoul
서울특별시 강북구 삼양로173길 504,도선사,"['관광', '인문', '역사관광지', '사찰']",37.6552274686,126.9897341460,Seoul
서울특별시 송파구 올림픽로 300,롯데월드타워 서울스카이,"['관광', '인문', '건축/조형물', '기념탑/기념비/전망대']",37.5136209882,127.1042832896,Seoul
서울특별시 도봉구 도봉산길 92-4,만월암,"['관광', '인문', '역사관광지', '사찰']",37.6899045434,127.0204970175,Seoul
서울특별시 중랑구 망우동 산 69-1,망우산,"['관광', '자연', '자연관광지', '산']",37.5942810870,127.1056030968,Seoul
서울특별시 종로구 종로63가길 31,묘각사,"['관광', '인문', '역사관광지', '사찰']",37.5754261586,127.0187670996,Seoul
서울특별시 종로구 비봉2길 304,문수사,"['관광', '인문', '역사관광지', '사찰']",37.6313049428,126.9725891680,Seoul
서울특별시 중구 통일로 1,문화역 서울 284,"['관광', '인문', '체험관광지', '이색체험']",37.5560136788,126.9716025029,Seoul
서울특별시 서대문구 백련사길 170-43,백련사,"['관광', '인문', '역사관광지', '사찰']",37.5862038214,126.9273751252,Seoul
서울특별시 강북구 4.19로20길 142,백련사,"['관광', '인문', '역사관광지', '사찰']",37.6470369314,126.9995223749,Seoul
서울특별시 강북구 삼양로145길 176,보광사 보광선원,"['관광', '인문', '역사관광지', '사찰']",37.6500533176,127.0034858166,Seoul
서울특별시 용산구 장문로15나길 6,보광사,"['관광', '인문', '역사관광지', '사찰']",37.5271063892,126.9973954154,Seoul
서울특별시 성북구 보문사길 20,보문사,"['관광', '인문', '역사관광지', '사찰']",37.5842111903,127.0155032589,Seoul
서울특별시 강북구 삼각산로 1,본원정사,"['관광', '인문', '역사관광지', '사찰']",37.6372881685,127.0052887931,Seoul
서울특별시 성북구 정릉로 202,봉국사,"['관광', '인문', '역사관광지', '사찰']",37.6057001931,127.0062951545,Seoul
서울특별시 서대문구 봉원사길 120,봉원사,"['관광', '인문', '역사관광지', '사찰']",37.5723974448,126.9469959488,Seoul
서울특별시 강남구 봉은사로 531,봉은사,"['관광', '인문', '역사관광지', '사찰']",37.5158782211,127.0577485719,Seoul
서울특별시 중랑구 신내로21길,봉화산,"['관광', '자연', '자연관광지', '산']",37.6086568514,127.0866155277,Seoul
서울특별시 강북구 월계로 173,북서울 꿈의숲,"['관광', '인문', '휴양관광지', '공원']",37.6233876457,127.0407498436,Seoul
서울특별시 성북구 보국문로 262,북한산국립공원,"['관광', '자연', '자연관광지', '국립공원']",37.6215453578,126.9943263511,Seoul
서울특별시 성동구 서울숲2길 32-14,브릭캠퍼스 서울,"['관광', '인문', '휴양관광지', '테마공원']",37.5457800267,127.0423491255,Seoul
서울특별시 동작구 국사봉1길 235-14,사자암,"['관광', '인문', '역사관광지', '사찰']",37.4923815634,126.9370324485,Seoul
서울특별시 종로구 사직로9길 12,사직공원,"['관광', '인문', '휴양관광지', '공원']",37.5757946678,126.9690743960,Seoul
서울특별시 강북구 인수봉로23길 235,삼성암,"['관광', '인문', '역사관광지', '사찰']",37.6292195844,127.0009449741,Seoul
서울특별시 은평구 연서로54길 127,삼천사,"['관광', '인문', '역사관광지', '사찰']",37.6422783056,126.9524629145,Seoul
서울특별시 양천구 남부순환로64길 20,서서울호수공원,"['관광', '인문', '휴양관광지', '공원']",37.5274172505,126.8300634330,Seoul
서울특별시 종로구 새문안로 29,서울 경교장,"['관광', '인문', '역사관광지', '유적지/사적지']",37.5683899481,126.9677163958,Seoul
서울특별시 종로구 대학로 103,서울 경모궁지,"['관광', '인문', '역사관광지', '고택']",37.5790642609,126.9985466169,Seoul
서울특별시 성북구 안암로 145,서울 고려대학교 본관,"['관광', '인문', '역사관광지', '유적지/사적지']",37.5894664364,127.0322710260,Seoul
서울특별시 성북구 안암로 145,서울 고려대학교 중앙도서관,"['관광', '인문', '역사관광지', '유적지/사적지']",37.5898997105,127.0317877244,Seoul
서울특별시 종로구 원서동,서울 관상감 관천대,"['관광', '인문', '역사관광지', '유적지/사적지']",37.5781419576,126.9880281575,Seoul
서울특별시 중구 정동길 21-18,서울 구 러시아공사관,"['관광', '인문', '역사관광지', '유적지/사적지']",37.5684261216,126.9714160575,Seoul
서울특별시 관악구 남부순환로 2076,서울 구 벨기에영사관,"['관광', '인문', '건축/조형물', '유명건물']",37.4761175459,126.9795345921,Seoul
서울특별시 관악구 남현3길 60,서울 남현동 요지,"['관광', '인문', '역사관광지', '유적지/사적지']",37.4748538047,126.9796068440,Seoul
서울특별시 종로구 대학로 103,서울 대한의원,"['관광', '인문', '역사관광지', '유적지/사적지']",37.5808474208,127.0004019528,Seoul
서울특별시 종로구 난계로27길 84,서울 동관왕묘,"['관광', '인문', '역사관광지', '유적지/사적지']",37.5727625733,127.0184394274,Seoul
서울특별시 종로구 종로40가길 14,서울 동대문 닭한마리 골목,"['관광', '인문', '체험관광지', '이색거리']",37.5703487391,127.0058684191,Seoul
서울특별시 중구 명동길 74,서울 명동성당,"['관광', '인문', '역사관광지', '종교성지']",37.5633131117,126.9872814233,Seoul
서울특별시 송파구 올림픽로 424,서울 몽촌토성,"['관광', '인문', '역사관광지', '성']",37.5209871362,127.1229758237,Seoul
서울 종로구 성균관로 31,서울 문묘와 성균관,"['관광', '인문', '역사관광지', '유적지/사적지']",37.5855329073,126.9959633351,Seoul
서울특별시 송파구 오금로 219,서울 방이동 고분군,"['관광', '인문', '역사관광지', '유적지/사적지']",37.5081579775,127.1178488772,Seoul
서울특별시 성동구 성수동,서울 살곶이 다리,"['관광', '인문', '건축/조형물', '다리/대교']",37.5537847183,127.0459874565,Seoul
서울특별시 용산구 한강대로 182,서울 삼각지 대구탕 골목,"['관광', '인문', '체험관광지', '이색거리']",37.5344523297,126.9735279372,Seoul
서울특별시 송파구 잠실로 148,서울 삼전도비,"['관광', '인문', '역사관광지', '유적지/사적지']",37.5102657658,127.1011836669,Seoul
서울특별시 송파구 가락로11길 19-5,서울 석촌동 고분군,"['관광', '인문', '역사관광지', '유적지/사적지']",37.5019695547,127.1038336610,Seoul
서울특별시 강남구 선릉로100길 1,서울 선릉,"['관광', '인문', '역사관광지', '유적지/사적지']",37.5074206801,127.0471803291,Seoul
서울특별시 관악구 난곡로35길 28-7,서울 신림동 굴참나무,"['관광', '자연', '관광자원', '희귀동.식물']",37.4710197967,126.9169737649,Seoul
서울특별시 관악구 신림로59길 14,서울 신림동 민속순대타운,"['관광', '인문', '체험관광지', '이색거리']",37.4833519091,126.9287890094,Seoul
서울특별시 강동구 올림픽로 875,서울 암사동 유적,"['관광', '인문', '역사관광지', '유적지/사적지']",37.5605132450,127.1309239757,Seoul
서울특별시 중구 소공로 48,서울 애니메이션센터,"['관광', '인문', '산업관광지', '기타']",37.5626103024,126.9809570194,Seoul
서울특별시 중구 청파로 447-1,서울 약현성당,"['관광', '인문', '역사관광지', '종교성지']",37.5591437954,126.9674194623,Seoul
서울특별시 강서구 가양동,서울 양천고성지,"['관광', '인문', '역사관광지', '성']",37.5740425776,126.8408278075,Seoul
서울특별시 서대문구 연세로 50,서울 연세대학교 스팀슨관,"['관광', '인문', '역사관광지', '유적지/사적지']",37.5659535914,126.9381636030,Seoul
서울특별시 서대문구 연세로 50,서울 연세대학교 아펜젤러관,"['관광', '인문', '역사관광지', '유적지/사적지']",37.5659535914,126.9381636030,Seoul
서울특별시 서대문구 연세로 50,서울 연세대학교 언더우드관,"['관광', '인문', '역사관광지', '유적지/사적지']",37.5649231574,126.9383080636,Seoul
서울특별시 동대문구 홍릉길 90,서울 영휘원,"['관광', '인문', '역사관광지', '유적지/사적지']",37.5888834018,127.0451143171,Seoul
서울특별시 용산구 원효로19길 49,서울 용산신학교와 원효로 예수성심성당,"['관광', '인문', '역사관광지', '종교성지']",37.5344186461,126.9537436297,Seoul
서울특별시 종로구 우정국로 59,서울 우정총국,"['관광', '인문', '역사관광지', '유적지/사적지']",37.5744256247,126.9825759817,Seoul
서울특별시 종로구 삼일대로 464,서울 운현궁,"['관광', '인문', '역사관광지', '고궁']",37.5764588036,126.9871421746,Seoul
서울특별시 성북구 화랑로32길 146-20,서울 의릉,"['관광', '인문', '역사관광지', '유적지/사적지']",37.6035486003,127.0582349259,Seoul
서울특별시 중구 정동길 46,서울 정동교회,"['관광', '인문', '역사관광지', '종교성지']",37.5654653714,126.9723466121,Seoul
서울특별시 성북구 아리랑로19길 116,서울 정릉,"['관광', '인문', '역사관광지', '유적지/사적지']",37.6023505830,127.0063452451,Seoul
서울특별시 종로구 종로 19,서울 종로 낙지볶음 골목,"['관광', '인문', '체험관광지', '이색거리']",37.5708482131,126.9798041130,Seoul
서울특별시 노원구 화랑로 681,서울 태릉,"['관광', '인문', '역사관광지', '유적지/사적지']",37.6341401904,127.0971582841,Seoul
서울특별시 송파구 풍납동,서울 풍납동 토성,"['관광', '인문', '역사관광지', '성']",37.5375629524,127.1209255392,Seoul
서울특별시 서초구 헌인릉길 36-10,서울 헌릉,"['관광', '인문', '역사관광지', '유적지/사적지']",37.4653567754,127.0837087516,Seoul
서울특별시 금천구 시흥동,서울 호암산성,"['관광', '인문', '역사관광지', '유적지/사적지']",37.4474946828,126.9131692166,Seoul
서울특별시 용산구 효창원로 177-18,서울 효창공원,"['관광', '인문', '휴양관광지', '공원']",37.5450425860,126.9634757763,Seoul
서울특별시 중구 세종대로 110,서울광장,"['관광', '인문', '휴양관광지', '공원']",37.5657098894,126.9780155330,Seoul
서울특별시 성동구 천호대로 346,서울교통공사 차량기지 ,"['관광', '인문', '산업관광지', '자동차']",37.5625727888,127.0572306273,Seoul
서울특별시 성동구 천호대로 346,서울교통공사 차량기지 ,"['관광', '인문', '산업관광지', '자동차']",37.5625727888,127.0572306273,Seoul
서울특별시 성동구 천호대로 346,서울교통공사 ,"['관광', '인문', '체험관광지', '이색체험']",37.5625755656,127.0572167398,Seoul
경기도 용인시 처인구 양지면 죽양대로 2298-1,서울근교 찾아가는 양조장 술샘,"['관광', '인문', '체험관광지', '전통체험']",37.2335097261,127.2985846976,Seoul
