name,region,tel,keyword,photo,address,lat,lon
DGB 대구은행파크,대구 북구,053-222-3600,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0bce0470-12f3-40e4-9580-f300f136d0ed&thumb,대구 북구 고성로 191,35.8822438,128.5873807
EBS 리틀소시움,대구 북구,1899-7337,"['EBS리틀소시움', '겨울방학가볼만한곳', '경상권', '관광지', '놀이동산&테마파크']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=42bc6488-fffc-4bf0-bf83-79d842ebafd9&thumb,대구광역시 북구 유통단지로 90,35.90928476,128.61153529999999
FM테마,대구 중구,053-421-5581,"['레포츠', '여행레저', '종합레저']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=undefined&thumb,대구광역시 중구 동덕로 55,35.8670408,128.6069034
[대구올레 팔공산 1코스] 북지장사 가는 길,대구 수성구,053-985-8030,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=41f3d5a2-0cc2-46aa-b09d-8a76220e4d96&thumb,대구광역시 동구 도장길 10,35.9639625,128.6990934
[대구올레 팔공산 2코스] 한실골 가는 길,대구 수성구,053-985-8030,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=157583b8-193e-40fe-9589-e0c0f1bb5f2b&thumb,대구광역시 수성구 신천동로86안길 10,35.8619989,128.6122086
[대구올레 팔공산 3코스] 부인사 도보길,대구 수성구,053-985-8030,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7afcda8e-8e85-455f-accf-6f170f1959aa&thumb,대구광역시 수성구 신천동로86안길 14-6,35.8619027,128.61234620000002
[대구올레 팔공산 4코스] 평광동 왕건길,대구 수성구,053-985-8030,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a51954a6-19d3-430a-9379-0f6fb5e7c5d9&thumb,대구광역시 수성구 신천동로86안길 14-6,35.8619027,128.61234620000002
[대구올레 팔공산 5코스] 구암마을 가는 길,대구 수성구,053-985-8030,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d0bde173-5f91-4569-861f-ecb95cd4a7ca&thumb,대구광역시 수성구 신천동로86안길 14-6,35.8619027,128.61234620000002
[대구올레 팔공산 6코스] 단산지 가는 길,대구 수성구,053-985-8030,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9c23c517-84c4-4e98-a0c0-821be8495a9c&thumb,대구광역시 수성구 신천동로86안길 14-6,35.8619027,128.61234620000002
[대구올레 팔공산 7코스] 폭포골 가는 길,대구 동구,053-985-8030,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=48eacb2c-4dba-4d3d-9073-c60e75fed26c&thumb,대구광역시 동구 팔공산로237길 147,35.9873344,128.7097684
[대구올레 팔공산 8코스] 수태지 계곡길,대구 동구,053-985-8030,"['걷기길', '레포츠', '산책길', '산책로', '산책코스', '산책하기좋은곳', '친구와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7a195d54-d989-45ed-9438-24550cbf2fed&thumb,대구광역시 동구 동화사1길 1,35.9929105,128.7039968
가창 찐빵 골목,대구 달성군,,"['가창찐빵골목', '경상권', '관광지', '남녀노소', '맛집골목', '먹거리', '미식여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d93d3b56-6575-413a-bf3b-5b2a3b4176ae&thumb,대구광역시 달성군 가창면 가창로 1099,35.80267191,128.6221749
가창창작스튜디오&스페이스 가창,대구 달성군,053-430-1266,"['가창창작스튜디오&스페이스가창', '기차여행', '기획전시', '단체관람', '문화시설']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=051249c1-3917-49f3-9436-d48463238bd8&thumb,대구광역시 달성군 가창면 가창로57길 46,35.73770881,128.6583175
감삼못공원,대구 서구,053-663-2867,"['공원', '관광지', '노인', '산책', '산책길', '산책하기', '산책하기좋은곳', '쉼터']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=74e89b6f-d93d-426d-b597-dd9bee42026c&thumb,대구광역시 서구 서대구로3길 43,35.85864905,128.5521815
갤러리소헌,대구 중구,053-426-0621,"['문화공간', '문화시설', '문화예술', '복합문화공간', '열린문화공간', '전시', '현대미술']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=84f317f6-b39e-4ae6-930a-2b866bba696b&thumb,대구광역시 중구 봉산문화길 34,35.86165399999999,128.5980819
경북대학교박물관,대구 북구,053-950-6536,"['경북대학교박물관', '경상권', '문화시설', '박물관', '아이와함께', '예술', '전시회']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c3644099-9526-490c-9877-3885d98507a3&thumb,대구광역시 북구 대학로 80,35.88909749,128.6143223
경북동해안지질공원(영덕),대구 북구,053-950-7996,"['걷기길', '경북동해안지질공원', '경상권', '관광지', '생태관광', '생태관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=14c8a59c-cc8a-4bab-808a-a7f8fe636d6a&thumb,대구광역시 북구 대학로 80,35.88556134,128.6091029
경상감영공원,대구 중구,053-254-9404,"['가족여행', '걷기여행', '경상감영공원', '관광지', '나들이', '아이와함께', '역사유적지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7d28b52b-cae6-4f75-b569-dcd5a820b2ea&thumb,대구광역시 중구 경상감영길 99,35.87198212,128.59282579999999
계명대학교 행소박물관,대구 달서구,053-580-6992,"['계명대학교행소박물관', '무료관람', '문화시설', '박물관', '수도권', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4abc27a3-441e-43f8-872b-218a2fc3c2c2&thumb,대구광역시 달서구 달구벌대로 1095,35.85355435,128.4814938
계명아트센터,대구 달서구,053-580-6600,"['경상권', '계명아트센터', '데이트코스', '문화공간', '문화시설', '문화행사', '복합문화공간']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3cd1ae3b-1a89-41fa-b780-4e9bef2810f2&thumb,대구광역시 달서구 달구벌대로 1095,35.85355435,128.4814938
고모역복합문화공간,대구 수성구,053-791-3334,"['고모역', '고모역복합문화공간', '대구', '문화시설', '복합문화공간']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4a0d9a79-a997-4d8f-8ccb-93c29f82726a&thumb,대구광역시 수성구 고모로 208,35.85823431,128.6786155
