name,region,tel,keyword,photo,address,lat,lon
(주) 교보문고,서울 종로구,1544-1900,"['교보문고', '도서관', '도심여행', '문화시설', '문화행사', '사계절', '수도권', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ccfb4934-da00-4bda-b03c-bc21e1389f54&thumb,서울특별시 종로구 종로 1,37.57305391,127.0165904
150년 수령 느티나무,서울 양천구,02-2620-3405,"['관광지', '느티나무', '수호신', '양천구', '역사속으로', '역사이야기', '자연여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=73155fdd-4caa-4086-925a-4dc52cd83dd1&thumb,서울 양천구 목4동 760-28,37.53758,126.8687506
1m아트홀,서울 종로구,1 02-766-7623,"['문화공간', '문화시설', '문화예술', '복합문화공간', '아이와함께', '열린문화공간']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=87afd8c5-f88a-424e-8b64-a276b094b7b3&thumb,서울특별시 종로구 대학로12길 31,37.58274873,127.0036077
3.1독립선언기념탑,서울 서대문구,1577-0606,"['3.1독립선언기념탑', '관광지', '사계절', '수도권', '아이와함께', '역사공부', '역사관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=eeab08cb-bf8e-4bf0-970c-b7dcd2267ed2&thumb,서울특별시 서대문구 통일로 251,37.5743009,126.95591780000001
3.1독립운동기념탑,서울 중구,1577-0606,"['3.1독립운동기념탑', '3.1운동', '3·1운동_100주년_여행지추천', '관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4932d50d-fbfb-4de9-9aa8-25dc040c0050&thumb,서울특별시 중구 장충단로 91,37.5599921,127.00534569999999
63스퀘어,서울 영등포구,02-789-5663,"['63스퀘어', '가족과함께', '관광지', '데이트코스', '복합문화공간', '서울가볼만한곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=18a56781-e3c1-4fe0-b128-7c85122cf272&thumb,서울특별시 영등포구 63로 50,37.51946470000001,126.93983259999999
63아트,서울 영등포구,02-780-6382,"['63아트', '경치좋은곳', '문화공간', '문화시설', '문화예술', '미술관', '미술작품']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=785193ad-5c15-492e-acf1-8079270c27e3&thumb,서울특별시 영등포구 63로 50,37.51966416,126.93990929999998
AHC스파,서울 강남구,02-541-8239,"['관광지', '남녀노소', '부모님과함께', '뷰티&스파', '연인과함께', '이색체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5c321dc5-f786-4be1-adfb-53af7dfcbffd&thumb,서울특별시 강남구 도산대로 237,37.5216436,127.0329814
AK플라자백화점 (구로점),서울 구로구,02-818-1000,"['AK플라자', '구로백화점', '백화점', '쇼핑']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=198e5b36-4746-4ae1-aced-a18e62f5bf83&thumb,서울특별시 구로구 구로중앙로 152,37.50116014,126.882773
CTS아트홀,서울 동작구,02-6333-2503,"['CTS아트홀', '가족여행', '도심여행', '문화시설', '상설공연', '아이와함께', '예술']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d38a96cb-b865-4de0-aaea-1c9d96f282ec&thumb,서울특별시 동작구 노량진로 100 ,37.51296927,126.9370032
