name,region,tel,keyword,photo,address,lat,lon
고복자연공원,세종 한솔동,044-300-4212,"['가족여행', '고복자연공원', '고복저수지', '관광지', '나들이', '데이트코스', '산책길']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ee50e64d-5ef6-4a37-b863-d194d7eb4051&thumb,세종특별자치시 연서면 도신고복로 586,36.59992339,127.2274386
국립세종도서관,세종 한솔동,044-900-9114,"['국립세종도서관', '문화공간', '문화시설', '복합문화공간', '사계절', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9ad2a1d0-44ad-4354-94f9-cc93f355926c&thumb,세종특별자치시 다솜3로 48,36.49882469,127.2683884
국립조세박물관,세종 한솔동,044-204-4646,"['교과서속여행', '국립조세박물관', '문화시설', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f25abad1-87cd-4061-b690-9d9fe2ba1b89&thumb,세종특별자치시 국세청로 8-14,36.48507978,127.2603064
금강대도,세종 한솔동,044-866-8787,"['관광지', '민족종교', '역사', '역사공부', '역사관광', '역사관광지', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a092764d-da4e-49cd-b3ce-55c552682c5a&thumb,세종특별자치시 금남면 금천1길 78,36.44483592,127.31486170000001
"금강자연휴양림(금강수목원,산림박물관)",세종 한솔동,041-635-7400,"['관광지', '금강수목원', '금강자연휴양림', '나홀로여행', '박물관', '산림박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=17dc9c8c-cd61-4228-b15e-59222e9e5c9f&thumb,세종특별자치시 금남면 산림박물관길 110,36.42766032,127.2335885
금남 백로 서식지,세종 한솔동,044-120,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=02bbda45-25cc-49bc-89ef-a3af6ef0ea28&thumb,세종특별자치시 금남면 감성길 45-13,36.44314819,127.2918304
금사가마골,세종 한솔동,044-301-5800,"['가족과함께', '공예체험', '공예품', '관광지', '도자기공방', '도자기체험', '이색체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=undefined&thumb,세종특별자치시 전의면 금사길 12,36.60994112,127.1714929
금이성,세종 한솔동,044-300-3444,"['관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재', '역사속']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4615e9e3-c244-416f-b845-cb3558edfac6&thumb,세종특별자치시 전동면 송성리,36.6436057,127.2136215
김종서장군묘,세종 한솔동,044-330-5832,"['관광지', '묘지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=66bf47e7-3de2-4979-aaa4-64fcbd259579&thumb,세종특별자치시 장군면 대교리,36.51720751,127.2156761
뒤웅박고을,세종 한솔동,044-868-4892,"['관광지', '기념품판매', '뒤웅박고을', '미식여행', '박물관', '아이와함께', '역사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3f5e57ed-bbb4-424a-9327-3116922c6371&thumb,세종특별자치시 전동면 배일길 90-43,36.67521955,127.2592523
