name,region,tel,keyword,photo,address,lat,lon
3.1동산,전북 임실군,063-640-2114,"['3·1운동', '3·1운동_100주년_여행지추천', '관광지', '독립운동', '만세운동']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=95726bc6-b612-484a-8ba1-05b91cf8db46&thumb,전라북도 임실군 임실읍 이도리,35.617628,127.2857628
[고창 고인돌 질마재길 1코스] 고인돌길,전북 고창군,063-560-2456,"['고인돌', '레포츠', '생태연못', '생태탐방길', '유적지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e2a34aab-2db3-486f-bd0b-b420b00934b8&thumb,전라북도 고창군 고창읍 고인돌공원길,35.442285399999996,126.6509793
[고창 고인돌 질마재길 2코스] 복분자 풍천장어길,전북 고창군,063-560-2466,"['고인돌', '레포츠', '산책코스', '생태탐방길', '풍천']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9e1ecfdc-36d8-4b44-a8ee-e9c0e800023f&thumb,전라북도 고창군 고창읍 고인돌공원길,35.442285399999996,126.6509793
[고창 고인돌 질마재길 3코스] 질마재길,전북 고창군,063-560-2456,"['국화', '레포츠', '산책코스', '소금', '소요사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b2d6f061-de16-4d23-a574-2ae1e69d435b&thumb,전라북도 고창군 고창읍 고인돌공원길,35.442285399999996,126.6509793
[고창 고인돌 질마재길 4코스] 보은길,전북 고창군,063-560-2456,"['고인돌', '레포츠', '보은', '생가', '생태탐방길', '진채선']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c9f1cfbe-234b-435b-870c-5462667b33a9&thumb,전라북도 고창군 고창읍 고인돌공원길,35.442285399999996,126.6509793
[군산 구불길] 구불1길 비단강길,전북 군산시,063-454-3303,"['구불길', '군산', '군산여행', '레포츠', '산책길']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0df56fe4-7f9f-4c64-9171-86468e2cc4ac&thumb,전라북도 군산시 금강변 일원,35.96767720000001,126.7366293
[군산 구불길] 구불2길 햇빛길,전북 군산시,063-454-3303,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bb926bf1-1ffc-44c0-9153-68d204cc8c5a&thumb,전라북도 군산시 나포면 나포리,36.0491186,126.86009009999998
[군산 구불길] 구불3길 큰들길,전북 군산시,063-454-3303,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=undefined&thumb,전라북도 군산시 성산면 깐치멀1길 27-1,35.977922,126.82278740000001
[군산 구불길] 구불4길 구슬뫼길,전북 군산시,063-454-3303,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6e422ead-6d3e-449b-9f34-417a4211e8f2&thumb,전라북도 군산시 옥산면 남내리,35.9373896,126.76446200000001
[변산 마실길 1코스] 조개미 패총길,전북 부안군,063-580-4522,"['걷기길', '걷기여행길', '걷기좋은길', '걷기코스', '레포츠', '변산마실길', '변산마실길']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8d831b23-c063-46b2-98a0-2f2c1692f0d7&thumb,전라북도 부안군 변산면,35.6634849,126.5284868
[변산 마실길 2코스] 노루목 상사화길,전북 부안군,063-580-4522,"['걷기여행길', '걷기여행데이트코스', '걷기좋은곳', '걷기좋은길', '걷기코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2031abf0-b419-432b-9772-bd1340715af5&thumb,전라북도 부안군 변산면,35.6634849,126.5284868
[변산 마실길 3코스] 적벽강 노을길,전북 부안군,063-580-4522,"['걷기길', '걷기여행', '걷기여행길', '걷기여행데이트코스', '걷기좋은곳', '레포츠']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=73aca8e6-8122-4239-9a07-0363e3d3a595&thumb,전라북도 부안군 변산면,35.6634849,126.5284868
[익산 둘레길] 함라산길,전북 익산시,063-859-5438,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=98899e6a-e095-4ef6-83ee-3e0988cd2fae&thumb,전라북도 익산시 함라면 수동길 8,36.0612814,126.9105952
[지리산 둘레길 코스] 운봉~인월,전북 남원시,063-635-0850,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7819499d-0429-4b27-bbf6-eb6fd5a3ff6a&thumb,전라북도 남원시 인월면 인월2길 95,35.45907879999999,127.6060085
[지리산 둘레길 코스] 인월~금계,전북 남원시,063-635-0850,"['걷기길', '레포츠', '전라권', '지리산둘레길코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=56bcf2d0-bb8b-4603-9846-9cf9df51910b&thumb,전라북도 남원시 인월면 인월2길 95,35.45907879999999,127.6060085
[지리산 둘레길 코스] 주천~운봉,전북 남원시,063-625-8952,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5b365835-65e6-4a69-9d1c-c648b83b0179&thumb,전라북도 남원시 주천면 정령치로,35.3864691,127.4773485
k2스키클럽,전북 무주군,2 063-322-3966,"['k2스키클럽', '겨울스포츠', '레포츠', '복합레저스포츠', '스키', '스키대여', '스키렌탈']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ef02c064-5195-47d2-8b0c-c25d93f213fd&thumb,전라북도 무주군 설천면 만선로 63,35.90749779999999,127.75570320000001
ok스키샵,전북 무주군,063-322-2218,"['ok스키샵', '겨울스포츠', '레포츠', '복합레저스포츠', '스키', '스키대여', '스키렌탈']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=95d48fb0-6021-46be-80a8-f4b456a3bbc3&thumb,전라북도 무주군 설천면 내배방길 6,35.91151160000001,127.75802639999999
가마소계곡,전북 부안군,063-580-3702,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=74d1a680-a2fe-4357-b13d-0bdf64e19933&thumb,전라북도 부안군 상서면 청림리,35.6565133,126.6209965
