name,region,tel,keyword,photo,address,lat,lon
1100고지습지,제주 서귀포시,064-710-4071,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3ea471cb-2ea3-4534-a3b4-4ab9e4375f87&thumb,제주특별자치도 서귀포시 색달동 산 1-2,33.3577741,126.46251840000001
9.81 파크,제주 제주시,981 1833-9810,"['남녀노소', '레포츠', '복합레저스포츠', '연인과함께', '이색체험', '제주도가볼만한곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a3eb8651-1be3-4bde-9f07-5a1318554677&thumb,제주특별자치도 제주시 애월읍 천덕로 880-24,33.3911825,126.36652849999999
JDC 면세점 (제주공항점),제주 제주시,064-740-9900,"['공항면세점', '관광객', '면세점', '쇼핑', '유명브랜드']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b5670072-65e1-437b-a8b0-da2a77207279&thumb,제주특별자치도 제주시 공항로 2,33.5063344,126.4952613
KBS 제주,제주 제주시,064-740-7151,"['kbs', 'KBS제주', '견학', '관광지', '문화콘텐츠산업', '방송국', '산업관광', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=10bfbee4-ff0a-4b3b-bcdc-a6ba5abb13c4&thumb,제주특별자치도 제주시 복지로1길 8,33.488025199999996,126.5263723
SOS박물관,제주 서귀포시,064-739-7707,"['SOS박물관', '가족과함께', '관광지', '교과서속여행', '교육체험', '교육프로그램']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=513a5f8e-d631-4a1a-922d-5a8a90171319&thumb,제주특별자치도 서귀포시 월드컵로 31,33.247238800000005,126.50920790000002
[제주올레 1-1코스] 우도올레,제주 제주시,064-762-2190,"['레포츠', '제주도트래킹', '제주올레', '제주올레길', '제주올레코스', '트래킹코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=39ecef0a-9c3f-4125-ba8c-8b90447f0b4b&thumb,제주특별자치도 제주시 우도면 연평리 1737-1,33.4929922,126.95186770000001
[제주올레 10-1코스] 가파도 올레,제주 서귀포시,064-762-2190,"['레포츠', '올레코스', '제주도', '트레킹']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5d69068c-38a7-4bb2-b861-a8beb4cef9c7&thumb,제주특별자치도 서귀포시 대정읍 가파로 243,33.1742353,126.27100759999999
[제주올레 10코스] 화순-모슬포 올레,제주 서귀포시,064-762-2190,"['레포츠', '올레코스', '제주도', '트레킹']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a88e314f-58c7-47e6-997b-c1cc2cab1a13&thumb,제주특별자치도 서귀포시 안덕면 화순리 776-8,33.239592200000004,126.3357689
[제주올레 11코스] 모슬포-무릉 올레,제주 서귀포시,064-762-2190,"['레포츠', '제주도트래킹', '제주올레길', '제주올레코스', '트래킹']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2babff91-a9ea-4958-bfbc-6471acfe3657&thumb,제주특별자치도 서귀포시 대정읍 하모리 2140,33.2186656,126.25289509999999
[제주올레 12코스] 무릉-용수 올레,제주 서귀포시,064-762-2190,"['레포츠', '서귀포', '올레코스', '제주도', '트레킹']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=48520a21-691e-4f27-94b7-c8ebfe6e182b&thumb,제주특별자치도 서귀포시 대정읍 노을해안로 342-5,33.252232899999996,126.1956862
[제주올레 13코스] 용수-저지 올레,제주 제주시,064-762-2190,"['레포츠', '제주도트래킹', '제주시', '제주올레길', '제주올레코스', '트래킹']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=78e84288-5d27-4ddc-bc22-7e86b8abb7f3&thumb,제주특별자치도 제주시 한경면 용수리 4241-7,33.3234271,126.16710390000001
[제주올레 14-1코스] 저지-무릉 올레,제주 제주시,064-762-2190,"['레포츠', '제주도트래킹', '제주올레', '제주올레길', '제주올레코스', '트래킹']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e2c539da-d063-4187-ac01-9cad70bfdfa8&thumb,제주특별자치도 제주시 한경면 저지리 1851-5,33.3325613,126.2563791
[제주올레 14코스] 저지-한림 올레,제주 제주시,064-762-2190,"['레포츠', '올레코스', '제주도', '트레킹']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1bb0af7d-5f8e-4a5f-9a00-56013433764c&thumb,제주특별자치도 제주시 한경면 저지리 1851-5,33.3325613,126.2563791
[제주올레 15코스] 한림-고내 올레,제주 제주시,064-762-2190,"['레포츠', '제주도트래킹', '제주시', '제주올레길', '제주올레코스', '트래킹코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=33716d01-0732-465f-a5ed-ba22f76ede40&thumb,제주특별자치도 제주시 한림읍 한림해안로 196,33.4190733,126.2626436
[제주올레 16코스] 고내-광령 올레,제주 제주시,064-762-2190,"['레포츠', '제주도트래킹', '제주올레길', '제주올레코스', '트래킹코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=032dc494-8c25-4f52-8838-04c4e3bf6e90&thumb,제주특별자치도 제주시 애월읍 고내리 1111-2,33.466846399999994,126.33813400000001
[제주올레 17코스] 광령-제주원도심 올레,제주 제주시,064-762-2190,"['레포츠', '올레코스', '제주도', '트레킹']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c898cfe4-24d8-4b62-ac79-d7cd49aa2a88&thumb,제주특별자치도 제주시 애월읍 광령리 1271-5,33.4604957,126.43765829999998
[제주올레 18-1코스] 추자도 올레,제주 제주시,064-762-2190,"['레포츠', '제주도트래킹', '제주올레', '제주올레길', '트래킹']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=576d1524-a92a-4c47-8ad4-294ca865e2f4&thumb,제주특별자치도 제주시 추자면 추자로 26,33.963599,126.29613619999999
[제주올레 18코스] 제주원도심-조천 올레,제주 제주시,064-762-2190,"['가족과함께', '걷기길', '레포츠', '산책길', '산책코스', '산책하기좋은곳', '제주올레길']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1850ee9d-c10e-444a-9c57-131e2feafa5d&thumb,제주특별자치도 제주시 일도1동 1146-8,33.5131494,126.52738219999999
[제주올레 19코스] 조천-김녕 올레,제주 제주시,064-762-2190,"['레포츠', '제주도트래킹', '제주올레', '제주올레길', '트래킹']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bb75b8fb-3fac-4afe-89ce-c1ca8fbdb222&thumb,제주특별자치도 제주시 조천읍 조천리 1209-1,33.5397118,126.6412058
[제주올레 1코스] 시흥-광치기 올레,제주 서귀포시,064-762-2190,"['레포츠', '올레코스', '제주도', '트레킹']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=13f7ba30-b9db-4ae6-b62c-cd1f4bdd234b&thumb,제주특별자치도 서귀포시 성산읍 시흥상동로 113,33.47963,126.89558190000001
