name,region,tel,keyword,photo,address,lat,lon
BFL 플레이파크,충북 충주시,1588-4722,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=703d6d96-fdcf-4987-9226-e4b97d1cc727&thumb,충청북도 충주시 중앙탑면 중앙탑길 150,37.022058200000004,127.86114920000001
CJ 블로썸 캠퍼스 (CJ제일제당),충북 진천군,1855-1996 - -,"['CJ제일제당', '공장견학', '관광지', '만뢰산자연생태공원', '산업관광', '생거진천전통시장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cd4688b6-b609-4c66-b0bf-23c8714be26b&thumb,충청북도 진천군 진천읍 씨제이로 110,36.878296399999996,127.4615591
가경 터미널시장,충북 청주시,043-232-1117,"['가경터미널시장', '가족여행', '기차여행', '나들이', '나홀로여행', '데이트코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b6527f57-1fdf-4689-852b-f475780a2a56&thumb,충청북도 청주시 흥덕구 가경로149번길 24-2,36.62787346,127.4358722
가락공방,충북 청주시,043-904-4688,"['관광지', '교육프로그램', '문화공간', '문화예술활동', '복합문화공간', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bdd45504-ee36-4e76-9630-604a0be740a9&thumb,충청북도 청주시 상당구 탑동로 95-5,36.6335701,127.502508
가산사,충북 옥천군,043-732-6755,"['관광지', '불교', '불교문화', '사찰', '사찰여행', '역사', '자연속으로', '자연환경']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7b6a786b-4f6a-4a42-80d8-e1b8b0eab3eb&thumb,충청북도 옥천군 안내면 안내회남로 671,36.4015241,127.5974932
가섭사,충북 음성군,043-872-3104,"['관광지', '불교', '불교문화', '사찰', '사찰여행', '역사', '자연속으로', '자연환경']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0fa67395-72f6-4f5b-9a4b-218fd510dad4&thumb,충청북도 음성군 음성읍 가섭길 494,36.9665974,127.7030402
각연사(괴산),충북 괴산군,043-832-6148,"['관광지', '불교', '불교사찰', '사찰', '사찰여행', '역사', '자연속으로', '자연좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3c3eb5cd-b503-4a09-8a1b-26b8f00742cf&thumb,충청북도 괴산군 칠성면 각연길 451,36.7548201,127.9272744
갈기산,충북 영동군,043-740-3205,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=undefined&thumb,충청북도 영동군 양산면 호탄리,36.1328522,127.6329943
갈론계곡(갈은구곡),충북 괴산군,043-832-5550,"['갈론계곡', '계곡', '관광지', '언택트관광지_100선', '자연', '충청권', '피서']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2d18acc4-c938-4a21-949e-c5758d17c22c&thumb,충청북도 괴산군 칠성면 사은리,36.7357961,127.85664380000001
감곡매괴성모순례지성당,충북 음성군,043-881-2808,"['가족여행', '감곡매괴성모순례지성당', '관광지', '교과서속여행', '성지순례']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7835f3b9-b212-4272-b4c9-beb67f28b2c4&thumb,충청북도 음성군 감곡면 성당길 10,37.121947600000006,127.6411531
"감곡장 / 감곡시장 (3, 8일)",충북 음성군,043-871-3612,"['감곡시장', '감곡장', '쇼핑', '재래시장', '충청권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4d139a2e-0bbe-47f0-b808-92fd2919c080&thumb,충청북도 음성군 감곡면 장감로132번길 22,37.11822939,127.6391738
감우재전승기념관,충북 음성군,043-871-5930,"['가족과함께', '가족여행', '감우재전승기념관', '교과서속여행', '기념관', '문화시설']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0b2b9843-c645-4b33-8347-80936de185d7&thumb,충청북도 음성군 음성읍 소여리,36.94223521,127.6529808
