name,region,tel,keyword,photo,address,lat,lon
(주)우리술,경기 가평군,031-585-8525,"['견학', '관광지', '산업관광', '수도권', '연중무휴', '우리술', '이색체험', '전통산업']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d6251033-a3d9-4249-88c2-1922f3f68e88&thumb,경기도 가평군 조종면 대보간선로 29,37.8197693,127.3562591
1.21 무장공비 침투로,경기 연천군,031-839-2144,"['관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재', '역사속']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=20d43020-e856-4fe9-bf5f-7608c6acc6c8&thumb,경기도 연천군 장남면 반정리 294,37.9701273,126.8280474
38선마을,경기 연천군,031-835-1124,"['관광지', '농촌마을', '농촌여행', '농촌체험여행', '역사공부', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=undefined&thumb,경기도 연천군 백학면 노곡로42번길 5,37.9953172,126.9237112
OBS 방송역사체험관,경기 부천시,032-670-6900,"['OBS', 'OBS방송역사체험관', '관광지', '문화콘텐츠산업', '박물관', '방송역사체험관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a197b0d2-1679-4ebe-95ca-31e8a8d6cb0c&thumb,경기도 부천시 오정로 233,37.5293322,126.7842597
가나아트파크,경기 양주시,031-877-0500,"['관광지', '나홀로여행', '문화공간', '문화예술', '문화예술공간', '문화예술활동']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=060f1056-4fb3-4012-8269-3a2e59cf063c&thumb,경기도 양주시 장흥면 권율로 117,37.7258899,126.9496427
가덕산,경기 가평군,031-582-8830,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4de95fdd-e384-4237-8d72-d2ba62227632&thumb,경기 가평군 북면,37.8855879,127.5502287
가루매마을,경기 양평군,031-774-3908,"['가족과함께', '가족체험', '관광지', '농촌', '농촌체험', '농촌체험마을', '농촌체험학습']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=660d8f05-c80d-4b24-ad66-3cae507520ff&thumb,경기도 양평군 지평면 부일길 101,37.4517049,127.6140253
가리산(포천),경기 포천시,031-538-3341,"['가리산', '관광지', '수도권', '자연', '트레킹']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=15a21c46-129b-4d03-9c27-21ba44e5dbde&thumb,경기도 포천시 이동면 장암리,38.0297307,127.3844939
가원미술관,경기,02-504-3730,"['가원미술관', '가족과함께', '관광지', '문화체험', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6f61ee62-db45-453f-8444-c86ee98d77f7&thumb,경기도 과천시 문원동 226번지,37.4239009,126.9992125
가월리 · 주월리 구석기 유적,경기 파주시,031-940-5831,"['관광지', '안보관광', '역사공부', '역사관광지', '역사를품은곳', '역사문화재']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0be75d4b-3213-41c9-83df-0b797fbf4430&thumb,경기도 파주시 적성면,37.954643,126.9169755
가치가(관광두레 주민사업체),경기 가평군,031-584-4267,"['가평가볼만한곳', '공정여행', '관광두레', '관광두레_주민사업체', '관광지', '남녀노소']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5d7874b6-72cd-42b9-b2f1-9c6fc0eb9326&thumb,경기도 가평군 가평읍 용추로 269,37.8495927,127.484139
가평 아홉마지기마을,경기 가평군,031-582-3115,"['관광지', '농촌', '농촌여행코스', '농촌체험', '농촌체험마을', '농촌체험여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3fde8e1a-fd6a-4c17-8e4c-6cba5c08d26b&thumb,경기도 가평군 가평읍 용추로 238,37.8481047,127.4875423
가평 연인산마을,경기 가평군,031-582-9334,"['가족과함께', '가족휴양', '가평숙소', '관광지', '연인과함께', '이색체험', '자연관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cd08439b-9b08-4e7c-8071-3f1da2ebcf26&thumb,경기도 가평군 북면 백둔로 417-11,37.9013619,127.4624756
가평 연하리향나무,경기 가평군,031-580-2067,"['관광지', '역사', '역사공부', '역사를품은곳', '역사문화재', '역사속', '역사속으로']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a9a4a0d1-5082-4049-b01b-64db0218a362&thumb,경기도 가평군 상면 역촌길 68,37.7991757,127.3489105
