name,region,tel,keyword,photo,address,lat,lon
가산산성마을,경북 칠곡군,054-972-6635,"['관광지', '농촌마을', '농촌여행', '농촌체험', '농촌체험마을', '농촌체험여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5f507486-8d4e-4f67-8778-5c12d77f993b&thumb,경상북도 칠곡군 가산면 가산로 891,36.0499159,128.5975783
가산수피아,경북 칠곡군,054-971-9861,"['공룡테마파크', '관광지', '수목원', '핑크뮬리']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=69784c06-f3e0-45ae-a821-0497d6e4c06a&thumb,경상북도 칠곡군 가산면 학하들안2길 105,36.0914123,128.4839274
가실성당,경북 칠곡군,054-976-1102,"['가실성당', '경상권', '관광지', '성지순례', '역사', '역사공부', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5d8095fd-05aa-42b0-9958-70b6ecf59c56&thumb,경상북도 칠곡군 왜관읍 가실1길 1,35.9367221,128.4052588
가야산 야생화식물원,경북 성주군,054-931-1264,"['가야산야생화식물원', '가족여행', '경상권', '관광지', '기차여행', '나들이', '데이트코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a0d93f95-a28a-43a6-92d0-b6f293d2bdfe&thumb,경상북도 성주군 수륜면 가야산식물원길 49,35.8033855,128.1418016
가야산국립공원(백운동 지구),경북 성주군,055-930-8000,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=32a5b7f2-4e0d-4a80-a703-1d450c91c1fa&thumb,경북 성주군 수륜면 백운리,35.8033111,128.1436933
가야산칠불봉 야생화마을,경북 성주군,054-931-6594,"['관광지', '농촌마을', '농촌여행', '농촌체험마을', '농촌체험여행', '자연마을']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=807203a0-ca9f-4c31-97a8-066754725f63&thumb,경상북도 성주군 가천면 신계1길 4-12,35.857592,128.1017487
가오실공원,경북 예천군,054-650-6610,"['가오실', '가오실공원', '관광지', '산책길', '산책하기', '산책하기좋은곳', '수변공원']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=97f8b7d0-5716-423f-af5e-2db8dc5e3dfc&thumb,경상북도 예천군 개포면 가곡리,36.6030942,128.3482582
가평리 계서당(성이성 생가),경북 봉화군,054-679-6333,"['경상권', '계서당', '관광지', '교과서속여행', '문화재', '성이성생가', '역사', '역사공부']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f151af33-c5c3-4fac-8108-397a39f2b04f&thumb,경상북도 봉화군 물야면 계서당길 24,36.949621,128.7336025
각화산,경북 봉화군,054-679-6341,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=null&thumb,경상북도 봉화군 춘양면,36.9350874,128.9148278
갈천동초가까치구멍집,경북 영덕군,054-730-6295,"['경상권', '경상북도민속문화재', '고택', '관광지', '까치구멍집', '역사', '역사공부']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c85456ba-8bce-4f5c-9e2b-576954bdfdcb&thumb,경상북도 영덕군 창수면 장육사길 363,36.59715,129.3218946
