name,region,tel,keyword,photo,address,lat,lon
(전)광주 성거사지 오층석탑,광주 남구,062-607-2333,"['관광지', '광주서오층석탑', '광주성거사지오층석탑', '보물', '역사공부', '역사관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b1da246b-71a4-4eb3-9fa2-e641c90630a2&thumb,광주광역시 남구 천변좌로338번길 7,35.14799885,126.90871
5.18 민주광장,광주 동구,062-613-2082,"['관광지', '민주공원', '민주화', '민주화', '아이와함께', '역사', '역사관광', '역사관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1ac63b9b-2176-4caa-bbab-33d6d6748d73&thumb,광주광역시 동구 문화전당로 38,35.14800054,126.9200115
5·18 기념공원,광주 서구,5·18 062-376-5197,"['5.18기념공원', '가족여행', '관광지', '교과서속여행', '나홀로여행', '데이트코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9ab36693-4a38-4acc-94a7-1d2a9aea5c78&thumb,광주광역시 서구 상무민주로 61,35.15574874,126.858584
5·18 자유공원,광주 서구,062-376-5183,"['5.18자유공원', '가족여행', '관광지', '교과서속여행', '교육여행', '나홀로여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=82612a19-ce5d-489f-856f-a86ab2799200&thumb,광주광역시 서구 상무평화로 13,35.14939264,126.8396508
KBC 광주방송,광주 서구,062-650-3114,"['KBC광주방송', '관광지', '사계절', '아이와함께', '여름방학가볼만한곳', '이색체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1dcb30b6-1ac1-42b3-bf49-3eebc146a92a&thumb,광주광역시 서구 무진대로 919,35.16229672,126.8809974
경장각,광주 광산구,062-960-8252,"['관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재', '역사속']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a55a9022-1a73-4584-9c05-33e44341d3dc&thumb,광주광역시 광산구 용아로 460,35.18438179,126.8053778
고씨삼강문,광주 남구,062-607-2333,"['고씨삼강문', '관광지', '광주광역시기념물', '역사', '역사공부', '역사관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cb6ce19c-b7dc-4df2-8c59-a97b31e64a93&thumb,광주광역시 남구 압촌길 66,35.09169176,126.8382938
고원희가옥,광주 남구,062-607-2333,"['고원희가옥', '관광지', '광주광역시문화재자료', '역사', '역사공부', '역사관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5e6a2273-2cae-4df2-b2e9-86f529d1dde5&thumb,광주광역시 남구 압촌1길 12,35.09241074,126.8392945
관덕정의 각궁,광주 남구,062-671-8383,"['각궁', '관광지', '남녀노소', '레포츠여행', '레포츠체험', '스포츠체험', '역사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b576b35b-754a-4823-bb5f-801ccbee0a72&thumb,광주광역시 남구 사직길 49,35.14189609,126.9118559
광석대 (무등산권 국가지질공원),광주 북구,062-613-7851,"['경치좋은곳', '관광지', '국가지질공원', '무등산', '무등산권_국가지질공원', '사진찍기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=71d8dd13-b8d5-4ad1-b82c-75714f688468&thumb,광주광역시 북구 무등로 1550,35.14411016,126.9889804
광주 3·1 만세운동 기념비,광주 남구,062-670-3008,"['3·1운동_100주년_여행지추천', '관광지', '역사', '역사공부', '역사관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d1ad1032-f99d-421f-a6e4-745fc920c2e3&thumb,광주광역시 남구 백서로 13,35.13734245,126.910461
