name,region,tel,keyword,photo,address,lat,lon
168계단,부산 동구,051-253-8253,"['168계단', '168계단모노레일', '경상권', '관광지', '부산여행', '역사공부', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8c675227-b40a-49b7-af7a-6d0987706f50&thumb,부산광역시 동구 영초길191번길,35.11709239,129.0357869
25의용단,부산 수영구,051-752-2947,"['25의용단', '경상권', '관광지', '교과서속여행', '아이와함께', '역사', '역사공부']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=11e28eb4-70a7-47e1-84db-e4af0344a7f0&thumb,부산광역시 수영구 연수로379번길 42,35.17155247,129.1135886
40계단 문화관광테마거리,부산 중구,051-600-4041,"['40계단문화관광테마거리', '걷기길', '관광지', '문화공간', '아이와함께', '역사공부']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fe5d21b4-67e7-4766-9342-3e8b756d58e3&thumb,부산광역시 중구 40계단길 일대,35.104979,129.034887
75광장,부산 영도구,051-419-4044,"['75광장', '걷기길', '경상권', '관광지', '바다전망', '산책길', '산책하기', '산책하기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=12234de8-e9ea-466c-9a02-2af1c9a029eb&thumb,부산광역시 영도구 절영로 370,35.07158363,129.0578297
BIFF 광장,부산 중구,051-253-8523,"['BIFF광장', '걷기길', '경상권', '관광지', '남녀노소', '도심여행', '문화콘텐츠산업']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2b3e6cd9-870e-48f5-b791-2d524b7851f5&thumb,부산광역시 중구 남포길 4,35.09882664,129.029195
F1963,부산 수영구,051-756-1963,"['F1963', '경상권', '공연', '관광지', '문화콘텐츠산업', '복합문화공간', '산업관광']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b2276f83-7dc1-4fb9-b021-a02ae637145b&thumb,부산광역시 수영구 구락로123번길 20,35.17623459,129.1155671
가덕도 등대,부산 강서구,051-971-9710,"['가덕도등대', '가족여행', '경상권', '관광지', '부산광역시유형문화재', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bc0fb862-d2a2-4cad-b037-e19cf7f5acbb&thumb,부산광역시 강서구 대항동 가덕해안로 1237,35.0101775,128.826416
감천사(부산),부산 연제구,051-852-6904,"['관광지', '불교', '불교문화', '사찰', '사찰여행', '역사', '자연속으로', '자연환경']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ea9ec7f8-3319-4df8-a531-be9273ad68f7&thumb,부산광역시 연제구 묘봉산로 40,35.18341745,129.0909288
공수어촌체험마을,부산 기장군,051-723-1919,"['경상권', '공수어촌체험마을', '관광지', '바다낚시', '바다체험', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cfbaf573-6e9b-45ab-8c8c-ab4e4f597dda&thumb,부산광역시 기장군 기장읍 공수해안길 13-2,35.18440352,129.2111952
관수옥과 초량왜관 터,부산 중구,051-600-4066,"['경상권', '관광지', '관수옥', '교과서속여행', '역사', '역사공부', '역사관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=14a6b951-5591-44ec-b8da-5a2a3a9cae43&thumb,부산광역시 중구 용두산길 37-55,35.1009303,129.0324433
광명사(부산),부산 부산진구,051-646-0843,"['관광지', '불교', '불교문화', '사찰', '사찰여행', '역사', '자연속으로', '자연환경']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=null&thumb,부산광역시 부산진구 안창로14번길 46,35.14619836,129.0449436
광복로문화패션거리,부산 중구,051-253-8253,"['경상권', '관광지', '광복로문화패션거리', '도심여행', '복합문화공간', '산업관광']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=19829fd9-3be6-4893-a973-5439433904f2&thumb,부산광역시 중구 광복동,35.09932,129.029681
광안리해변 테마거리,부산 수영구,051-610-4211,"['경치좋은곳', '관광지', '광안리해변', '광안리해수욕장', '바다경치', '산책길']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=aa608f16-128a-4df5-9214-75e769d2b083&thumb,부산광역시 수영구 민락동,35.15726484,129.1254459
광안리해수욕장,부산 수영구,051-622-4251,"['가족여행', '관광지', '광안리해수욕장', '바다풍경', '아이와함께', '여름방학가볼만한곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c01f9332-0459-4452-ad1a-9fec058f34a9&thumb,부산광역시 수영구 광안해변로 219,35.1537736,129.1185205
구상반려암명소,부산 부산진구,051-888-3636,"['관광지', '부산지질공원', '생태관광', '생태관광지', '역사유적지', '체험학습']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=59502124-0acf-4332-9329-b139f4815d13&thumb,부산광역시 부산진구 전포동 일대,35.16359065,129.0707501
구포만세거리,부산 북구,,"['관광지', '구포만세거리', '구포시장', '역사관광지', '이색거리']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a0f5df37-1ac8-4caa-9508-e51e5228fbdf&thumb,부산광역시 북구 구포동,35.20792928,129.0001514
국립 달음산자연휴양림,부산 기장군,051-722-3023,"['가족과함께', '관광지', '연인과함께', '자연', '자연관광지', '자연속으로', '자연여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=592b7628-0800-4cd5-985e-bb8028c55028&thumb,부산광역시 기장군 일광면 화용길 299-106,35.30261054,129.1853042
국제시장 먹자골목,부산 중구,051-245-7389,"['가족여행', '경상권', '관광지', '국제시장먹자골목', '남녀노소', '맛집탐방', '먹거리']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=aa87ee91-3dd3-461a-be3a-4e00c0ca4ea4&thumb,부산광역시 중구 중구로 36,35.10111637,129.0280599
국청사(부산),부산 금정구,051-517-5003,"['경상권', '관광지', '국청사', '불교', '불교문화', '사찰', '사찰여행', '역사', '연중무휴']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=844d85b7-1dfd-41d9-b26d-c47931ba1db4&thumb,부산광역시 금정구 북문로 42,35.25353569,129.0546857
금강공원,부산 동래구,051-860-7880,"['가족과함께', '걷기길', '경상권', '관광지', '금강공원', '남녀노소', '박물관', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b0e43311-902b-4f84-81fb-0df461f32a04&thumb,부산광역시 동래구 우장춘로 155,35.21963572,129.0757693
금강사(부산),부산 동래구,051-555-1383,"['경상권', '관광지', '금강사', '불교', '불교문화', '불교사찰', '사찰', '사찰여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e562a3de-7b3b-4057-b60a-4fe00ec0ae44&thumb,부산광역시 동래구 우장춘로 211,35.2249686,129.0771579
