name,region,tel,keyword,photo,address,lat,lon
(구)인천일본제58은행지점,인천 중구,032-760-6474,"['관광지', '교과서속여행', '구인천일본제58은행지점', '문화재', '수도권', '역사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7e62f852-bb74-41d6-a527-df82341d62d6&thumb,인천광역시 중구 신포로23번길 77,37.4728595,126.6211542
BMW 드라이빙센터,인천 중구,080-269-3300,"['BMW', 'BMW드라이빙센터', '관광지', '드라이빙센터', '산업관광', '산업관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8b2a0953-0424-46a4-938f-08383dfe16f6&thumb,인천광역시 중구 공항동로 136,37.471794,126.4748636
갑곶돈대,인천 강화군,032-930-7077,"['가족여행', '갑곶돈대', '관광지', '나들이', '당일치기여행', '문화재', '서울근교여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9dda5aa9-5bc1-4c0e-9c03-f124150e0868&thumb,인천광역시 강화군 강화읍 해안동로1366번길 18,37.7345234,126.5160972
강화 갑곶리 탱자나무,인천 강화군,032-930-3124,"['갑곶리탱자나무', '관광지', '수도권', '자연', '천연기념물']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=59c816dc-27ee-49a2-877e-a4d919281653&thumb,인천광역시 강화군 강화읍 동문로 119,37.7549436,126.4942049
강화 고인돌 유적 [유네스코 세계문화유산],인천 강화군,032-930-3625,"['가족여행', '강화고인돌유적', '관광지', '교과서속여행', '나들이', '당일치기여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d76a9195-ae55-42ab-ba55-8d83b08156fa&thumb,인천 강화군 하점면 부근리,37.7624839,126.4373772
강화 달빛동화마을,인천 강화군,032-937-9960,"['가족과함께', '가족체험', '관광지', '농촌', '농촌체험', '농촌체험마을', '농촌체험여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5bf002ba-5bce-4a7d-bc2f-73bd640bd2cb&thumb,인천광역시 강화군 양도면 강화남로921번길 10-6,37.6808071,126.4164735
강화 덕진진,인천 강화군,032-930-7074,"['강화덕진진', '관광지', '덕진진', '바다풍경', '수도권', '아이와함께', '역사', '역사공부']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=045dd90b-d8ae-4bdb-9c9a-c11cc5fbdbbe&thumb,인천광역시 강화군 불은면 덕진로 34,37.6506824,126.5238763
강화 동막해변,인천 강화군,032-937-4445,"['강화동막해변', '관광지', '동막해변', '바다풍경', '수도권', '자연', '체험학습']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bd65a320-7f82-4f31-9b80-8a2f196d66ed&thumb,인천광역시 강화군 화도면 해안남로 1481,37.5925761,126.4581875
강화 사기리 탱자나무,인천 강화군,032-934-7500,"['강화사기리탱자나무', '관광지', '수도권', '자연', '천연기념물']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=411caaad-97da-4a0e-a435-ef4f7d714162&thumb,인천광역시 강화군 화도면 해안남로1114번길 6,37.6169938,126.4571289
강화 서도 중앙교회,인천 강화군,032-760-6474,"['강화서도중앙교회', '관광지', '교과서속여행', '문화재', '수도권', '역사', '역사공부']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=de6efa6c-631f-4d4d-848f-d649ce968082&thumb,인천광역시 강화군 서도면 주문도길 256-1,37.6435442,126.2442596
