name,region,tel,keyword,photo,address,lat,lon
3.1동산,전북 임실군,063-640-2114,"['3·1운동', '3·1운동_100주년_여행지추천', '관광지', '독립운동', '만세운동']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=95726bc6-b612-484a-8ba1-05b91cf8db46&thumb,전라북도 임실군 임실읍 이도리,35.617628,127.2857628
가마소계곡,전북 부안군,063-580-3702,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=74d1a680-a2fe-4357-b13d-0bdf64e19933&thumb,전라북도 부안군 상서면 청림리,35.6565133,126.6209965
가인 김병로 생가터,전북 순창군,063-650-1623,"['관광지', '역사', '역사관광지', '역사를품은곳', '역사문화재', '역사속', '역사속으로']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=01d9d975-aa95-4c7e-a981-20ccfb643493&thumb,전라북도 순창군 복흥면 하리길 160,35.450595,126.9773621
간재선생유지,전북 부안군,063-580-4711,"['관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재', '역사속']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9617c8b7-9d43-4dc2-98cc-dcdeec49147e&thumb,전라북도 부안군 계화면 양지길 12,35.7941363,126.6371601
갈거계곡,전북 진안군,063-430-2651,"['갈거계곡', '계곡', '관광지', '단풍여행', '자연', '전라권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b9010ebb-c04b-44e8-95c3-5d18726a5341&thumb,전라북도 진안군 정천면 휴양림길 77,35.8947554,127.4257541
갑오동학혁명 100주년 기념탑,전북 정읍시,063-539-5773,"['관광지', '역사공부', '역사관광지', '역사를품은곳', '역사문화재', '역사속', '역사속으로']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6270bc25-99f1-4855-9477-2966797a1cb6&thumb,전라북도 정읍시 내장호반로 214,35.4996462,126.9170929
강증산 탄생지,전북 정읍시,063-539-5184,"['관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재', '역사속']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=32406678-ba5c-40b5-bcf8-40ea50a7d23c&thumb,전라북도 정읍시 덕천면 신송길 34-2,35.630694,126.8413401
강천사 모과나무,전북 순창군,063-652-5420,"['강천사모과나무', '관광지', '자연', '전라권', '전라북도기념물']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=aa7e7365-4ac1-4c0e-b7a7-64ddd61007fb&thumb,전라북도 순창군 팔덕면 강천산길 270,35.398638,127.0556971
강천사(순창),전북 순창군,063-652-5420,"['가족여행', '강천사', '관광지', '교과서속여행', '불교', '불교사찰', '사찰', '사찰&산사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4ad298ea-588c-4aeb-8b25-759043427b96&thumb,전라북도 순창군 팔덕면 강천산길 270,35.398638,127.0556971
강천사계곡,전북 순창군,063-650-1672,"['가족과함께', '강천사', '관광지', '순창가볼만한곳', '아이와함께', '여름피서지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c56cd279-cfbf-4c98-adb4-556804d086b8&thumb,전북 순창군 팔덕면,35.391576,127.0971321
강천산 군립공원,전북 순창군,063-650-1672,"['가족여행', '강천산군립공원', '관광지', '꽃여행', '등산', '등산로', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a2fa91a8-0913-43d7-9f80-2d7dcdbae6b3&thumb,전라북도 순창군 팔덕면 강천산길 97,35.4087639,127.0675247
강천산계곡,전북 순창군,063-650-1533,"['강천산계곡', '계곡', '관광지', '자연', '전라권', '피서']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4599c616-7399-44ab-897a-a799a344bcf7&thumb,전북 순창군 팔덕면 청계리,35.4071696,127.0687011
강천산휴양농원,전북 순창군,063-652-2552,"['가족여행', '강천산휴양농원', '관광지', '자연여행', '자연좋은곳', '자연풍경']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=17ce28af-fafc-417c-84c8-1d0e610f9c3f&thumb,전라북도 순창군 구림면 강천로 854-23,35.4276018,127.0628025
