,name,region,tel,keyword,photo,address,lat,lon
0,비엔나 인형박물관,강원 평창군,033-333-3330,"['가족과함께', '남녀노소', '문화시설', '복합문화공간', '아이가_좋아하는_여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8cc9d966-e7b1-49b9-b616-6375a17cd5bc&thumb,강원도 평창군 대관령면 솔봉로 296,37.66272045,128.66395359999999
1,박인환문학관,강원 인제군,033-462-2086,"['가족과함께', '강원권', '기념관', '문학', '문학관', '문학기행', '문화시설', '박인환문학관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8fe0d398-b9f3-49b9-93e9-79ccb020b5a1&thumb,강원도 인제군 인제읍 인제로156번길 50,38.06277763,128.1717233
2,참소리축음기&에디슨과학박물관,강원 강릉시,033-655-1130,"['강원권', '기차여행', '문화시설', '박물관', '아이와함께', '에디슨과학박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b44519a2-1326-485c-aa79-00462c9e5d2e&thumb,강원도 강릉시 경포로 393,37.79796032,128.89738799999998
3,고성 DMZ박물관,강원 고성군,033-681-0625,"['DMZ여행', '강원권', '겨울방학가볼만한곳', '고성DMZ박물관', '문화시설', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=14a8ba68-ec41-4605-ac23-9d8091b4e179&thumb,강원도 고성군 현내면 통일전망대로 369,38.57624688,128.3825278
4,속초시립박물관·속초실향민문화촌,강원 속초시,033-639-2978,"['강원권', '교과서속여행', '문화시설', '미세먼지_피하는_실내여행', '박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f3b81fba-c3bd-4d8c-8e28-30f04c1c44cc&thumb,강원도 속초시 신흥2길 16,38.20105323,128.5382041
5,한얼문예박물관,강원 횡성군,033-345-0151,"['문화시설', '문화예술', '박물관', '박물관여행', '복합문화공간', '열린문화공간']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d7236de3-7d84-426b-a784-975b1fe67574&thumb,강원도 횡성군 우천면 경강로 2885-2,37.48911759,128.072891
6,뮤지엄 산,강원 원주시,033-730-9000,"['가족과함께', '무장애여행지', '문화시설', '문화예술공간', '복합문화공간', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=18bcd23d-d675-491c-bc95-68dbfe1b9c93&thumb,강원도 원주시 지정면 오크밸리2길 260,37.41532774,127.82346979999998
7,강릉시 오죽헌/시립박물관,강원 강릉시,033-660-3301,"['강릉시시립박물관', '강릉시오죽헌', '강원권', '교과서속여행', '문화시설', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a259f950-c527-40f9-9932-050151f183cc&thumb,강원도 강릉시 율곡로3139번길 24,37.77830804,128.87671459999999
8,이효석 문학관,강원 평창군,033-330-2700,"['가족여행', '강원권', '기념관', '기차여행', '단체관람', '무장애', '문화시설', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=96306636-061e-460d-a8f8-edcc6c3190d2&thumb,강원도 평창군 봉평면 효석문학길 73-25,37.61317497,128.37011529999998
9,젊은달 와이파크,강원 영월군,033-372-9411,"['가족과함께', '문화공간', '문화시설', '문화예술', '문화예술공간', '문화예술활동']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f18c9181-1597-488d-8d3f-9c79808e637a&thumb,강원도 영월군 주천면 송학주천로 1467-9,37.27400332,128.2692247
10,춘천 애니메이션박물관,강원 춘천시,033-245-6470,"['가족과함께', '교육여행', '남녀노소', '문화공간', '문화시설', '아이가_좋아하는_여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=187525be-b0f6-42b2-86dd-d5faa2e0dea3&thumb,강원도 춘천시 서면 박사로 854,37.89302024,127.69192439999999
11,동양자수박물관,강원 강릉시,033-644-0600,"['강원권', '교과서속여행', '기념품판매', '동양자수박물관', '문화시설', '박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a5b00405-6f73-42c8-bed1-8da4d6c5a718&thumb,강원도 강릉시 죽헌길 140-12,37.77809202,128.88025670000002
12,백룡동굴 생태체험학습장,강원 평창군,033-334-7200,"['가족여행', '강원권', '문화시설', '미세먼지탈출_이색동굴여행', '백룡동굴', '백룡동굴생태체험학습장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=14f762a0-ebd3-43d8-961d-696b8d42d374&thumb,강원도 평창군 미탄면 문희길 63,37.27786222,128.5770659
13,삼척 동굴신비관,강원 삼척시,033-574-6828,"['가족과함께', '가족여행', '강원권', '기차여행', '단체관람', '문화시설', '미세먼지탈출_이색동굴여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d668467a-3e95-4c88-9212-7a8aa8151286&thumb,강원도 삼척시 엑스포로 69,37.43806226,129.15824990000002
14,화진포 해양박물관,강원 고성군,033-682-7300,"['강원권', '기차여행', '단체관람', '무더위_피해_실내여행', '문화시설', '박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=489a3bf7-006c-48b5-9c64-9f987bc53139&thumb,강원도 고성군 현내면 화진포길 412,38.48138177,128.4356979
15,책과인쇄박물관,강원 춘천시,033-264-9923,"['가족과함께', '김유정문학촌', '남녀노소', '문화공간', '문화시설', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=31f8717f-8aad-4a5f-a608-5d3338e234b1&thumb,강원도 춘천시 신동면 풍류1길 156,37.81942663,127.7248512
16,설악산 탐방안내소,강원 속초시,033-636-7700,"['가족여행', '가족체험여행', '강원권', '관광안내소', '남녀노소', '등산객', '문화시설']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3e356879-3df4-48f1-b4cb-e80e4ede74ba&thumb,강원도 속초시 설악산로 833,38.16712471,128.51725929999998
17,춘천문화예술회관,강원 춘천시,033-259-5841,"['가족여행', '강원권', '공연장', '나들이', '데이트코스', '문화시설', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=182259c7-a1e2-4e84-a54c-137b1e36eb81&thumb,강원도 춘천시 효자상길5번길 13,37.87261579,127.7293405
