,name,region,tel,keyword,photo,address,lat,lon,Unnamed: 0
0,유리섬박물관,경기 안산시,032-885-6262,"['가족체험여행', '남녀노소', '문화시설', '사계절', '수도권', '아이와함께', '안산가볼만한곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6626a1a9-6006-4887-9f1e-93736d6cc512&thumb,경기도 안산시 단원구 부흥로 254,37.21975458,126.60241909999999,
1,돼지박물관(돼지보러오면돼지),경기 이천시,031-641-7540,"['가족체험여행', '농촌체험', '돼지박물관', '마을축제', '문화시설', '박물관', '사계절']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a4c82bab-8e1e-4231-8fe6-934fa8fb75a6&thumb,경기도 이천시 율면 임오산로372번길 129-7,37.08577621,127.5839422,
2,아쿠아플라넷 일산,경기 고양시,031-960-8500,"['당일치기여행', '데이트코스', '문화시설', '미세먼지_피하는_실내여행', '사계절']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e2a8bda8-46b4-4b62-8146-86a9e184b88c&thumb,경기도 고양시 일산서구 한류월드로 282,37.66383701,126.7556101,
3,조명박물관,경기 양주시,070-7780-8911,"['교과서속여행', '문화시설', '박물관', '복합문화공간', '사계절', '상설공연', '수도권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=04084d57-5cbe-4850-a018-b0418f05d781&thumb,경기도 양주시 광적면 광적로 235-48,37.83609524,126.96753059999999,
4,한국잡월드,경기 성남시,1644-1333,"['경상남도과학교육원', '교육여행', '남녀노소', '문화시설', '사계절', '수도권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b5f71425-ee73-4a4c-b0dc-f3e9fb55e3ce&thumb,경기도 성남시 분당구 분당수서로 501,37.37849451,127.1063938,
5,한국근현대사박물관,경기 파주시,031-957-1125,"['근현대사여행', '문화시설', '박물관', '수도권', '안보관광', '역사공부', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2fdab79e-86f3-4474-8e01-c992b3c124c0&thumb,경기도 파주시 탄현면 헤이리마을길 59-85,37.79087271,126.69520190000001,
6,경기도미술관,경기 안산시,031-481-7000,"['경기도미술관', '남녀노소', '문화시설', '문화예술', '미술관', '미술작품', '복합문화공간']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8812d329-b4de-4b2a-b423-463b9730ac41&thumb,경기도 안산시 단원구 동산로 268,37.32507855,126.80998980000001,
7,해우재,경기 수원시,031-271-9777,"['가족여행', '가족체험여행', '당일치기여행', '똥도서관', '문화시설', '박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9cd038b3-ecf5-427c-8ddb-9d2ce5ed91c4&thumb,경기도 수원시 장안구 장안로458번길 9,37.31922693,126.97804409999999,
8,미메시스 아트 뮤지엄,경기 파주시,031-955-4100,"['문화공간', '문화시설', '문화예술창작공간', '문화예술활동', '미메시스아트뮤지엄']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=90cf7334-7fd9-45b8-9f74-eca45bbba0c2&thumb,경기도 파주시 문발로 253,37.71664923,126.6890972,
9,목아박물관,경기 여주시,031-885-9952,"['나들이', '목아박물관', '문화시설', '미세먼지_피하는_실내여행', '박물관', '수도권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=012813fe-1ca3-4065-ad10-f4f25d400b13&thumb,경기도 여주시 강천면 이문안길 21,37.28855027,127.68812290000001,
10,국립과천과학관,경기,02-3677-1500,"['가족과함께', '겨울방학가볼만한곳', '과천가볼만한곳', '국립과천과학관', '남녀노소']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d1fce5dd-69bd-4723-8cc3-330f0fe7a0ca&thumb,경기도 과천시 상하벌로 110,37.43963718,127.00229499999999,
11,경기도자박물관,경기 광주시,031-799-1500,"['가족여행', '경기도자박물관', '문화시설', '서울근교여행', '아이와함께', '예술']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=329b617f-ea11-46b6-8ca0-6d502d7f2c7f&thumb,경기도 광주시 곤지암읍 경충대로 727,37.35028278,127.3347855,
12,청암민속박물관,경기 양주시,031-855-5100,"['기차여행', '문화시설', '박물관', '서울근교여행', '수도권', '아이와함께', '이색체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=464014a8-8941-4d96-a109-56ebe7ead2b6&thumb,경기도 양주시 장흥면 권율로 83-5,37.72205241,126.9457903,
13,수원화성박물관,경기 수원시,031-228-4242,"['문화공간', '문화시설', '박물관', '복합문화공간', '수도권', '수원화성박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3b1c372a-ab86-48c5-84ca-5c3065283310&thumb,경기도 수원시 팔달구 창룡대로 21,37.28259139,127.01898510000001,
14,여주박물관,경기 여주시,031-887-3583,"['교과서속여행', '문화시설', '미세먼지_피하는_실내여행', '박물관', '수도권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a71e90cb-fb0f-491e-8866-b2fe5bd866b8&thumb,경기도 여주시 신륵사길 6-12,37.29965313,127.6533791,
15,구하우스미술관,경기 양평군,031-774-7460,"['건축여행', '구하우스', '기획전시', '문화시설', '미술관', '수도권', '양평가볼만한곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cad82fbf-a791-4ceb-a7fa-be4bdcae06b3&thumb,경기도 양평군 서종면 무내미길 49-12,37.60305157,127.35114440000001,
16,C 아트뮤지엄(숲속의 미술공원),경기 양평군,031-775-6945,"['C아트뮤지엄', '당일치기여행', '문화공간', '문화시설', '미술관', '미술작품']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=94daf80d-ff43-4c09-8efc-ce26fe7a06a4&thumb,경기도 양평군 양동면 다락근이길 57-13,37.39488762,127.7373348,
17,경기도박물관,경기 용인시,031-288-5300,"['가족여행', '경기도박물관', '무료관람', '문화시설', '박물관', '수도권', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=157b0d55-4dd9-46a5-8eeb-4d1b1facc513&thumb,경기도 용인시 기흥구 상갈로 6,37.26817020000001,127.1088507,
18,경기도어린이박물관,경기 용인시,031-270-8600,"['가족여행', '경기도어린이박물관', '교과서속여행', '문화시설', '박물관', '수도권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=31d6e42d-979b-4649-afd5-1f089a490a04&thumb,경기도 용인시 기흥구 상갈로 6,37.26817020000001,127.1088507,
19,안산 어촌민속박물관,경기 안산시,032-886-0126,"['가족여행', '가족체험여행', '문화시설', '박물관', '수도권', '아이와함께', '안산가볼만한곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8e415e31-bd91-4de9-9deb-6d260fac3103&thumb,경기도 안산시 단원구 대부황금로 7,37.19250726,126.64612050000001,
20,박물관 얼굴,경기 광주시,031-765-3522,"['가족여행', '경기권', '경기도 광주', '문화시설', '박물관얼굴', '서울근교', '체험학습']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a79b87d4-c251-4b42-a708-c59daaf10e86&thumb,경기도 광주시 남종면 분원길 3-6,37.4939575,127.30205090000001,
21,부천자연생태공원,경기 부천시,032-320-3000,"['나들이', '문화시설', '박물관', '부천자연생태공원', '서울근교여행', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=80a216cc-3f06-401b-a76d-c2d6a862cee5&thumb,경기도 부천시 원미구 길주로 660,37.50512868,126.8156874,
22,더 파크 아프리카뮤지엄,경기 포천시,031-543-3600,"['교과서속여행', '더파크아프리카뮤지엄', '문화시설', '박물관', '수도권', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b4291a81-f3fd-46f9-a314-3d50585f4900&thumb,경기도 포천시 소흘읍 광릉수목원로 967,37.77526972,127.1393277,
23,전곡선사박물관,경기 연천군,031-830-5600,"['가족여행', '문화시설', '박물관', '수도권', '아이와함께', '전곡선사박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ab0986f3-2f0b-417d-8ea5-c43bc735608d&thumb,경기도 연천군 전곡읍 평화로443번길 2,38.01159172,127.0637623,
24,백남준아트센터,경기 용인시,031-201-8500,"['문화시설', '문화예술', '미세먼지_피하는_실내여행', '미술관', '백남준아트센터']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=58055fa4-ed5f-4245-a8e1-6193f3c028e2&thumb,경기도 용인시 기흥구 백남준로 10,37.26914663,127.1104379,
25,모란미술관,경기 남양주시,031-594-8001,"['나들이', '데이트코스', '모란미술관', '문화시설', '미술관', '수도권', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3ca6ffc9-68e9-4ec8-a467-0a0aa1b20483&thumb,경기도 남양주시 화도읍 경춘로2110번길 8,37.42467857,126.8634321,
26,광명업사이클아트센터,경기 광명시,02-2680-6952,"['가족과함께', '광명업사이클아트센터', '문화시설', '복합문화공간', '수도권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0e6a3ba5-4892-48d7-a5fc-c691a7e85317&thumb,경기도 광명시 가학로85번길 142,37.6504135,127.32377749999999,
27,추억의 청춘뮤지엄,경기 양평군,031-775-8907,"['SNS감성사진', '감성사진', '문화시설', '복합문화공간', '사진찍기', '사진찍기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e7a0b1b9-891e-402e-b228-d91e141faf07&thumb,경기도 양평군 용문면 용문산로 620,37.5445765,127.5854011,
28,프라움악기박물관,경기 남양주시,031-521-6043,"['남양주가볼만한곳', '데이트코스', '문화공간', '문화시설', '복합문화공간', '사계절']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9e5a026d-d0b3-4516-9e59-f228db38d1c7&thumb,경기도 남양주시 와부읍 경강로 756,37.56850845,127.22704920000001,
29,부천시립심곡도서관,경기 부천시,032-625-4588,"['남녀노소', '도서관', '독서교육', '문화공간', '문화시설', '부천시립심곡도서관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2ebf3bd2-0e70-43d5-a4f4-3264cd792100&thumb,경기도 부천시 성무로 24,37.48035202,126.7839472,
30,왈츠와 닥터만 커피박물관,경기 남양주시,031-576-0020,"['가족여행', '경기권', '문화시설', '서울근교여행', '왈츠와닥터만커피박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a1b08438-933e-442f-952c-5e00679765d6&thumb,경기도 남양주시 조안면 북한강로 856-37,37.59196631,127.33845649999999,
31,수원시립아이파크미술관,경기 수원시,031-228-3800,"['문화시설', '문화예술공간', '미술관', '복합문화공간', '수도권', '수원시립아이파크미술관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3aeedfbf-d58a-4740-812c-d03d21624b9e&thumb,경기도 수원시 팔달구 정조로 833,37.28270503,127.01582509999999,
32,안산문화원,경기 안산시,031-415-0041,"['가족여행', '경기권', '무장애', '문화시설', '서울근교여행', '안산문화원', '안산시']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6aa68e80-5a33-496d-8334-dbd0db4fa594&thumb,경기도 안산시 상록구 석호로 144,37.29932569,126.84763170000001,
33,국립수목원 산림박물관,경기 포천시,031-540-2000,"['국립수목원', '문화시설', '박물관', '산림박물관', '수도권', '수목원', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=489bc826-2926-4fd9-96c6-afbbf4f21799&thumb,경기도 포천시 소흘읍 광릉수목원로 415,37.75624231,127.1656646,
