,name,region,tel,keyword,photo,address,lat,lon,Unnamed: 0
0,바람흔적미술관,경남 남해군,010-7542-3034,"['가족여행', '경상권', '기차여행', '문화시설', '미술관', '바람흔적미술관', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5f55a807-bfc2-454e-b3fd-89f138e06803&thumb,경상남도 남해군 삼동면 금암로 519-4,34.76232785,128.0121821,
1,거제어촌민속전시관,경남 거제시,055-639-8282,"['가족여행', '가족체험여행', '거제어촌민속전시관', '경상권', '교과서속여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=aa3cd8ce-ca5f-49f8-a658-b67b3de653d6&thumb,경상남도 거제시 일운면 지세포해안로 41,34.83369365,128.7018853,
2,창원시립진해박물관,경남 창원시,055-548-2053,"['경상권', '경상남도', '문화시설', '미세먼지_피하는_실내여행', '박물관', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=63dc054b-de4b-4ab3-8312-152670b383fa&thumb,경상남도 창원시 진해구 중원동로 52,35.14882748,128.66317949999998,
3,거제씨월드,경남 거제시,055-682-0330,"['가족여행', '가족체험', '거제씨월드', '경상권', '기념품판매', '동물원', '문화시설']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b73cb929-a970-4f96-b2f0-ddba7bdfab8d&thumb,경상남도 거제시 일운면 지세포해안로 15,34.83588245,128.70146200000002,
4,김해 분청도자박물관,경남 김해시,055-345-6037,"['가족과함께', '김해가볼만한곳', '도자기', '도자기만들기체험', '무더위_피해_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=42f8ed75-651b-44bd-8f63-147aa1dc1d55&thumb,경상남도 김해시 진례면 진례로 275-35,35.25149585,128.7458503,
5,해금강테마박물관,경남 거제시,055-632-0670,"['가족여행', '경상권', '교과서속여행', '문화시설', '박물관', '사계절', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=955de8f3-6c11-404e-8a6f-62d5febcb1fc&thumb,경상남도 거제시 남부면 해금강로 120,34.74055707,128.6626444,
6,고성공룡박물관,경남 고성군,055-670-4451,"['경상권', '고성공룡박물관', '공룡박물관', '문화시설', '박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c9941730-37c5-4fae-b36d-3519db18adf1&thumb,경상남도 고성군 하이면 자란만로 618,34.90809856,128.1486504,
7,남해 파독전시관,경남 남해군,055-860-3540,"['가족여행', '경상권', '남해군요트학교', '동대문역사문화공원역', '레포츠체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9e553538-d58b-476b-a8d9-715516840511&thumb,경상남도 남해군 삼동면 독일로 89-7,34.80007232,128.03854850000002,
8,창원의 집,경남 창원시,055-714-7646,"['경상권', '기차여행', '문화시설', '아이와함께', '전통역사문화체험', '창원의집']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=59e2288d-d71c-44d7-a8e3-70a20f24aacf&thumb,경상남도 창원시 의창구 사림로16번길 59 ,35.24445106,128.68135130000002,
9,국립진주박물관,경남 진주시,055-740-0698,"['경상권', '국립진주박물관', '기차여행', '문화시설', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b71afa0d-f273-4432-b125-7569c9656d4d&thumb,경상남도 진주시 남강로 626-35,35.18901371,128.0768441,
10,창원과학체험관,경남 창원시,055-267-2676,"['가족과함께', '가족여행', '경상권', '교육여행', '교육프로그램', '문화시설', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2e6b9e86-0609-4e09-874b-14533e90b759&thumb,경상남도 창원시 성산구 충혼로72번길 16,35.23025374,128.6617776,
11,거창사과테마파크,경남 거창군,055-940-8781,"['가족여행', '가족체험여행', '거창사과테마파크', '경상권', '농촌체험', '마을축제']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7ac40733-e28c-4edb-9a18-6e177d283e3e&thumb,경상남도 거창군 거창읍 거함대로 3372-60,35.67403799,127.9217451,
12,와인갤러리,경남 사천시,055-854-5800,"['문화시설', '사천가볼만한곳', '와인갤러리', '이색체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c4b8ea9d-ed72-4096-8fb8-c62719573df3&thumb,경상남도 사천시 곤명면 경서대로 3552,35.13894653,127.98817700000001,
