,name,region,tel,keyword,photo,address,lat,lon,Unnamed: 0
0,장기려기념 더 나눔센터,부산 동구,051-468-1248,"['가족과함께', '문화공간', '문화시설', '미세먼지_피하는_실내여행', '실내데이트']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e15752a1-b681-4d35-920c-fd6ee1fa4871&thumb,부산광역시 동구 영초윗길 48,35.11853779,129.0326545,
1,국립부산과학관,부산 기장군,051-750-2300,"['가족체험여행', '경상권', '국립부산과학관', '무더위_피해_실내놀이', '문화시설']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=90ab1001-ee2d-4bdc-87b7-ec6e4d1ea76e&thumb,부산광역시 기장군 기장읍 동부산관광6로 59,35.20459705,129.2127019,
2,SEA LIFE 부산아쿠아리움,부산 해운대구,051-740-1700,"['가족과함께', '경상권', '남녀노소', '도심여행', '문화시설', '문화행사', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bd0e0acb-4f95-4b4a-a3a8-4564ed721377&thumb,부산광역시 해운대구 해운대해변로 266,35.15919963,129.1610154,
3,누리마루 APEC하우스,부산 해운대구,051-743-1974,"['가족과함께', '경상권', '경치좋은곳', '교육여행', '남녀노소', '누리마루APEC하우스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2a434fdb-22a0-40a3-ba25-d709a0bcfc9b&thumb,부산광역시 해운대구 동백로 116,35.15234205,129.15136189999998,
4,부산세관박물관,부산 중구,051-620-6092,"['경상권', '기차여행', '문화시설', '박물관', '부산세관박물관', '아이와함께', '이색체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=64b709a8-200e-4788-8d01-e7bb56ec78c0&thumb,부산광역시 중구 충장대로 20,35.1046453,129.0378806,
5,국립해양박물관,부산 영도구,051-309-1900,"['경상권', '교과서속여행', '국립해양박물관', '단체관광', '문화시설', '사계절']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=879e8178-1b02-4578-beda-a0a9993baf99&thumb,부산광역시 영도구 해양로301번길 45,35.07856342,129.0802449,
6,부산근대역사관,부산 중구,051-253-3845,"['경상권', '교과서속여행', '문화시설', '박물관', '부산근대역사관', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ef217477-7c42-4ac7-b507-a219b3d8f38e&thumb,부산광역시 중구 대청로 104,35.10267057,129.0311595,
7,부산 트릭아이뮤지엄,부산 중구,051-557-1577,"['가족여행', '경상권', '데이트코스', '문화시설', '부산가볼만한곳', '사계절', '사진찍기']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=89babaf6-46c6-4105-8d5e-2774436d2723&thumb,부산광역시 중구 대청로126번길 12,35.10169228,129.033592,
8,부산 반여도서관,부산 해운대구,051-783-4010,"['독서여행', '문화시설', '반여도서관', '부산', '아이와 함께', '친구와 함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=94e39f90-a0cf-437c-8522-402e289473ea&thumb,부산광역시 해운대구 재반로282번길 38,35.20202568,129.13381040000002,
9,동의대학교 중앙도서관,부산 부산진구,051-890-1160,"['경상권', '도서관', '동의대학교중앙도서관', '문화시설']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=222e5f3d-76e5-451a-ab41-cbfa3190caff&thumb,부산광역시 부산진구 엄광로 176,35.14432081,129.0363092,
