,name,region,tel,keyword,photo,address,lat,lon,Unnamed: 0
0,인천도시역사관,인천 연수구,032-850-6000,"['가족과함께', '가족여행', '교육여행', '문화공간', '문화시설', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0535cc6e-2fd0-4518-8af9-56eec864a63c&thumb,인천광역시 연수구 인천타워대로 238,37.39281282,126.63588929999999,
1,송도컨벤시아,인천 연수구,032-210-1114,"['공연/행사', '공연관람', '기획공연', '문화공간', '문화시설', '방송촬영', '복합문화공간']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=983e29cc-4a09-4958-92ad-83716fd95d7f&thumb,인천광역시 연수구 센트럴로 123,37.3881431,126.6455531,
2,송도해돋이도서관,인천 연수구,032-749-6950,"['남녀노소', '도서관', '독서여행', '문화공간', '문화시설', '복합문화공간', '열린문화공간']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=56544d8e-0ed9-4be2-b94e-5966c5c1e5fb&thumb,인천광역시 연수구 해돋이로 7,37.38582193,126.6590477,
3,청라호수도서관,인천 서구,032-563-9579,"['남녀노소', '도서관', '독서여행', '문화공간', '문화시설', '복합문화공간', '열린문화공간']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4e5cf583-e674-459e-8169-65fe05788bee&thumb,인천광역시 서구 크리스탈로 59,37.5306152,126.6362978,
4,인천어린이박물관,인천 미추홀구,032-432-5600,"['교과서속여행', '문화시설', '박물관', '수도권', '아이와함께', '이색체험', '인천어린이박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=606fa918-790f-466e-bce4-92957c13cb28&thumb,인천광역시 미추홀구 매소홀로 618,37.43654516,126.68646059999999,
5,재미난 박물관,인천 중구,032-765-0780,"['과학놀이터', '과학전시물', '과학체험', '문화시설', '사고력', '아이와함께체험여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b4c23c68-4110-411a-b3a1-68ce6eabe706&thumb,인천광역시 중구 인중로 190,37.4693807,126.6235199,
6,인천 검단선사박물관,인천 서구,032-440-6797,"['가족과함께', '문화시설', '미세먼지_피하는_실내여행', '박물관', '서울근교여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f2a78d22-2725-4a17-a44e-55cc6b474395&thumb,인천광역시 서구 고산후로121번길 7,37.59444584,126.6986824,
7,인천 녹청자박물관,인천 서구,032-563-4341,"['교육여행', '녹청자박물관', '문화시설', '박물관', '수도권', '아이와함께', '이색체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=691c2d69-90c5-436d-87d6-743826908aff&thumb,인천광역시 서구 도요지로 54,37.55820186,126.6562692,
8,강화자연사박물관,인천 강화군,032-930-7090,"['강화가볼만한곳', '강화자연사박물관', '겨울방학가볼만한곳', '문화시설', '박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=230dc421-bf62-43c2-9161-fe66ab889a81&thumb,인천광역시 강화군 하점면 강화대로 994-33,37.77459527,126.4347208,
9,인천상륙작전기념관,인천 연수구,032-832-0915,"['기념관', '문화시설', '박물관', '수도권', '아이와함께', '인천상륙작전기념관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0c8e7d9c-95a2-41b0-baf0-adf519cd43ed&thumb,인천광역시 연수구 청량로 138,37.41957419,126.6542363,
10,애보박물관,인천 남동구,032-466-3181,"['가족체험여행', '무장애', '문화공간', '문화시설', '박물관', '복합문화공간', '서울근교여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=dbed04f8-a500-4ae3-8a7b-f48c530f802d&thumb,인천광역시 남동구 만의골로 71,37.45046296,126.76708190000001,
11,황어장터 3.1만세운동 기념관,인천 계양구,31 032-430-7948,"['3·1운동_100주년_여행지추천', '교과서속여행', '문화시설', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d9241821-809c-4012-b1f2-94503353b8cc&thumb,인천광역시 계양구 황어로126번길 9,37.57902483,126.73531170000001,
