,name,region,tel,keyword,photo,address,lat,lon,Unnamed: 0
0,아쿠아플라넷 여수,전남 여수시,061-660-1111,"['문화시설', '미세먼지_피하는_실내여행', '상설공연', '실내관광지', '실내데이트']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1d941681-960e-421b-8fd2-6c3984e52408&thumb,전라남도 여수시 오동도로 61-11,34.74626041,127.7487115,
1,보성군립 백민미술관,전남 보성군,061-853-0003,"['문화공간', '문화시설', '복합문화공간', '열린문화공간', '예술공간', '작품', '전시작품']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9acdb734-bba8-486e-a626-8bbc12da2acf&thumb,전라남도 보성군 문덕면 죽산길 168-14,34.9669474,127.1600655,
2,전라남도해양수산과학관,전남 여수시,061-644-4136,"['기차여행', '문화시설', '박물관', '실내여행지', '아이와함께', '이색체험', '전라권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4a37518b-d075-465f-af03-73164f941148&thumb,전라남도 여수시 돌산읍 돌산로 2876,34.68223799,127.77589950000001,
3,목포근대역사관 2관,전남 목포시,061-270-8728,"['목포근대역사관2관', '문화시설', '미세먼지_피하는_실내여행', '실내관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=79fdc7d1-d20e-4ed1-95dd-876de7ad790e&thumb,전라남도 목포시 번화로 18,34.78596374,126.3814912,
4,순천만 자연생태관,전남 순천시,061-749-4007,"['가족여행', '남녀노소', '문화시설', '미세먼지_피하는_실내여행', '사계절', '생태여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8a92a37c-aec6-4ae5-942e-bdcbbec21684&thumb,전라남도 순천시 순천만길 513-25,34.88579701,127.50928329999999,
5,목포자연사박물관,전남 목포시,061-274-3655,"['가족여행', '기차여행', '목포자연사박물관', '문화시설', '박물관', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1054830a-a8f3-40bc-a475-c4e39b816085&thumb,전라남도 목포시 남농로 135,34.79372717,126.42106740000001,
6,함평엑스포공원,전남 함평군,061-322-2203,"['가족여행', '문화시설', '사계절', '아이와함께', '여름휴가', '워터파크', '전라권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ab09866d-794c-4473-9360-ec8fbdf52855&thumb,전라남도 함평군 함평읍 곤재로 27,35.05618874,126.5199494,
7,한국천연염색박물관,전남 나주시,061-335-0160,"['교과서속여행', '문화시설', '미세먼지_피하는_실내여행', '박물관', '실내관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=530d7646-e90d-455a-b3a3-52a06e4f66bc&thumb,전라남도 나주시 다시면 백호로 379,34.99403168,126.66252539999999,
8,국립나주박물관,전남 나주시,061-330-7800,"['가족과함께', '가족여행', '가족체험여행', '교과서속정보', '국립나주박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a47ce73c-40a0-47a1-9daa-78269d2a285b&thumb,전라남도 나주시 반남면 고분로 747,34.91485383,126.65890139999999,
9,목포어린이바다과학관,전남 목포시,061-242-6359,"['가족과함께', '가족여행', '가족체험여행', '교과서속정보', '목포어린이바다과학관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=aeade4e8-2467-420d-bf8c-19bbce8cb8b4&thumb,전라남도 목포시 삼학로92번길 98,34.78195651,126.388849,
10,태백산맥문학관,전남 보성군,061-850-8653,"['교과서속여행', '무장애', '문학관', '문학기념관', '문학기행', '문학기행', '문화시설']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9040f948-f546-423b-9ffe-da3ac7944e26&thumb,전라남도 보성군 벌교읍 홍암로 89-19,34.8492229,127.35225159999999,
11,한국대나무박물관,전남 담양군,061-380-3479,"['가족여행', '기차여행', '문화시설', '박물관', '아이와함께', '이색체험', '전라권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=933a9ea5-ae7b-4fdb-a2a7-3dabb49d8bc8&thumb,전라남도 담양군 담양읍 죽향문화로 35,35.30934367,126.9764088,
12,섬진강어류생태관,전남 구례군,061-781-3665,"['교과서속여행', '문화시설', '사계절', '섬진강어류생태관', '실내여행지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e14a2ff2-ba20-471e-b67d-b21cdb39e41e&thumb,전라남도 구례군 간전면 간전중앙로 47,35.18745224,127.5465226,
13,목포근대역사관 1관,전남 목포시,061-242-0340,"['가족과함께', '남녀노소', '목포가볼만한곳', '목포당일코스', '목포여행', '무더위_피해_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a4104ac2-1be3-49af-b956-0776456c2f07&thumb,전라남도 목포시 영산로29번길 6,34.78769578,126.3817942,
14,해남공룡박물관,전남 해남군,061-530-5949,"['교과서속여행', '문화시설', '박물관', '아이가_좋아하는_여행', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=112f07ba-eb5b-43b8-b3ad-14cd7d8dfd39&thumb,전라남도 해남군 황산면 공룡박물관길 234,34.58908867,126.4428321,
15,"장전미술관 (구, 남진미술관)",전남 진도군,061-543-0777,"['기차여행', '남진미술관', '데이트코스', '문화시설', '미술관', '실내여행지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4434a696-ed98-4202-8174-b0a46fbce9ec&thumb,전라남도 진도군 임회면 하미길 39,34.429759600000004,126.2379554,
16,북한 반잠수정 전시관,전남 여수시,061-659-5687,"['문화시설', '북한반잠수정전시관', '안보여행', '역사유적지', '전라권', '전시관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=926d59b6-973e-4bc7-85f6-c877d52e52ff&thumb,전라남도 여수시 돌산읍 향일암로 365,34.60548076,127.78668300000001,
17,순천시립 뿌리깊은나무 박물관,전남 순천시,061-749-8855,"['문화시설', '박물관', '순천가볼만한곳', '순천시립뿌리깊은나무박물관', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8a101045-3492-495d-900d-6ced36152a1c&thumb,전라남도 순천시 낙안면 평촌3길 45,34.90363951,127.33998159999999,
18,곡성레저문화센터,전남 곡성군,061-360-8343,"['곡성레저문화센터', '문화시설', '문화행사', '사계절', '실내여행지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f8e4d960-8592-461b-b7b5-7cc7bd3925bc&thumb,전라남도 곡성군 곡성읍 곡성로 855,35.28142166,127.2981783,
19,호남기후변화체험관,전남 담양군,061-380-2956,"['가족여행', '가족체험여행', '교과서속정보', '교육여행', '교육프로그램', '문화시설']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=12427958-5ddb-4c6b-bb14-533ebab0ae35&thumb,전라남도 담양군 담양읍 메타세쿼이아로 45,35.32495533,127.0062507,
20,대원사 티벳박물관,전남 보성군,061-852-3038,"['가족여행', '가족체험여행', '다문화', '대원사티벳박물관', '문화시설', '박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=43571497-73d6-4f41-a1b3-9331c8af4b00&thumb,전라남도 보성군 문덕면 죽산길 520-1,34.95915165,127.13203700000001,
21,강진 고려청자박물관,전남 강진군,061-430-3755,"['강진고려청자박물관', '고려청자', '기차여행', '문화시설', '박물관', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=42382ef5-0d41-48e4-9736-23b37ec4dad5&thumb,전라남도 강진군 대구면 청자촌길 33,34.50866203,126.8008374,
22,진도향토문화회관,전남 진도군,061-540-6253,"['가족여행', '교과서속여행', '문화시설', '문화행사', '사계절', '실내여행지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a9d3dd2b-2fd7-486a-853b-e0d9e06970ac&thumb,전라남도 진도군 진도읍 진도대로 7197,34.47970593,126.26857720000001,
23,한국가사문학관,전남 담양군,061-380-2701,"['가족여행', '기차여행', '나홀로여행', '문화시설', '예술', '전라권', '전시관', '한국가사문학관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7073c292-f210-421c-a4d3-a889dc2cd84e&thumb,전라남도 담양군 가사문학면 가사문학로 877,35.18796216,127.0054858,
24,목포문학관,전남 목포시,061-270-8400,"['기념관', '기차여행', '나들이', '목포문학관', '문화시설', '박물관', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=84bc8f2d-b805-4a52-9a0b-d672450fcbc7&thumb,전라남도 목포시 남농로 95,34.79282351,126.41692900000001,
25,장보고기념관,전남 완도군,061-550-6930,"['교과서속여행', '기념관', '무장애', '문화시설', '아이와함께', '장보고기념관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c2e05e05-bd6d-4412-921a-60e4ad30476c&thumb,전라남도 완도군 완도읍 청해진로 1455,34.355095299999995,126.730162,
26,나주학생독립운동기념관,전남 나주시,061-334-5393,"['3·1운동_100주년_여행지추천', '교과서속여행', '나주학생독립운동기념관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ca937c7f-fd95-4c77-935c-a1eb7f6572e6&thumb,전라남도 나주시 죽림길 26,35.02806317,126.7262445,
