,name,region,tel,keyword,photo,address,lat,lon,Unnamed: 0
0,제주돌문화공원,제주 제주시,064-710-7731,"['17_18한국관광100선', '걷기길', '걷기여행', '문화시설', '사계절', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=74be8475-ae61-4f45-a37e-4c72b233b67b&thumb,제주특별자치도 제주시 조천읍 남조로 2023,33.45136457,126.65671100000002,
1,제주도민속자연사박물관,제주 제주시,064-710-7708,"['가족여행', '데이트코스', '문화시설', '박물관', '섬여행', '아이와함께', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=70714f1b-c087-452b-a6fb-ea5ae0065bba&thumb,제주특별자치도 제주시 삼성로 40,33.50563037,126.53172409999999,
2,제주 세계자연유산센터,제주 제주시,1800-2002,"['가족여행', '가족체험여행', '교과서속여행', '문화시설', '사계절', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=033011ba-560c-4903-b8c9-b1274317584e&thumb,제주특별자치도 제주시 조천읍 선교로 569-36,33.45691987,126.7147521,
3,초콜릿 박물관,제주 서귀포시,064-792-3121,"['가족여행', '단체관람', '문화시설', '아이와함께', '연인과함께', '이색체험', '제주권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4044c045-7b30-4102-806a-34ebb65ed1db&thumb,제주특별자치도 서귀포시 대정읍 일주서로3000번길 144,33.25705283,126.22993290000001,
4,제주테지움,제주 제주시,064-799-4820,"['가족여행', '문화시설', '미세먼지_피하는_실내여행', '박물관', '사계절', '실내관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7c704041-17e7-4462-a866-725837d5e37f&thumb,제주특별자치도 제주시 애월읍 평화로 2159,33.4122175,126.3935364,
5,피규어뮤지엄 제주,제주 제주시,064-792-2244,"['남녀노소', '문화시설', '미세먼지_피하는_실내여행', '실내여행지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=28a6f903-1217-4cd3-9ad3-622bb659d143&thumb,제주특별자치도 서귀포시 안덕면 한창로 243,33.28190379,126.35535690000002,
6,김영갑 갤러리(두모악),제주 서귀포시,064-784-9907,"['15_16한국관광100선', '가족여행', '기념품판매', '김영갑갤러리', '두모악']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=79b6bbad-5578-48fe-9aef-1968d14a9250&thumb,제주특별자치도 서귀포시 성산읍 삼달로 137,33.37236763,126.85424579999999,
7,국립제주박물관,제주 제주시,064-720-8000,"['가족여행', '국립제주박물관', '문화시설', '미세먼지_피하는_실내여행', '실내관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=609f9323-983d-43c3-bc0f-be30f2f29fe1&thumb,제주특별자치도 제주시 일주동로 17,33.51379671,126.5479096,
8,아쿠아플라넷 제주,제주 서귀포시,064-780-0900,"['가족여행', '문화시설', '문화행사', '미세먼지_피하는_실내여행', '복합문화공간']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=73882fc4-5a44-4d99-950f-066129e48ebb&thumb,제주특별자치도 서귀포시 성산읍 섭지코지로 95,33.43297686,126.9277955,
9,제주서커스월드공연장,제주 서귀포시,064-794-4444,"['문화시설', '실내여행지', '아이와함께', '어린이날가볼만한곳', '이색체험', '제주권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3fdb57bc-0321-4568-8a73-5d9d034640ab&thumb,제주특별자치도 서귀포시 안덕면 동광로 214,33.31438574,126.3448192,
10,박물관은 살아있다(제주중문점),제주 서귀포시,064-805-0888,"['데이트코스', '문화시설', '박물관은살아있다', '사계절', '사진찍기', '사진찍기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=00de075d-ea82-45f3-8937-d15d6d057a2f&thumb,제주특별자치도 서귀포시 중문관광로 42,33.25490055,126.40977029999999,
11,제주민속촌,제주 서귀포시,064-787-4501,"['가족과함께', '교육여행', '문화시설', '사계절', '아이와함께', '역사', '역사공부']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2f98d10e-edd5-4ff0-9ffd-0f5005e1054e&thumb,제주특별자치도 서귀포시 표선면 민속해안로 631-34,33.32128714,126.8430882,
12,해녀박물관,제주 제주시,064-782-9898,"['교과서속여행', '남녀노소', '문화시설', '미세먼지_피하는_실내여행', '박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9b8b681a-23a2-462c-8815-ca3e02a9c23f&thumb,제주특별자치도 제주시 구좌읍 해녀박물관길 26,33.52360988,126.8634256,
13,방림원,제주 제주시,064-773-0090,"['가족여행', '문화시설', '방림원', '산책하기좋은곳', '식물원', '아이와함께', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a5e1dc6d-2fcb-4e76-bf01-999b5b50c673&thumb,제주특별자치도 제주시 한경면 용금로 864,33.33722842,126.26851289999999,
14,제주 추사관,제주 서귀포시,064-710-6802,"['가족체험여행', '교과서속여행', '기념관', '문화시설', '박물관', '역사공부', '역사관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8f21a88e-9cc1-41be-89c0-de2217706888&thumb,제주특별자치도 서귀포시 대정읍 추사로 44,33.24979614,126.278494,
15,제주유리박물관,제주 서귀포시,064-792-6262,"['문화시설', '박물관', '사진찍기', '사진찍기좋은곳', '사진촬영', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6e01fac3-3ffa-4fa1-bff4-713974df2443&thumb,제주특별자치도 서귀포시 중산간서로 1403,33.27851386,126.3701574,
16,테디베어뮤지엄 제주,제주 서귀포시,064-738-7600,"['가족여행', '겨울방학', '나들이', '데이트코스', '문화시설', '박물관', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f5921b4d-a60c-4720-8fa4-1969e7f628f6&thumb,제주특별자치도 서귀포시 중문관광로110번길 31,33.25030323,126.4121588,
17,제주라프(Light Art Flash),제주 제주시,064-784-9030,"['문화시설', '야경좋은곳', '제주가볼만한곳', '제주도관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5600cc08-3fd6-450a-9fd0-6cfb6b287da0&thumb,제주특별자치도 제주시 조천읍 선교로 115-1,33.48676771,126.7068936,
18,믿거나 말거나 박물관,제주 서귀포시,064-738-3003,"['겨울방학가볼만한곳', '문화시설', '믿거나말거나박물관', '박물관', '사계절']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=309153a4-ee3e-4a00-a4ca-69c14ecee2e1&thumb,제주특별자치도 서귀포시 중문관광로110번길 32,33.25121501,126.4128217,
19,본태박물관,제주 서귀포시,064-792-8108,"['가족여행', '가족체험여행', '데이트코스', '문화시설', '박물관', '본태박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3c6e9c01-5028-46d8-b767-7de8a2ba9185&thumb,제주특별자치도 서귀포시 안덕면 산록남로762번길 69,33.30395481,126.3925683,
20,드라마월드,제주 제주시,064-792-3777,"['가족체험여행', '기념품판매', '놀이동산&테마파크', '데이트코스', '드라마월드']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a9d6f92e-e37a-449a-a69e-8b35170db791&thumb,제주특별자치도 제주시 애월읍 화전길 3,33.35194461,126.3605387,
21,한국야구명예전당,제주 서귀포시,064-760-6411,"['문화시설', '박물관', '이색체험', '제주권', '한국야구명예전당']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e7c62599-0db9-4513-bdfb-51d3d691a232&thumb,제주특별자치도 서귀포시 중산간서로 97-1,33.26053675,126.4984486,
22,제주현대미술관,제주 제주시,064-710-7801,"['남녀노소', '문화시설', '문화예술', '미술관', '미술작품', '연인과함께', '예술']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=58127536-6f9e-4cad-b6f0-f6b2e9cc9a8b&thumb,제주특별자치도 제주시 한경면 저지14길 38,33.34063052,126.26634399999999,
