,name,region,tel,keyword,photo,address,lat,lon,Unnamed: 0
0,충주세계무술박물관,충북 충주시,043-848-8483,"['가족여행', '교과서속여행', '문화시설', '미세먼지_피하는_실내여행', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9dc0e520-aa46-4f2d-b01d-cce465fd49d7&thumb,충청북도 충주시 남한강로 24,36.98783035,127.90557109999999,
1,난계국악박물관,충북 영동군,043-742-8843,"['기차여행', '난계국악박물관', '단체관람', '문화시설', '박물관', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8de90102-1dd3-4d55-87e2-00d2cbc48cdd&thumb,충청북도 영동군 심천면 국악로 9,36.21019414,127.7049504,
2,오대호아트팩토리,충북 충주시,043-844-0741,"['가족과함께', '문화시설', '문화예술', '복합문화공간', '아이와함께', '언택트관광지_100선']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d73252a8-17c9-46fe-8701-0b59ce0ec7b5&thumb,충청북도 충주시 앙성면 가곡로 1434,37.09419009,127.7945155,
3,단양 다누리아쿠아리움,충북 단양군,043-420-2951,"['가족과함께', '가족여행', '가족체험여행', '교과서속정보', '다누리아쿠아리움']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d3bf580d-3c17-42f0-b297-ab68136ca5ad&thumb,충청북도 단양군 단양읍 수변로 111,36.98541064,128.37075190000002,
4,술박물관 리쿼리움,충북 충주시,043-855-7333,"['기념품판매', '문화시설', '박물관', '사계절', '술박물관리쿼리움', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=53fc4668-c943-4348-abcf-df1c3223639c&thumb,충청북도 충주시 중앙탑면 탑정안길 12,37.01850597,127.8656335,
5,공군박물관,충북 청주시,043-290-6071,"['공군박물관', '교과서속여행', '무료관람', '문화시설', '박물관', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c6720798-da59-4aea-b6a7-b7c0216b91bd&thumb,충청북도 청주시 상당구 남일면 단재로 635,36.579854,127.527878,
6,충주고구려비전시관,충북 충주시,043-850-7301,"['문화시설', '박물관', '역사공부', '역사관광지', '역사를품은곳', '역사문화재']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8d334ed0-2b09-4284-a7fd-cbb5b71a1b0f&thumb,충청북도 충주시 중앙탑면 감노로 2319,37.02829102,127.8482537,
7,충주고구려천문과학관,충북 충주시,043-842-3247,"['가족여행', '무더위_피해_실내놀이', '문화시설', '별따라가기', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=950ea894-560a-4cbd-a098-b3b473ac9df7&thumb,충청북도 충주시 중앙탑면 묘곡내동길 100,37.04031896,127.8484155,
8,진천 종박물관,충북 진천군,043-539-3847,"['교과서속여행', '문화시설', '박물관', '사계절', '실내여행지', '아이와함께', '진천종박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ac1fec55-01cd-4193-bdfa-99d18a8ddf25&thumb,충청북도 진천군 진천읍 백곡로 1504-12,36.87002892,127.4131749,
9,운보의 집,충북 청주시,043-213-0570,"['가족여행', '김기창', '문화시설', '운보', '운보문화체험', '운보의집', '청주시']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d5f75b3e-4732-408b-b878-18311bdeb1a2&thumb,충청북도 청주시 청원구 내수읍 형동2길 92-41,36.69193256,127.56506270000001,
