name,region,tel,keyword,photo
동해 논골담길 (등대 담화마을),강원 동해시,033-530-2231,"['가족여행', '강원권', '레포츠', '산책코스', '언택트관광지_100선', '주말여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f1e7e482-3aaa-49ad-b092-3d3845090ce0&thumb
속초 외옹치 바다향기로,강원 속초시,033-639-2362,"['걷기길', '레포츠', '외옹치바다향기로', '트레킹', '해안길산책', '힐링산책']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d68d3eb4-4ced-4d51-a46c-415613ed98eb&thumb
서피비치,강원 양양군,033-672-0695,"['강원권', '레포츠', '서피비치', '서핑', '캠핑', '해변가']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e23adeef-4055-4d3b-8a9e-4753c2925579&thumb
오대산 선재길,강원 평창군,033-332-6417,"['강원권', '걷기여행', '레포츠', '산림욕', '오대산선재길', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8c3dfdc6-02dd-41de-ad3d-47deb173b4e0&thumb
정동심곡바다부채길,강원 강릉시,033-641-9445,"['동해바다', '레포츠', '무장애', '바다여행', '바다풍경', '천연기념물']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=040ab8fa-b966-4427-b920-93e5eecb06e6&thumb
정선레일바이크,강원 정선군,033-563-8787,"['데이트코스', '레일바이크', '레포츠', '아이와함께', '연인과함께', '친구와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6075da2d-7a8d-41b4-80d1-bc7658e5b5ac&thumb
강릉컬링센터 (강릉실내빙상장),강원 강릉시,033-647-8388,"['2018평창동계올림픽', '가족과함께', '강릉시', '겨울스포츠', '남녀노소', '레저스포츠']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=87b2005d-bc9c-445f-b85f-f229dc7a01a4&thumb
춘천 의암호 자전거길(물레길),강원 춘천시,033-250-3089,"['강원권', '레포츠', '언택트관광지_100선', '자전거길', '휴양여행', '힐링']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5bb743d8-35f7-4282-a943-07ce0010ce5d&thumb
매봉힐링쉼터 오토캠핑장,강원 원주시,033-761-2282,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bad86d9d-66a2-4548-b751-00d63e69d1a6&thumb
삼척 해양레일바이크,강원 삼척시,033-576-0656,"['2014', '가족과함께', '강원권', '레포츠', '문화관광자원 부문', '바다풍경', '삼척해양레일바이크']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=74c7c51e-65a3-464c-bf73-ecf4e085bea6&thumb
무릉계곡 힐링캠핑장,강원 동해시,033-539-3700,"['가족캠핑', '동해캠핑장', '레포츠', '무릉계곡', '숲속캠핑']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0de0c59c-f2ef-4470-b9ab-71deaaf04712&thumb
춘천물레길,강원 춘천시,033-242-8463,"['강원권', '레포츠', '서울근교여행', '수상레포츠', '아이와함께', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c7c87596-2e0c-470f-9265-45578070b26d&thumb
화천 파로호 자전거 100리길,강원 화천군,033-440-2557,"['강원권', '레포츠', '화천파로호자전거100리길', '휴양여행', '힐링']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=37290d46-140b-412d-aa16-2171f1893fae&thumb
송지호 오토캠핑장,강원 고성군,033-681-5244,"['가족과함께', '레포츠', '송지호', '아이와함께', '오토캠핑장', '휴식여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=89b7ad74-a49b-49ca-a560-0448388a5924&thumb
화이트캐빈,강원 평창군,033-333-7444,"['겨울스포츠', '레포츠', '복합레저스포츠', '숙박업소', '스키대여', '스키렌탈']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ac4f7bdd-c438-4ddf-bbaf-6e5a7f3ede6a&thumb
정동진 레일바이크,강원 강릉시,033-655-7786,"['강릉가볼만한곳', '경치좋은곳', '레포츠', '바다경치', '바다내음', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=45c12ce7-4a04-474d-81b7-71053df8d7b1&thumb
인제나르샤파크(구. 인제 밀리터리 테마파크),강원 인제군,033-461-0141,"['강원권', '레포츠', '레포츠여행', '레포츠체험', '번지점프', '서바이벌', '이색체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b7ee3a77-bd88-48ba-8902-120e9b5a488b&thumb
강원도 세계잼버리 수련장,강원 고성군,033-633-8107,"['강원권', '강원도세계잼버리수련장', '국제대회', '레포츠', '세계잼버리', '수련장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b0f563d0-fe13-400b-860f-988aca3f6409&thumb
분주령야생화 트레킹,강원 태백시,033-550-0000,"['레포츠', '자연여행', '트레킹', '휴식여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=72d0a7f5-8477-4dc0-a67e-0534b9a7ca8f&thumb
화암카트체험장,강원 정선군,033-560-3419,"['가족체험', '경치좋은곳', '남녀노소', '레포츠', '연인과함께', '이색체험', '자연좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=662696be-ccce-4920-b898-caf4899f9a7c&thumb
강릉 올림픽파크,강원 강릉시,033-640-5946,"['강릉종합운동장', '레포츠', '빙상장', '산책하기좋은곳', '스케이팅', '아이스하키']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6ab75b1d-7228-4178-9c38-73dcbc5412f7&thumb
동해시 바다낚시,강원 동해시,033-539-8656,"['강원권', '동해시바다낚시', '레포츠', '자연좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=588e5c0a-c6f1-453c-b28d-32a9a37bd29f&thumb
덕풍계곡 트레킹,강원 삼척시,033-570-5221,"['가족여행', '강원권', '덕풍계곡트레킹', '레포츠', '여름가볼만한곳', '여름여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4a2ab7bf-759d-4af1-b0c2-bdfc48be0c3e&thumb
내린천 짚트랙 휴레저,강원 인제군,,"['가족여행', '강원권', '내린천짚트랙휴레저', '레포츠', '힐링']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=352ac637-da09-4b06-81bb-a11525b4acaa&thumb
[강릉 바우길 1구간] 선자령 풍차길,강원 평창군,033-645-0990,"['가족과함께', '강원권', '레포츠', '선자령풍차길']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=74505d7f-e243-4598-ab49-b582bafeb6cc&thumb
강촌레일파크,강원 춘천시,033-245-1000,"['가족여행', '강원권', '강촌레일파크', '레포츠']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7122ceb5-012d-433a-8a8a-9056e7dc5e4d&thumb
노추산 모정탑길,강원 강릉시,033-647-2540,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=72a3caa4-3b90-4510-b84b-836805de994a&thumb
델피노 CC (대명 델피노),강원 고성군,033-639-8401,"['강원권', '골프장', '델피노CC', '레포츠']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f2537099-0874-47d8-950e-cde44de92744&thumb
하이원리조트 스키장,강원 정선군,1588-7789,"['가족과함께', '강원권', '겨울스포츠', '레포츠', '스키장', '친구와함께', '하이원리조트']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=64377543-16b0-4c55-9b62-289ad7011c35&thumb
칠족령 트레킹,강원 평창군,033-330-2399,"['경치좋은곳', '레포츠', '산책길', '산책하기', '산책하기좋은곳', '자연속으로']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=06c5c1bc-c022-4f36-beb9-5191edf63429&thumb
평창 포레스트 어드벤처,강원 평창군,033-333-8138,"['레포츠', '모험심', '문화활동', '어드벤처', '체험활동', '친구와함께', '휘닉스파크']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b1540fce-44b8-4a78-90b4-b39ea45496ff&thumb
엑스게임리조트(내린천 번지점프),강원 인제군,033-461-5216,"['가족여행', '강원권', '내린천번지점프', '레포츠', '번지점프', '엑스게임리조트']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3617078f-a1e8-49a4-a386-fe396cb41a60&thumb
홍천 가리산 레포츠파크,강원 홍천군,070-8831-8138,"['가족과함께', '남녀노소', '레포츠', '레포츠파크', '복합레저스포츠', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ab4523fe-6f01-49f8-9709-602861bc278a&thumb
