name,region,address,lat,lon
동해 논골담길 (등대 담화마을),강원 동해시,강원도 동해시 일출로 97,37.55216582,129.1183172
속초 외옹치 바다향기로,강원 속초시,강원도 속초시 대포항길 186,38.18061259,128.6127912
서피비치,강원 양양군,강원도 양양군 현북면 하조대해안길 119,38.02775348,128.7175212
오대산 선재길,강원 평창군,강원도 평창군 진부면 오대산로 374-8,37.73167848,128.5931364
정동심곡바다부채길,강원 강릉시,강원도 강릉시 강동면,37.72809432,128.9542264
정선레일바이크,강원 정선군,강원도 정선군 여량면 노추산로 745,37.5170461,128.7304317
강릉컬링센터 (강릉실내빙상장),강원 강릉시,강원도 강릉시 종합운동장길 32,37.77372394,128.8925583
춘천 의암호 자전거길(물레길),강원 춘천시,강원도 춘천시 스포츠타운길 113-1,37.85496429,127.6857679
매봉힐링쉼터 오토캠핑장,강원 원주시,강원도 원주시 신림면 창촌길 132,37.26059982,128.1387359
삼척 해양레일바이크,강원 삼척시,강원도 삼척시 근덕면 공양왕길 2,37.32364924,129.2663648
무릉계곡 힐링캠핑장,강원 동해시,강원도 동해시 삼화로 467,37.46439798,129.0265553
춘천물레길,강원 춘천시,강원도 춘천시 스포츠타운길 113-1,37.85496429,127.6857679
화천 파로호 자전거 100리길,강원 화천군,강원도 화천군 하남면 춘화로 3331-50,38.09647885,127.6995908
송지호 오토캠핑장,강원 고성군,강원도 고성군 죽왕면 동해대로 6090,38.34277885,128.5131604
화이트캐빈,강원 평창군,강원도 평창군 봉평면 태기로 93,37.58771675,128.3216319
정동진 레일바이크,강원 강릉시,강원도 강릉시 강동면 정동역길 17,37.6913387,129.0328303
인제나르샤파크(구. 인제 밀리터리 테마파크),강원 인제군,강원도 인제군 인제읍 비봉로44번길 81,38.06007315,128.1679637
강원도 세계잼버리 수련장,강원 고성군,강원도 고성군 토성면 잼버리로 244,38.22362848,128.5001397
분주령야생화 트레킹,강원 태백시,강원도 태백시 화전동,37.20157912,128.9420334
화암카트체험장,강원 정선군,강원도 정선군 화암면 소금강로 973,37.34909317,128.7876859
강릉 올림픽파크,강원 강릉시,강원도 강릉시 수리골길 76,37.77705623,128.8969607
동해시 바다낚시,강원 동해시,강원도 동해시 동해대로 6270-10,37.59225327,129.0896922
덕풍계곡 트레킹,강원 삼척시,강원도 삼척시 가곡면 풍곡리,37.08903333,129.1634262
내린천 짚트랙 휴레저,강원 인제군,강원도 인제군 인제읍 내린천로 5693,38.00988909,128.2392314
[강릉 바우길 1구간] 선자령 풍차길,강원 평창군,강원도 평창군 대관령면 경강로 5754,37.68552302,128.7583027
강촌레일파크,강원 춘천시,강원도 춘천시 신동면 김유정로 1383,37.81564654,127.7121815
노추산 모정탑길,강원 강릉시,강원도 강릉시 왕산면 노추산로,37.56051411,128.7166994
델피노 CC (대명 델피노),강원 고성군,강원도 고성군 토성면 미시령옛길 1153,38.21312066,128.493436
하이원리조트 스키장,강원 정선군,강원도 정선군 고한읍 하이원길 500,37.20393887,128.8394697
칠족령 트레킹,강원 평창군,강원도 평창군 미탄면 문희길 63,37.27786222,128.5770659
평창 포레스트 어드벤처,강원 평창군,강원도 평창군 봉평면 태기로 174,37.58246341,128.3268678
엑스게임리조트(내린천 번지점프),강원 인제군,강원도 인제군 인제읍 설악로 2254,38.07759867,128.1861034
홍천 가리산 레포츠파크,강원 홍천군,강원도 홍천군 두촌면 가리산길 426,37.8656358,127.9811498
알펜시아리조트 스키장,강원 평창군,강원도 평창군 대관령면 솔봉로 325,37.65925417,128.6840107
