name,region,address,lat,lon
여강길(1코스~5코스),경기 여주시,경기도 여주시 교동,37.28031078,127.6320575
한탄강 주상절리길(포천),경기 포천시,경기도 포천시 영북면,38.08913503,127.2755211
평화누리길 1코스 염하강철책길,경기 김포시,경기도 김포시 대곶면 대명리 517-4,37.64138072,126.539728
자라섬오토캠핑장,경기 가평군,경기도 가평군 가평읍 자라섬로 60,37.82089751,127.5210451
광릉숲길,경기 남양주시,경기도 남양주시 진접읍 부평리,37.74378465,127.1771783
플라이스테이션,경기 용인시,경기도 용인시 처인구 포곡읍 성산로 521,37.28089164,127.1992079
웅진플레이도시 실내스키장,경기 부천시,경기도 부천시 조마루로 2,37.49997006,126.7442354
남이섬 짚와이어,경기 가평군,경기도 가평군 가평읍 북한강변로 1024,37.80396191,127.5253669
양평레일바이크,경기 양평군,경기도 양평군 용문면 용문로 277,37.47971462,127.5865471
경기의왕레일파크,경기 의왕시,경기도 의왕시 왕송못동로 209,37.31088595,126.9503038
송원글램핑파크,경기 용인시,경기도 용인시 처인구 남사면 전궁로95번길 93,37.10740234,127.1429835
가평사계절썰매장,경기 가평군,경기도 가평군 상면 깃대봉길 5-20,37.75548501,127.4024016
파주 카트랜드,경기 파주시,경기도 파주시 탄현면 필승로 398-30,37.77749299,126.684548
지산 포레스트 리조트 스키장,경기 이천시,경기도 이천시 마장면 지산로 267,37.21900005,127.3420572
용인자연휴양림 에코어드벤처,경기 용인시,경기도 용인시 처인구 모현읍 초부로 220,37.31487372,127.2678442
용담태교둘레길,경기 용인시,경기도 용인시 처인구 원삼면,37.17695241,127.3286748
W홀스랜드,경기 가평군,경기도 가평군 상면 물골길 391,37.84904549,127.2935606
의왕스카이레일,경기 의왕시,경기도 의왕시 왕송못동로,37.31323565,126.9489864
남한강 자전거길,경기 남양주시,경기도 남양주시 와부읍 경강로926번길 80,37.5495833,127.2387505
경기도종합사격장,경기 화성시,경기도 화성시 양감면 사격장길 142,37.09390565,126.9565356
원마운트 스노우파크,경기 고양시,경기도 고양시 일산서구 한류월드로 300,37.6645541,126.7545266
안성시사계절썰매장,경기 안성시,경기도 안성시 보개면 남사당로 198-3,37.03125388,127.3114616
서서울컨트리클럽,경기 파주시,경기도 파주시 광탄면 혜음로 324,37.73132545,126.8964689
고대산캠핑리조트,경기 연천군,경기도 연천군 신서면 고대산길 84-12,38.21251732,127.1456447
한탄강관광지 오토캠핑장,경기 연천군,경기도 연천군 전곡읍 선사로 76,38.00887699,127.0588604
광명스피돔,경기 광명시,경기도 광명시 광명로 721,37.4668955,126.8453132
한국민속촌 눈썰매장,경기 용인시,경기도 용인시 기흥구 민속촌로 90,37.25913189,127.1225431
양지파인리조트 눈썰매장,경기 용인시,경기도 용인시 처인구 양지면 남평로 112,37.2103839,127.2937759
다산길1코스,경기 남양주시,경기도 남양주시 와부읍 덕소로 56,37.58689758,127.2088195
대부도,경기 안산시,경기도 안산시 단원구 대부동동,37.24902391,126.6016174
명지산 트레킹,경기 가평군,경기도 가평군 북면 도대리 일원,37.9467242,127.4879054
라비돌 컨트리클럽(퍼블릭골프장),경기 화성시,경기도 화성시 정남면 세자로 286,37.18708443,126.9841532
평화누리길 10코스 고랑포길,경기 연천군,경기도 연천군 장남면 원당리,37.98547211,126.8786975
[경기옛길 삼남길 제1길] 한양관문길(남태령표석 ~ 인덕원옛터),경기,경기도 과천시 남태령옛길,37.45278279,126.9928967
[경기옛길 삼남길 제4길] 서호천길(지지대비 ~ 서호공원입구),경기 수원시,경기도 수원시 장안구 경수대로,37.29361515,127.015895
의정부실내빙상장,경기 의정부시,경기도 의정부시 체육로 136,37.75879471,127.0238361
성은낚시터,경기 안성시,경기도 안성시 원곡면 통심길 16-46,37.07048505,127.1678744
가평 자라섬테마파크,경기 가평군,경기도 가평군 가평읍 자라섬로 60,37.82089751,127.5210451
캠프통 아일랜드,경기 가평군,경기도 가평군 청평면 호반로 976,37.7105574,127.4844323
