name,region,address,lat,lon
호미반도 해안둘레길,경북 포항시,경상북도 포항시 남구 동해면,35.98848071,129.4401758
금오산 올레길,경북 구미시,경상북도 구미시 금오산로 336-44,36.11719077,128.3148565
문경 철로자전거(레일바이크),경북 문경시,경상북도 문경시 불정강변길 187,36.6553867,128.141024
구미시평생교육원,경북 구미시,경상북도 구미시 산호대로 243,36.10555959,128.3839007
문경활공랜드,경북 문경시,경상북도 문경시 문경읍 활공장길 80,36.73629896,128.1538507
경주월드 눈썰매장,경북 경주시,경상북도 경주시 보문로 544,35.83610009,129.279149
트리독스 반려견 전용 캠핑장,경북 고령군,경상북도 고령군 쌍림면 용당길 42-56,35.65048205,128.2300756
청량산 트레킹,경북 봉화군,경상북도 봉화군 명호면 광석길 39,36.78808222,128.8938782
상주국제승마장,경북 상주시,경상북도 상주시 사벌국면 경천로 683-47,36.45928606,128.2305529
화랑교육원,경북 경주시,경상북도 경주시 새남산길 62,35.80660131,129.2412438
늘푸른체험학교 캠핑장,경북 영천시,경상북도 영천시 대창면 영지길 100,35.85821183,128.9197937
양포방파제,경북 포항시,경상북도 포항시 남구 장기면 양포항길,35.88191688,129.5203153
예천 진호국제양궁장,경북 예천군,경상북도 예천군 예천읍 양궁장길 38,36.63462912,128.4683906
소백산 자락길,경북 영주시,경상북도 영주시 선비로 213,36.82317916,128.6169196
후포방파제,경북 울진군,경상북도 울진군 후포면 울진대게로,36.69657317,129.4723752
[영덕 블루로드] B코스 푸른대게의 길,경북 영덕군,경상북도 영덕군 영덕읍,36.40948188,129.3728193
짚라인 문경,경북 문경시,경상북도 문경시 불정길 174,36.62285691,128.1367808
안동 퇴계 오솔길 (녀던길),경북 안동시,경상북도 안동시 도산면 도산서원길 154,36.72789366,128.8403536
포항동해승마장,경북 포항시,경상북도 포항시 남구 동해면 약전로115번길 11,35.9798771,129.4483643
치산관광지 캠핑장,경북 영천시,경상북도 영천시 신녕면 치산관광길 263,36.04914303,128.7128084
덕구계곡 트레킹,경북 울진군,경상북도 울진군 북면 덕구온천로 905,37.07851478,129.2817235
경주 산내 반딧불이캠핑장,경북 경주시,경상북도 경주시 산내면 대현길 250-13,35.71272409,129.0738914
봉평해수욕장 (바다낚시),경북 울진군,경상북도 울진군 죽변면 울진북로 1166,37.0429179,129.413005
문경호스랜드 승마클럽,경북 문경시,경상북도 문경시 마성면 진남2길 32-10,36.6535102,128.1330299
감포방파제,경북 경주시,경상북도 경주시 감포읍 감포항구길,35.8084433,129.5044179
[영덕 블루로드] A코스 빛과 바람의 길,경북 영덕군,경상북도 영덕군 강구면,36.36181514,129.3785933
경천대랜드 눈썰매장,경북 상주시,경상북도 상주시 사벌면 경천로 652-18,36.4554179,128.2437392
[영덕 블루로드] C코스 목은사색의 길,경북 영덕군,경상북도 영덕군 축산면,36.50894572,129.4142579
안동호,경북 안동시,경상북도 안동시 호반로,36.60163537,128.8074344
문경관광사격장,경북 문경시,경상북도 문경시 사격장길 155,36.64298155,128.1299961
