name,region,address,lat,lon
시민의 숲 야영장,광주 북구,광주광역시 북구 추암로 190,35.2342843,126.8672499
[무등산 옛길 2구간] 원효사~서석대,광주 북구,광주광역시 북구 무등로 1514-35,35.1484332,126.9856023
[무등산 옛길 1구간] 산수동~원효사,광주 동구,광주광역시 동구 무등로,35.1586,126.9465078
광주패밀리랜드 눈썰매장,광주 북구,광주광역시 북구 우치로 677,35.223688,126.891617
광주-기아 챔피언스 필드,광주 북구,광주광역시 북구 서림로 10,35.1682592,126.8884114
[무등산 옛길 3구간] 장원삼거리~환벽당,광주 동구,광주광역시 동구 산수동,35.1569342,126.9342774
광주월드컵경기장,광주 서구,광주광역시 서구 금화로 240,35.1329733,126.8755729
광주실내빙상장,광주 서구,광주광역시 서구 금화로 278,35.1347737,126.8794039
광주광역시청소년수련원,광주 서구,광주광역시 서구 학생독립로 37,35.1411212,126.8674009
광주실내수영장,광주 서구,광주광역시 서구 금화로 278,35.1347737,126.8794039
광주북구청소년수련관,광주 북구,광주광역시 북구 대천로 86,35.1842638,126.9172348
광주광역시 야외스케이트(썰매)장,광주 서구,광주광역시 서구 내방로 111,35.1596113,126.8523491
