name,region,address,lat,lon
계족산 황톳길,대전 대덕구,대전광역시 대덕구 장동,36.4026563,127.4457897
대청호 오백리길,대전 대덕구,대전광역시 대덕구,36.3467189,127.4155717
계룡산 수통골,대전 유성구,대전광역시 유성구 수통골로 47-3,36.3452704,127.2885771
회인선 행복누리길,대전 동구,대전광역시 동구 신상동,36.35071,127.5092537
로하스 가족공원 워터캠핑장,대전 대덕구,대전광역시 대덕구 대청로424번길 200,36.4505206,127.4687764
유성컨트리클럽,대전 유성구,대전광역시 유성구 현충원로 200,36.354013,127.2903348
대전 자전거 [대청댐 순환 코스],대전 대덕구,대전광역시 대덕구 미호동,36.4639036,127.4729409
대전월드컵경기장,대전 유성구,대전광역시 유성구 월드컵대로 32,36.364793,127.3247552
추목수영장,대전 유성구,대전 유성구 자운로221번길 120-10,36.4138132,127.3398044
유성호텔 실내수영장,대전 유성구,대전광역시 유성구 온천로 9,36.3561902,127.3388662
대전 자전거 [갑천 순환 코스],대전 유성구,대전광역시 유성구 도룡동,36.377605,127.3876979
대전 자전거 [찬샘마을 체험코스],대전 동구,대전광역시 동구 직동,36.4143828,127.4899345
복용승마장,대전 유성구,대전광역시 유성구 덕명로56번길 199,36.3506079,127.3076668
대전 자전거 [고봉산 산림체험 코스],대전 대덕구,대전광역시 대덕구 비래동,36.3549405,127.4500681
대전광역시시설관리공단 한밭수영장(실내),대전 중구,대전광역시 중구 대종로 373,36.3172026,127.4285703
대전근로자종합복지회관,대전 대덕구,대전광역시 대덕구 대화로 10,36.3684122,127.418472
대전청소년수련마을,대전 중구,대전광역시 중구 방아미로 131,36.2663223,127.3920221
대덕연구단지 컨트리클럽,대전 유성구,대전광역시 유성구 유성대로1689번길 69,36.4041451,127.3935724
한밭종합운동장,대전 중구,대전광역시 중구 대종로 373,36.3172026,127.4285703
"대전 자전거 [유등, 대전천 순환 코스]",대전 유성구,대전광역시 유성구 도룡동,36.377605,127.3876979
동구청소년자연수련관,대전 동구,대전광역시 동구 산내로474번길 123,36.2228499,127.4499207
