name,region,address,lat,lon
송도 구름산책로(스카이워크),부산 서구,부산광역시 서구 암남동 129-4,35.0754813,129.0230912
문탠로드,부산 해운대구,부산광역시 해운대구 달맞이길 120,35.1574096,129.1755364
구덕야영장,부산 서구,부산광역시 서구 꽃마을로156번길 109,35.1253387,129.010719
수영만 요트경기장,부산 해운대구,부산광역시 해운대구 해운대해변로 84,35.160915,129.1405557
다대포일대,부산 사하구,부산광역시 사하구 몰운대1길 14,35.0457857,128.968704
부산광역시 금련산청소년수련원,부산 수영구,부산광역시 수영구 황령산로 156,35.1546204,129.1024177
센텀시티 아이스링크 (신세계백화점),부산 해운대구,부산광역시 해운대구 센텀남대로 35,35.1687032,129.1297466
[부산 갈맷길 2코스] 2구간 민락교~오륙도,부산 해운대구,부산광역시 해운대구 우동,35.1727865,129.1466518
영도관광사격장,부산 영도구,부산광역시 영도구 절영로 319,35.0739797,129.0541222
부산 아시아드주경기장,부산 연제구,부산광역시 연제구 월드컵대로 344,35.1896429,129.0569842
파라다이스 카지노 부산,부산 해운대구,부산광역시 해운대구 해운대해변로 296,35.1601338,129.1646875
씨프랜드,부산 사상구,부산광역시 사상구 가야대로 229-6,35.1505334,128.9979023
파라다이스호텔 헬스클럽,부산 해운대구,부산광역시 해운대구 해운대해변로 296,35.1601338,129.1646875
양정청소년수련관,부산 부산진구,부산광역시 부산진구 동평로405번길 85,35.1772787,129.0717449
세븐럭카지노(부산롯데점),부산 부산진구,부산광역시 부산진구 가야대로 772,35.1568526,129.0566466
부산종합운동장,부산 연제구,부산광역시 연제구 월드컵대로 344,35.1896429,129.0569842
부산사회체육센터,부산 해운대구,부산광역시 해운대구 APEC로 68,35.1671793,129.137518
용호동일대 바다낚시,부산 남구,부산광역시 남구 분포로 101,35.1295917,129.11584
태종대일대,부산 영도구,부산광역시 영도구 전망로 24,35.0597259,129.0798403
부산광역시학생교육원,부산 금정구,부산광역시 금정구 북문로 178,35.2591678,129.0442329
스포원파크 경륜장,부산 금정구,부산광역시 금정구 체육공원로399번길 324,35.2913418,129.1053512
송정해수욕장(낚시터),부산 해운대구,부산광역시 해운대구 송정해변로 58,35.1796001,129.2000273
다대 실내수영장,부산 사하구,부산광역시 사하구 다대로 734,35.0499677,128.9614103
해양스포츠교실,부산 영도구,부산광역시 영도구 감지해변길 102,35.0611065,129.077245
아시아드 컨트리클럽,부산 기장군,부산광역시 기장군 일광면 차양길 26,35.2877195,129.2387982
해운대일대(낚시터),부산 해운대구,부산광역시 해운대구 해운대해변로 264,35.1591167,129.1603013
함지골청소년수련관,부산 영도구,부산광역시 영도구 절영로 321,35.0739797,129.0541222
부산컨트리클럽,부산 금정구,부산광역시 금정구 중앙대로2327번길 112,35.2968959,129.0945543
회동수원지 둘레길,부산 금정구,부산광역시 금정구 개좌로 147,35.2251511,129.1167009
