name,region,address,lat,lon
[북악하늘길 스카이웨이] 하늘한마당~하늘마루,서울 성북구,서울특별시 성북구 북악산로,37.5976213,127.0189716
경의선숲길(연트럴파크),서울 마포구,서울특별시 마포구 동교로51길 133,37.5664463,126.9197259
서울 한양도성(스탬프투어),서울 종로구,서울특별시 종로구 창의문로 42,37.5906062,126.9709242
올림픽공원 경기장,서울 송파구,서울특별시 송파구 올림픽로 424,37.5217853,127.1165203
여의도 둘레길(여의도 자전거도로),서울 영등포구,서울특별시 영등포구 여의동로 330,37.5263086,126.9335824
서울종합운동장(잠실종합운동장),서울 송파구,서울특별시 송파구 올림픽로 25,37.5140929,127.0749534
한강시민공원 뚝섬수영장(실외),서울 광진구,서울특별시 광진구 강변북로 139,37.5293797,127.0739795
[북한산 둘레길] 7 옛성길,서울 종로구,서울특별시 종로구 구기동,37.6180692,126.9581885
코오롱스포렉스(서초점),서울 서초구,서울특별시 서초구 서초대로70길 32,37.493189,127.023303
서대문문화체육회관 실내수영장,서울 서대문구,서울특별시 서대문구 백련사길 39,37.5806516,126.9312702
양천구 둘레길(하천형),서울 양천구,서울특별시 양천구 안양천로 711,37.5283271,126.8800082
YMCA 송파 수영장(실내),서울 송파구,서울특별시 송파구 올림픽로 211,37.5125309,127.0944272
강동그린웨이 가족캠핑장,서울 강동구,서울특별시 강동구 천호대로206길 87,37.5358284,127.1540755
신림체육센터,서울 관악구,서울특별시 관악구 난곡로58길 13,37.4801485,126.9161948
롯데월드 아이스링크(실내),서울 송파구,서울특별시 송파구 올림픽로 240,37.5112348,127.0980274
서울마리나 요트&클럽,서울 영등포구,서울특별시 영등포구 여의서로 160,37.5350498,126.9132566
[서울둘레길 1코스] 수락·불암산코스,서울 도봉구,서울특별시 도봉구 도봉로 964-40,37.6890803,127.046509
[서울둘레길 8코스] 북한산코스,서울 은평구,서울특별시 은평구 진관동 533,37.636747,126.9188346
세븐럭카지노(강남코엑스점),서울 강남구,서울특별시 강남구 테헤란로87길 58,37.5101935,127.0585824
