name,region,address,lat,lon
덕산국민여가캠핑장,인천 강화군,인천광역시 강화군 내가면 강화서로227번길 91,37.7175416,126.385956
계양산 둘레길,인천 계양구,인천광역시 계양구 다남동 산65-1,37.5601148,126.7160083
[인천 개항 누리길] 1시간 코스,인천 중구,인천광역시 중구 제물량로 269,37.4779641,126.6177128
인천아시아드주경기장,인천 서구,인천광역시 서구 봉수대로 806,37.5556036,126.6578199
송도종합스포츠센터,인천 연수구,인천광역시 연수구 인천신항대로892번길 40,37.3511891,126.6184667
덱스타이드 요트,인천 중구,인천광역시 중구 왕산마리나길 131,37.456744,126.3572188
함허동천야영장,인천 강화군,인천광역시 강화군 화도면 해안남로1196번길 38,37.6120401,126.4530611
[강화 나들길 제3코스] 고려왕릉 가는 길,인천 강화군,인천광역시 강화군 강화읍 청하동길 24,37.7465557,126.4815671
만정캠핑장,인천 중구,인천광역시 중구 영종순환로 279-20,37.5153643,126.5496602
강화레포츠파크,인천 강화군,인천광역시 강화군 불은면 중앙로 546-34,37.7154831,126.4534337
여성문화회관 수영장(실내),인천 부평구,인천광역시 부평구 길주로 539,37.507813,126.7219616
영종씨사이드 레일바이크,인천 중구,인천광역시 중구 구읍로 75,37.4885453,126.5774102
강화도 황청낚시터,인천 강화군,인천광역시 강화군 내가면 황청포구로443번길 90,37.7147779,126.3647939
[인천 개항 누리길] 3시간 코스,인천 중구,인천광역시 중구 제물량로 269,37.4779641,126.6177128
인천대공원 사계절썰매장,인천 남동구,인천 남동구 무네미로 238,37.4510879,126.7466778
[강화 나들길 제1코스] 심도역사문화길,인천 강화군,인천광역시 강화군 강화읍 청하동길 24,37.7465557,126.4815671
인천광역시 미추홀구 청소년수련관,인천 미추홀구,인천광역시 미추홀구 경인로42번길 23,37.4633676,126.6487115
인천서구 사계절썰매장,인천 서구,인천광역시 서구 심곡로 166,37.5474686,126.6836546
국화지낚시터,인천 강화군,인천광역시 강화군 강화읍 국화길 51,37.7482427,126.4674823
강화도,인천 강화군,인천광역시 강화군 강화읍 강화대로,37.7437371,126.4956434
신선낚시터,인천 강화군,인천광역시 강화군 내가면 고천리 1820,37.7202469,126.4113218
계양경기장 계양체육관,인천 계양구,인천광역시 계양구 봉오대로 855,37.5300933,126.7225357
인산낚시터,인천 강화군,인천광역시 강화군 양도면 중앙로787번길 8-2,37.6990805,126.4309593
계산국민체육센터,인천 계양구,인천광역시 계양구 주부토로 580,37.5459931,126.7291679
계양경기장 아시아드양궁장,인천 계양구,인천광역시 계양구 봉오대로 855,37.5300933,126.7225357
스쿠바몰,인천 부평구,인천광역시 부평구 충선로 191,37.5054779,126.7358947
인천문학경기장(인천월드컵경기장),인천 미추홀구,인천 미추홀구 매소홀로 618,37.4360819,126.6891166
강화 길정지,인천 강화군,인천광역시 강화군 양도면 길정리 산201,37.6616191,126.4615991
[강화 나들길 제2코스] 호국돈대길,인천 강화군,인천광역시 강화군 강화읍 청하동길 24,37.7465557,126.4815671
선두포낚시터,인천 강화군,인천광역시 강화군 화도면 덕포길,37.6245556,126.461986
[강화 나들길 제8코스] 철새 보러 가는 길,인천 강화군,인천광역시 강화군 강화읍 청하동길 24,37.7465557,126.4815671
[강화 나들길 제5코스] 고비고개길,인천 강화군,인천광역시 강화군 강화읍 청하동길 24,37.7465557,126.4815671
[인천 개항 누리길] 2시간 코스,인천 중구,인천광역시 중구 제물량로 269,37.4779641,126.6177128
강화 자전거 관광코스,인천 강화군,인천광역시 강화군 강화읍,37.7483209,126.4835663
[강화 나들길 제4코스] 해가 지는 마을 길,인천 강화군,인천광역시 강화군 강화읍 청하동길 24,37.7465557,126.4815671
[강화 나들길 제6코스] 화남생가 가는 길,인천 강화군,인천광역시 강화군 강화읍 청하동길 24,37.7465557,126.4815671
나인승마클럽,인천 계양구,인천 계양구 방축로76번길 61,37.5569394,126.7327554
[강화 나들길 제7코스] 낙조보러 가는 길,인천 강화군,인천광역시 강화군 강화읍 청하동길 24,37.7465557,126.4815671
인천광역시 청소년수련관,인천 남동구,인천 남동구 장수로 42,37.4535494,126.7500018
인천아시아드 주경기장 연희크리켓경기장,인천 서구,인천광역시 서구 봉수대로 806,37.5556036,126.6578199
인천 올림픽기념국민생활관,인천 남동구,인천광역시 남동구 구월로 251,37.4571784,126.718678
갈매기배낚시,인천 동구,인천광역시 동구 보세로 4,37.4874962,126.6232088
파라다이스 카지노 인천공항점,인천 중구,인천광역시 중구 영종해안남로321번길 208,37.4404833,126.4575076
황산지(장흥지),인천 강화군,인천광역시 강화군 길상면 장흥리,37.6170044,126.5118234
계양경기장,인천 계양구,인천광역시 계양구 봉오대로 855,37.5300933,126.7225357
인천국제컨트리클럽,인천 서구,인천광역시 서구 도요지로 37,37.5627816,126.6598141
