name,region,address,lat,lon
여수 해양레일바이크,전남 여수시,전라남도 여수시 망양로 187,34.7998043,127.7459652
한화리조트 지리산 카라반,전남 구례군,전라남도 구례군 마산면 화엄사로 464,35.2483901,127.4937248
정남진해양낚시공원,전남 장흥군,전라남도 장흥군 회진면 해양낚시길 137,34.4701055,126.9768207
하화도 꽃섬길,전남 여수시,전라남도 여수시 화정면 아랫꽃섬1길 1,34.5945796,127.6193105
가거도,전남 신안군,전라남도 신안군 흑산면 가거도길 41-2,34.0521242,125.1245685
임자해변승마공원,전남 신안군,전라남도 신안군 임자면 한틀길 194-46,35.1103706,126.0869298
지리산온천랜드 카라반,전남 구례군,전라남도 구례군 산동면 지리산온천로 261,35.3184937,127.4577881
담양 용마루길,전남 담양군,전라남도 담양군 용면 추월산로 735,35.3872808,126.993501
마량항,전남 강진군,전라남도 강진군 마량면 미항로 157,34.4493974,126.8192906
홍도 (바다낚시),전남 신안군,전라남도 신안군 흑산면 홍도1길 21-5,34.6829512,125.1904235
곡성기차마을 패러글라이딩,전남 곡성군,전라남도 곡성군 오곡면 덕양서원길 42,35.2634377,127.3106056
신지도.고금도.약산도(바다낚시),전남 완도군,전라남도 완도군 신지면,34.3347526,126.82724
금오도 비렁길,전남 여수시,전라남도 여수시 남면 용머리길,34.5371321,127.7049429
금오도캠핑장 (관광두레 주민사업체),전남 여수시,전라남도 여수시 남면 대유길 36-2,34.5351616,127.7612922
병풍도,전남 신안군,전라남도 신안군 증도면 병풍리,34.9662806,126.2073817
유달산 둘레길,전남 목포시,전라남도 목포시 죽교동,34.7966426,126.368521
섬진강레일바이크,전남 곡성군,전라남도 곡성군 오곡면 섬진강로 1877,35.2592655,127.3489305
느랭이골 글램핑,전남 광양시,전라남도 광양시 다압면 토끼재길 119-32,35.0596944,127.7106736
짚라인곡성,전남 곡성군,전라남도 곡성군 오곡면 섬진강로 1492,35.2335225,127.3578324
전라남도종합사격장,전남 나주시,전라남도 나주시 사격장길 82,35.0200711,126.7051828
신안 천도천색호,전남 신안군,전라남도 신안군 암태면 박달로 15,34.8616464,126.1564545
나주호(민물낚시),전남 나주시,전라남도 나주시 다도면 나주호로 174,34.9636515,126.8433273
완도(바다낚시),전남 완도군,전라남도 완도군 완도읍 청해진남로 51,34.3109182,126.7550812
청산도 슬로길,전남 완도군,전라남도 완도군 청산면 청산로 3,34.181341,126.8546986
추월산 트레킹,전남 담양군,전라남도 담양군 용면,35.3649462,126.9875112
[증도 모실길 1코스] 노을이 아름다운 사색의 길,전남 신안군,전라남도 신안군 증도면,35.002795,126.1397376
목포실내수영장,전남 목포시,전라남도 목포시 대양로 286,34.8242902,126.407449
청산도.황제도(바다낚시),전남 완도군,전라남도 완도군 청산면 청산로 1613,34.1816903,126.8577421
[해안누리길] 해넘이길,전남 신안군,전라남도 신안군 자은면 둔장길 2,34.9132403,126.0657165
순천승마장,전남 순천시,전라남도 순천시 낙안면 금산길 118-28,34.9355838,127.356801
곡성군청소년야영장,전남 곡성군,전라남도 곡성군 고달면 가정마을길 51,35.2277826,127.3698141
땅끝오토캠핑리조트,전남 해남군,전라남도 해남군 송지면 갈산길 25-5,34.30897,126.5205677
중도방죽,전남 보성군,전라남도 보성군 벌교읍 신정길 4-41,34.8439274,127.3509258
거문도권,전남 여수시,전라남도 여수시 삼산면 거문길 28-10,34.0256376,127.3119639
장성호 낚시,전남 장성군,전라남도 장성군 북하면 백양로,35.4218945,126.8638265
섬진강 자전거하이킹,전남 곡성군,전라남도 곡성군 고달면 가정마을길 51,35.2277826,127.3698141
그랑프리승마파크,전남 담양군,전라남도 담양군 고서면 광산길 43-7,35.2113146,126.9761332
맹골군도,전남 진도군,전라남도 진도군 조도면 맹골도길,34.215447,125.8546599
곡성성림청소년수련의집,전남 곡성군,전라남도 곡성군 오산면 설산로 417,35.2852943,127.0968991
꿈꾸는 캠핑장,전남 곡성군,전라남도 곡성군 고달면 고산로 325,35.2905528,127.3453526
[증도 모실길 3코스] 천년의 숲길,전남 신안군,전라남도 신안군 증도면,35.002795,126.1397376
[증도 모실길 5코스] 천일염길,전남 신안군,전라남도 신안군 증도면,35.002795,126.1397376
여수일대(바다낚시),전남 여수시,전라남도 여수시 돌산읍 강남로 31,34.7185255,127.7488059
[증도 모실길 2코스] 보물선 순교자 발자취 길,전남 신안군,전라남도 신안군 증도면,35.002795,126.1397376
장흥 포항저수지,전남 장흥군,전라남도 장흥군 대덕읍 신흥2길 41,34.5009537,126.9114392
[증도 모실길 4코스] 갯벌공원길,전남 신안군,전라남도 신안군 증도면,35.002795,126.1397376
성암국제수련원,전남 담양군,전라남도 담양군 수북면 한수동로 872,35.3170484,126.8954132
보길도일대(바다낚시),전남 완도군,전라남도 완도군 보길면,34.1690772,126.5676334
송호학생수련장,전남 해남군,전라남도 해남군 송지면 땅끝해안로 1823,34.3706011,126.5315651
고흥권,전남 고흥군,전라남도 고흥군 도양읍 목넘가는길,34.5306474,127.1288662
섬진강 승마유스빌,전남 곡성군,전라남도 곡성군 고달면 두계길 40-43,35.2379519,127.3756377
완도청소년수련원,전남 완도군,전라남도 완도군 군외면 청해진북로 556-94,34.3861689,126.6920392
회진 바다낚시,전남 장흥군,전라남도 장흥군 회진면,34.481594,126.939615
목포시청소년수련관,전남 목포시,전라남도 목포시 양을로397번길 68,34.8221602,126.4110238
한울테마승마장,전남 진도군,전라남도 진도군 지산면 지산로 704,34.437052,126.1307108
섬진강 레프팅,전남 곡성군,전라남도 곡성군 고달면 가정마을길 51,35.2277826,127.3698141
나주힐스 컨트리클럽,전남 나주시,전라남도 나주시 세지면 신지로 806,34.8941875,126.7257291
개초지(화원1호지),전남 해남군,전라남도 해남군 화원면 개초길 45,34.6453828,126.3135432
함동저수지,전남 장성군,전라남도 장성군 삼서면 수양로,35.2387133,126.6655498
순천시청소년수련원,전남 순천시,전라남도 순천시 서면 청소년수련원길 167,35.0458699,127.4732358
담양다이너스티컨트리클럽,전남 담양군,전라남도 담양군 담양읍 깊은실길 169,35.3176832,127.0085368
관흥지민물낚시(수동 제1저수지),전남 장흥군,전라남도 장흥군 관산읍 수동길,34.5109316,126.9409285
평일도일대(바다낚시),전남 완도군,전라남도 완도군 금일읍 금일로,34.3418701,127.0407963
계마리,전남 영광군,전라남도 영광군 홍농읍 계마길,35.3951011,126.4066686
삼마도,전남 해남군,전라남도 해남군 화산면 상마길,34.4559338,126.4178001
율포오토캠핑리조트,전남 보성군,전라남도 보성군 회천면 충의로 52,34.6710472,127.0912639
골드레이크컨트리클럽,전남 나주시,전라남도 나주시 남평읍 나주호로 442-129,34.9595882,126.8674484
승주컨트리클럽,전남 순천시,전라남도 순천시 별량면 오실길 333,34.9016268,127.4477028
광주컨트리클럽,전남 곡성군,전라남도 곡성군 옥과면 입면로 455,35.310138,127.1699544
장수지,전남 고흥군,전라남도 고흥군 포두면 신호산장길,34.6024564,127.3207229
무안 컨트리클럽,전남 무안군,전라남도 무안군 청계면 서호로 162,34.9622746,126.4018284
