name,region,tel,keyword,photo
선유도해수욕장 (명사십리 해수욕장),전북 군산시,063-454-3332,"['가족여행', '갯벌체험', '경치좋은곳', '관광지', '레포츠', '명사십리해수욕장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bc46dd1a-5b82-4873-9cb8-c6de7254696d&thumb
[군산 구불길] 구불1길 비단강길,전북 군산시,063-454-3303,"['구불길', '군산', '군산여행', '레포츠', '산책길']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0df56fe4-7f9f-4c64-9171-86468e2cc4ac&thumb
고군산군도,전북 군산시,063 -465-5186,"['고군산군도', '낚시체험', '낚시터', '레포츠', '전북권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a45bdd7a-9d27-47ed-9754-791db893795e&thumb
웅포관광지 캠핑장,전북 익산시,063-862-1578,"['가족여행', '레포츠', '웅포관광지캠핑장', '전라권', '휴양여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b4118b32-8661-4726-a715-c7f059891490&thumb
무주덕유산리조트 스키장,전북 무주군,063-322-9000,"['겨울레포츠', '겨울스포츠', '레포츠', '스키대여', '스키장', '스키장', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8927cbb8-3d5b-4eb4-b0d1-5d16b9973f80&thumb
섬진강향가오토캠핑장,전북 순창군,063-652-9001,"['가족여행', '레포츠', '섬진강', '캠핑장', '힐링여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=78d18014-bd5f-4e77-91b9-14ea155d050c&thumb
무주덕유산리조트 썰매장,전북 무주군,063-320-7336,"['레포츠', '무주덕유산', '썰매장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6761f453-4f71-4b09-be45-8b5069fde11a&thumb
전주한옥레일바이크,전북 전주시,063-273-7788,"['가족여행', '레일바이크', '레포츠', '연중무휴', '전주시']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=078177c6-644f-4904-93bc-39da6bc74623&thumb
부안스포츠파크,전북 부안군,063-580-3904,"['레포츠', '복합레저스포츠', '부안스포츠파크', '이색체험', '전라권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9a8049a1-cc32-4225-8c95-0755b9543d62&thumb
부남면 금강하천,전북 무주군,1899-8687,"['레포츠', '무주', '무주낚시', '무주낚시터', '민물낚시', '전북권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5a1d5ff3-3e5a-4ef0-a12a-c47e6c66c223&thumb
