name,region,address,lat,lon
선유도해수욕장 (명사십리 해수욕장),전북 군산시,전라북도 군산시 옥도면,35.6709622,126.4965411
[군산 구불길] 구불1길 비단강길,전북 군산시,전라북도 군산시 금강변 일원,35.9676772,126.7366293
고군산군도,전북 군산시,전라북도 군산시 옥도면,35.6709622,126.4965411
웅포관광지 캠핑장,전북 익산시,전라북도 익산시 웅포면 강변로 25,36.0662158,126.876232
무주덕유산리조트 스키장,전북 무주군,전라북도 무주군 설천면 만선로 185,35.8893667,127.7389493
섬진강향가오토캠핑장,전북 순창군,전라북도 순창군 풍산면 향가로 575,35.3424563,127.1804313
무주덕유산리조트 썰매장,전북 무주군,전라북도 무주군 설천면 만선로 185,35.8893667,127.7389493
전주한옥레일바이크,전북 전주시,전라북도 전주시 덕진구 동부대로 420,35.848752,127.1464411
부안스포츠파크,전북 부안군,전라북도 부안군 행안면 체육공원길 31,35.7005537,126.723777
부남면 금강하천,전북 무주군,전라북도 무주군 부남면 대소길,35.973251,127.5611447
전주승마장,전북 전주시,전라북도 전주시 덕진구 호성로 19,35.8526495,127.15078
태평양수영장(실내),전북 전주시,전라북도 전주시 덕진구 기린대로 358,35.8357881,127.1357714
완주 밀리터리파크,전북 완주군,전라북도 완주군 고산면 고산휴양림로 89,35.9740131,127.2315259
완주 에코 어드벤처,전북 완주군,전라북도 완주군 고산면 고산휴양림로 246,35.9596666,127.2355162
아름다운 순례길,전북 전주시,전북 전주시 완산구,35.812111,127.1199201
[지리산 둘레길 코스] 인월~금계,전북 남원시,전라북도 남원시 인월면 인월2길 95,35.4590788,127.6060085
선유스카이SUN라인,전북 군산시,전라북도 군산시 옥도면 선유북길 129-2,35.8141146,126.4096003
청정테마힐링센터,전북 완주군,전라북도 완주군 구이면 장미로 31,35.6859933,127.0998802
장수승마체험장,전북 장수군,전라북도 장수군 장수읍 승마로 74,35.6562999,127.5110902
격포방파제낚시,전북 부안군,전라북도 부안군 변산면 방파제길,35.6251571,126.4707171
전주월드컵경기장,전북 전주시,전라북도 전주시 덕진구 기린대로 1055,35.8680573,127.0645192
[변산 마실길 1코스] 조개미 패총길,전북 부안군,전라북도 부안군 변산면,35.6634849,126.5284868
무주래프팅,전북 무주군,전라북도 무주군 무주읍 잠두길 5-11,35.9978661,127.607204
[군산 구불길] 구불4길 구슬뫼길,전북 군산시,전라북도 군산시 옥산면 남내리,35.9373896,126.764462
[변산 마실길 3코스] 적벽강 노을길,전북 부안군,전라북도 부안군 변산면,35.6634849,126.5284868
어청도,전북 군산시,전라북도 군산시 옥도면 어청도길,36.1191774,125.9782188
전라북도종합사격장,전북 임실군,전라북도 임실군 청웅면 청운로 168-46,35.5868681,127.1921824
무주레저스쿨,전북 무주군,전라북도 무주군 부남면 굴암로 263,35.9928121,127.5820307
[고창 고인돌 질마재길 1코스] 고인돌길,전북 고창군,전라북도 고창군 고창읍 고인돌공원길,35.4422854,126.6509793
청암산오토캠핑장,전북 군산시,전라북도 군산시 옥산면 대위로 50,35.9364117,126.7569602
코레일과 함께하는 남원 자전거하이킹_1일코스,전북 남원시,전라북도 남원시 교룡로 71,35.4109308,127.3621994
무주스피드레져,전북 무주군,전라북도 무주군 부남면 잠두강변길 215,36.002694,127.5989158
익산시 국민생활관,전북 익산시,전라북도 익산시 선화로 255,35.9453889,126.9586965
전라북도교육문화회관,전북 전주시,전라북도 전주시 덕진구 안덕원로 71,35.8291331,127.1378158
[지리산 둘레길 코스] 운봉~인월,전북 남원시,전라북도 남원시 인월면 인월2길 95,35.4590788,127.6060085
