name,region,tel,keyword,photo
우도,제주 제주시,064-740-6000,"['19_20한국관광100선', '낚시체험', '레포츠', '우도', '제주도', '한국관광100선']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=72e7e89e-c928-4b38-8f65-e32caf393adc&thumb
사려니숲길,제주 서귀포시,064-900-8800,"['경치좋은곳', '레포츠', '사려니숲길', '산책코스', '제주도', '트레킹', '휴식여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f7080182-6fa9-4063-8220-801b517dd825&thumb
[제주올레 12코스] 무릉-용수 올레,제주 서귀포시,064-762-2190,"['레포츠', '서귀포', '올레코스', '제주도', '트레킹']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=48520a21-691e-4f27-94b7-c8ebfe6e182b&thumb
[제주올레 18-1코스] 추자도 올레,제주 제주시,064-762-2190,"['레포츠', '제주도트래킹', '제주올레', '제주올레길', '트래킹']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=576d1524-a92a-4c47-8ad4-294ca865e2f4&thumb
타보카 투명카약,제주 제주시,064-743-0051,"['경험', '남녀노소', '레포츠', '반려견과함께', '반려견동반여행지', '수상레포츠']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f9e62031-e062-4538-be36-cde342933735&thumb
무릉 자전거 도로(환상자전거길 3구간),제주 제주시,064-728-1523,"['레포츠', '언택트관광지_100선', '자전거', '제주권', '휴양여행', '힐링']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6dfc7a00-8154-4716-a32e-f63580565c5f&thumb
[제주올레 6코스] 쇠소깍-서귀포 올레,제주 서귀포시,064-762-2190,"['레포츠', '산책길', '연인과함께', '제주올레코스', '친구와함께', '해안산책로']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=dd80a9b4-5ddd-4fad-bf46-f42526c52291&thumb
한라산 트레킹,제주 제주시,064-740-6000,"['걷기여행길', '남녀노소', '레포츠', '제주도', '제주도가볼만한곳', '트레킹', '휴식여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=374c2318-c98a-4bbe-a550-53acc57904ec&thumb
제주빅볼랜드,제주 제주시,1588-6418,"['경험', '레포츠', '레포츠체험', '애월읍', '제주도', '제주빅볼랜드']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=19be0132-f6a2-4667-a196-64339d4ad979&thumb
[제주올레 3코스] 온평-표선 올레,제주 서귀포시,3 064-782-0505,"['가족여행', '경치좋은곳', '레포츠', '올레코스', '제주권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3e776218-6da5-4f0c-a64d-92e74b2c1264&thumb
제주도 스쿠터 여행사 한라하이킹,제주 제주시,064-712-2678,"['레포츠', '산책코스', '산책하기좋은곳', '스쿠터', '연인과함께', '오토바이', '제주하이킹']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fae51b9f-0d65-44c3-87df-a1b4de0c6553&thumb
더마파크,제주 제주시,064-795-8080,"['가족과함께', '가족여행', '공연', '관광지', '더마파크', '레포츠', '승마', '승마장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=72d75c95-5a43-45a5-bc4b-a85904509783&thumb
세리월드,제주 서귀포시,064-739-8254,"['레포츠', '속도', '연인과함께', '제주도', '제주도여행', '체험', '카트', '커플데이트']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ad400eec-08ff-4d7f-9a04-bb93f6f9a2ef&thumb
[제주올레 21코스] 하도-종달올레,제주 제주시,064-762-2190,"['걷기길', '걷기코스', '레포츠', '제주권', '제주올레', '제주올레길']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a2601c86-ccc0-45d6-9f21-23346e9e82b0&thumb
신풍리 밭담길,제주 서귀포시,064-782-7445,"['레포츠', '산책길', '산책로', '산책하기', '산책하기좋은곳', '언택트관광지_100선']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e70cd591-ffe4-4856-848a-3796a95304f6&thumb
제주하이킹(제주도자전거여행),제주 제주시,064-711-2200,"['레포츠', '자전거투어', '제주권', '제주도자전거여행', '제주하이킹', '커플데이트']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3d743f2b-84a1-4394-9f11-27b970db0080&thumb
천아숲길(한라산둘레길),제주 제주시,064-738-4280,"['레포츠', '산책길', '산책로', '산책하기', '산책하기좋은곳', '언택트관광지_100선']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d65bacb8-9e04-4a0e-97db-94bb43066c80&thumb
윈드1947 카트테마파크,제주 서귀포시,1947 064-733-3500,"['남녀노소', '레포츠', '복합레저스포츠', '연인과함께', '이색체험', '익스트림스포츠']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cc430307-0502-4c36-a875-91e60bd13832&thumb
[제주올레 18코스] 제주원도심-조천 올레,제주 제주시,064-762-2190,"['가족과함께', '걷기길', '레포츠', '산책길', '산책코스', '산책하기좋은곳', '제주올레길']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1850ee9d-c10e-444a-9c57-131e2feafa5d&thumb
산방산‧용머리해안 지질트레일,제주 서귀포시,064-792-3363,"['레포츠', '산방산', '용머리해안', '제주지질공원', '지질트레일', '트레킹']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=59ff28da-afbd-4d99-8bf6-09b808416e3e&thumb
제주돔레저,제주 서귀포시,064-792-5688,"['가족과함께', '레포츠', '복합레저스포츠', '수상스포츠', '스포츠체험', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=758ce59d-08c4-4d6d-89a6-d586955bc596&thumb
라마다프라자제주호텔 스포츠센터(실내.외 수영장),제주 제주시,064-729-8455,"['라마다플라자', '레포츠', '스포츠센터', '제주도']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c33888a1-37b2-4c09-baf5-197fb1271fa8&thumb
김녕요트투어,제주 제주시,064-782-5271,"['레포츠', '요트투어', '이색체험', '제주도']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=37f69115-30f4-4b87-a992-5f99542bbb7f&thumb
제주승마공원,제주 제주시,1544-9506,"['가족과함께', '레포츠', '승마', '승마레슨', '승마장', '승마체험', '승마캠프', '승마트레킹']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=445ba8c5-f739-453b-8bf4-c603ce5e9116&thumb
[제주올레 1-1코스] 우도올레,제주 제주시,064-762-2190,"['레포츠', '제주도트래킹', '제주올레', '제주올레길', '제주올레코스', '트래킹코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=39ecef0a-9c3f-4125-ba8c-8b90447f0b4b&thumb
