name,region,address,lat,lon
우도,제주 제주시,제주특별자치도 제주시 우도면 우도로 153,33.5063307,126.953232
사려니숲길,제주 서귀포시,제주특별자치도 서귀포시 표선면 가시리 붉은오름 입구,33.403297,126.682666
[제주올레 12코스] 무릉-용수 올레,제주 서귀포시,제주특별자치도 서귀포시 대정읍 노을해안로 342-5,33.2522329,126.1956862
[제주올레 18-1코스] 추자도 올레,제주 제주시,제주특별자치도 제주시 추자면 추자로 26,33.963599,126.2961362
타보카 투명카약,제주 제주시,제주특별자치도 제주시 애월읍 애월로 11,33.4600513,126.3113009
무릉 자전거 도로(환상자전거길 3구간),제주 제주시,제주특별자치도 제주시 구좌읍 구좌해안로 237,33.5571102,126.7365197
[제주올레 6코스] 쇠소깍-서귀포 올레,제주 서귀포시,제주특별자치도 서귀포시 하효동 995-4,33.2522716,126.6233818
한라산 트레킹,제주 제주시,제주특별자치도 제주시 1100로 2070-61,33.3922314,126.4945663
제주빅볼랜드,제주 제주시,제주특별자치도 제주시 애월읍 산록서로 15,33.3898219,126.3757735
[제주올레 3코스] 온평-표선 올레,제주 서귀포시,제주특별자치도 서귀포시 성산읍 온평리 1001-6,33.4054472,126.9040958
제주도 스쿠터 여행사 한라하이킹,제주 제주시,제주특별자치도 제주시 용두암길 50-1,33.5131312,126.5140754
더마파크,제주 제주시,제주특별자치도 제주시 한림읍 월림7길 155,33.3555222,126.2420266
세리월드,제주 서귀포시,제주특별자치도 서귀포시 법환상로2번길 97-17,33.2468934,126.5119875
[제주올레 21코스] 하도-종달올레,제주 제주시,제주특별자치도 제주시 구좌읍 해녀박물관길 26,33.5230497,126.8628483
신풍리 밭담길,제주 서귀포시,제주특별자치도 서귀포시 성산읍 신풍하동로 39,33.3618401,126.8405958
제주하이킹(제주도자전거여행),제주 제주시,제주특별자치도 제주시 용해로 6,33.516702,126.5020811
천아숲길(한라산둘레길),제주 제주시,제주특별자치도 제주시 애월읍 산록서로 678-207,33.3989223,126.4051573
윈드1947 카트테마파크,제주 서귀포시,제주특별자치도 서귀포시 토평공단로 78-27,33.2894549,126.5876107
[제주올레 18코스] 제주원도심-조천 올레,제주 제주시,제주특별자치도 제주시 일도1동 1146-8,33.5131494,126.5273822
산방산‧용머리해안 지질트레일,제주 서귀포시,제주특별자치도 서귀포시 안덕면,33.2496801,126.3371482
제주돔레저,제주 서귀포시,제주특별자치도 서귀포시 대정읍 보성구억로 119,33.2621627,126.2754861
라마다프라자제주호텔 스포츠센터(실내.외 수영장),제주 제주시,제주특별자치도 제주시 탑동로 66,33.5185924,126.5175016
김녕요트투어,제주 제주시,제주특별자치도 제주시 구좌읍 구좌해안로 229-16,33.558256,126.7372137
제주승마공원,제주 제주시,제주특별자치도 제주시 애월읍 녹고메길 152-1,33.4053866,126.4054711
[제주올레 1-1코스] 우도올레,제주 제주시,제주특별자치도 제주시 우도면 연평리 1737-1,33.4929922,126.9518677
