name,region,address,lat,lon
파라다이스 스파 도고 카라반 캠핑장,충남 아산시,충청남도 아산시 도고면 도고온천로 176,36.7662476,126.8865625
몽산포오토캠핑장,충남 태안군,충청남도 태안군 남면 몽산포길 65-27,36.6699444,126.2875478
예당저수지(예당관광지),충남 예산군,충청남도 예산군 광시면 장전리,36.5928467,126.8034625
학암포 오토캠핑장,충남 태안군,충청남도 태안군 원북면 옥파로 1152-37,36.8971864,126.2075073
송정저수지 (부여),충남 부여군,충청남도 부여군 충화면 충신로 437,36.1483723,126.8090222
계룡산글램핑,충남 공주시,충청남도 공주시 반포면 계룡대로 1352,36.3559529,127.2518695
당진 장고항,충남 당진시,충청남도 당진시 석문면 장고항로,37.0230768,126.5569368
"보령 바다낚시(무창포,대천)",충남 보령시,충청남도 보령시 웅천읍 열린바다2길 46,36.2485451,126.5370439
송악저수지(낚시),충남 아산시,충청남도 아산시 송악면 송악로 560,36.7214327,126.9898213
상록리조트 눈썰매장,충남 천안시,충청남도 천안시 동남구 수신면 수신로 576,36.7420428,127.2873208
아산레일바이크,충남 아산시,충청남도 아산시 도고면 아산만로 199-7,36.7612584,126.8672308
삽교호(아산),충남 아산시,충청남도 아산시 인주면 아산만로 1363,36.8526333,126.8545664
벌말,충남 서산시,충청남도 서산시 대산읍 가로림로 972,36.9615555,126.3339824
보령시 옥마산 패러글라이딩 체험,충남 보령시,충청남도 보령시 남포면 창동1길 233-25,36.3138329,126.6283981
대천 레일바이크,충남 보령시,충청남도 보령시 옥마벚길 64,36.332,126.623
대천 짚트랙,충남 보령시,충청남도 보령시 해수욕장10길 80,36.3186662,126.5082046
천안승마클럽,충남 천안시,충청남도 천안시 서북구 업성3길 31-54,36.859591,127.1298348
마량 방파제,충남 서천군,충청남도 서천군 서면 서인로 56,36.1293642,126.5036472
홍성군 승마체험장,충남 홍성군,충청남도 홍성군 서부면 남당항로 690,36.5590286,126.4729063
에딘버러컨트리클럽,충남 금산군,충청남도 금산군 진산면 살구정길 167,36.1539145,127.3246873
[서산 아라메길 1구간] 유기방가옥~해미읍성 동헌,충남 서산시,충청남도 서산시 운산면 이문안길 72-10,36.8246941,126.5734262
당진 도비도항,충남 당진시,충청남도 당진시 석문면 난지3길,37.0189533,126.4578757
양화저수지,충남 공주시,충청남도 공주시 계룡면 양화리,36.3369902,127.1772777
삼길포,충남 서산시,충청남도 서산시 대산읍 삼길포1로 59,37.0030381,126.4521436
오천.안면도,충남 보령시,충청남도 보령시 오천면 오천해안로,36.4180487,126.5091731
태안 방포항,충남 태안군,충청남도 태안군 안면읍 방포항길,36.5055765,126.336036
도고글로리콘도 실내수영장,충남 아산시,충청남도 아산시 도고면 도고온천로 124-23,36.7653505,126.8889175
태안 통개항,충남 태안군,충청남도 태안군 소원면 파도리,36.7348857,126.1387204
충청남도학생수련원,충남 공주시,충청남도 공주시 연수원길 88-42,36.4911311,127.1519917
부여청소년수련원,충남 부여군,충청남도 부여군 충화면 충신로 618,36.1600553,126.8195001
안면해수욕장,충남 태안군,충청남도 태안군 안면읍 정당리,36.5508737,126.3576326
부여 산직지,충남 부여군,충청남도 부여군 초촌면 선사로 286,36.2609278,127.0410666
홍익대만리포청소년수련원,충남 태안군,충청남도 태안군 소원면 천리포1길 41,36.7866346,126.1464107
충화 복금저수지(복심저수지),충남 부여군,충청남도 부여군 충화면 가림로,36.1846155,126.8614973
아산시 실내수영장,충남 아산시,충청남도 아산시 신정로 685,36.778566,126.9847277
당진 초대리지,충남 당진시,충청남도 당진시 신평면 새내큰말길,36.9062044,126.7410149
"도비도내수면어업계 카누,카약체험장",충남 당진시,충청남도 당진시 석문면 대호만로 2881-16,37.051032,126.4335439
온양그랜드호텔 실내수영장,충남 아산시,충청남도 아산시 충무로20번길 7,36.7833066,127.0060287
태안 모항항,충남 태안군,충청남도 태안군 소원면 모항항길 122-29,36.7754391,126.1355825
반산저수지,충남 부여군,충청남도 부여군 규암면 호반로,36.2777217,126.8507675
장삼포해수욕장,충남 태안군,충청남도 태안군 고남면 장곡리,36.4309938,126.3780996
백마강레저파크,충남 부여군,충청남도 부여군 규암면 호암리 234-2,36.3020849,126.9159369
부여군 청소년수련원,충남 부여군,충청남도 부여군 충화면 충신로 618,36.1600553,126.8195001
태안 곰섬각지(신온지),충남 태안군,충청남도 태안군 남면 마검포길,36.6196327,126.3058838
국립중앙청소년수련원,충남 천안시,충청남도 천안시 동남구 목천읍 서리4길 48,36.7931723,127.2249874
서산 덕송지,충남 서산시,충청남도 서산시 팔봉면 덕송리,36.8254594,126.3460151
죽산낚시터,충남 아산시,충남 아산시 선장면 서부남로 344,36.7857711,126.8978959
천마승마목장,충남 공주시,충청남도 공주시 이인면 돌고지길 5-8,36.3938455,127.0801058
봉재낚시터,충남 아산시,충청남도 아산시 둔포면 충무로 1258-32,36.8831057,127.0320924
당진 오봉제,충남 당진시,충청남도 당진시 신평면,36.8852316,126.7735905
중왕리수로,충남 서산시,충청남도 서산시 지곡면 닷개길,36.8662854,126.3979731
보령시청소년수련관,충남 보령시,충청남도 보령시 성주면 성주산로 500,36.3265425,126.6510609
고북신송지,충남 서산시,충청남도 서산시 고북면 신송리,36.6497723,126.5421558
독립기념관야영장,충남 천안시,충청남도 천안시 동남구 목천읍 독립기념관로 1,36.7834151,127.2231815
신봉낚시터,충남 아산시,충청남도 아산시 영인면 윤보선로 211,36.8943151,127.0039684
계룡산동학사야영장,충남 공주시,충청남도 공주시 반포면 동학사2로 115-16,36.3576718,127.2416048
잠홍 저수지(상홍지),충남 서산시,충청남도 서산시 음암면 상홍리,36.7958941,126.5000359
안흥과 만리포,충남 태안군,충청남도 태안군 근흥면 안흥1길 30-1,36.6811519,126.1528733
오케이목장승마장,충남 예산군,충청남도 예산군 대술면 마전리,36.6297067,126.9148369
마량권 낚시터,충남 서천군,충청남도 서천군 서면 서인로,36.1456481,126.5306555
청양 천장지,충남 청양군,충청남도 청양군 정산면 천장호길,36.409706,126.9164653
구례포천사길,충남 태안군,충청남도 태안군 원북면 구례포길 47-20,36.8857202,126.1982802
풍전 저수지,충남 서산시,충청남도 서산시 인지면 풍전1길 117,36.7772202,126.4177744
덕삼지,충남 당진시,충청남도 당진시 정미면 덕삼리,36.8329566,126.5364973
서천국민체육센터,충남 서천군,충청남도 서천군 마서면 마서로 400,36.0624478,126.6621736
옥산저수지,충남 부여군,충청남도 부여군 옥산면 옥산북로,36.2117441,126.7263992
홍양저수지(빼뽀저수지),충남 홍성군,충청남도 홍성군 금마면 월암리 일대,36.5896447,126.753797
천안시 태조산청소년수련관,충남 천안시,충청남도 천안시 동남구 태조산길 261,36.8238438,127.1946663
학암포항,충남 태안군,충청남도 태안군 원북면 방갈리,36.8948887,126.2247896
신수낚시터,충남 아산시,충청남도 아산시 음봉면 충무로681번길 149-16,36.84385,126.998358
계룡저수지,충남 공주시,충청남도 공주시 계룡면 하대리,36.3528,127.1608095
면천낚시터,충남 당진시,충청남도 당진시 면천면 면천로 844-5,36.811102,126.6807623
인평저수지,충남 태안군,충청남도 태안군 태안읍 인평길,36.7580702,126.3413896
신창저수지,충남 서산시,충청남도 서산시 운산면 개심사로,36.7502006,126.5747113
고풍저수지,충남 서산시,충청남도 서산시 운산면 봉운로,36.7798108,126.6070025
삼원승마클럽,충남 서산시,충청남도 서산시 팔봉면 진장서낭골길 204,36.7775109,126.3513988
태안 모항지,충남 태안군,충청남도 태안군 소원면 연들길,36.7547577,126.1314652
당진 대호지,충남 당진시,충청남도 당진시 대호지면 대호로,36.9245417,126.5123315
서대산드림리조트수영장(실외),충남 금산군,충청남도 금산군 추부면 성당로 247,36.2350072,127.5340153
충남레저,충남 보령시,충청남도 보령시 웅천읍 열린바다로 333-35,36.2408985,126.5366758
수룡저수지,충남 태안군,충청남도 태안군 근흥면 마금로 80,36.7484925,126.2367957
진죽 저수지,충남 보령시,충청남도 보령시 청소면 송덕신송길,36.4597185,126.5768331
부여 상천지,충남 부여군,충청남도 부여군 홍산면 삽티로,36.2362661,126.7541404
