name,region,address,lat,lon
만천하스카이워크,충북 단양군,충청북도 단양군 적성면 옷바위길 10,36.9770829,128.3369439
하늘재 트레킹,충북 충주시,충청북도 충주시 수안보면 미륵리,36.8205886,128.0940826
청풍랜드,충북 제천시,충청북도 제천시 청풍면 청풍호로50길 6,37.0122312,128.179197
산막이옛길,충북 괴산군,충청북도 괴산군 칠성면 산막이옛길 88,36.7609955,127.8387433
충주호 종댕이길,충북 충주시,충청북도 충주시 종민동,36.9904678,127.9877821
옥천 향수 100리 자전거길(금강코스),충북 옥천군,충청북도 옥천군 옥천읍,36.3073447,127.5748173
두산패러글라이딩,충북 단양군,충청북도 단양군 가곡면 두산길 254-6,36.9963008,128.3967846
충주호,충북 충주시,충청북도 충주시 동량면 조동리,37.0348412,127.984953
충주반딧불오토캠핑장,충북 충주시,충청북도 충주시 엄정면 가춘리길 19,37.1254402,127.9256586
덕동골캠핑장,충북 제천시,충청북도 제천시 백운면 덕동로2길 23-26,37.2172235,127.9568779
속리산둘레길 보은길,충북 보은군,충청북도 보은군 장안면 개안길 20,36.4665509,127.7976087
양방산활공장,충북 단양군,충청북도 단양군 단양읍 양방산길 350,36.9682771,128.3817898
청주종합사격장,충북 청주시,충청북도 청주시 청원구 내수읍 도원세교로 369,36.6976745,127.5590271
충주조정체험아카데미,충북 충주시,충청북도 충주시 중앙탑면 중앙탑길 150,37.0220582,127.8611492
솔향공원 스카이바이크,충북 보은군,충청북도 보은군 속리산면 속리산로 600,36.4991742,127.8020815
짚라인 충주,충북 충주시,충청북도 충주시 노은면 우성1길 191,37.0274709,127.7544342
단양클레이사격장,충북 단양군,충청북도 단양군 단양읍 노동장현로 207-17,36.9626976,128.3921631
단양드림레저 패러글라이딩,충북 단양군,충청북도 단양군 단양읍 수변로 59-1,36.9808447,128.370401
비내길,충북 충주시,충청북도 충주시 앙성면 새바지길 17,37.091572,127.8009252
송호국민관광지 야영장,충북 영동군,충청북도 영동군 양산면 송호로 105,36.1273455,127.6755192
떼제베 컨트리클럽,충북 청주시,충청북도 청주시 흥덕구 옥산면 동림2길 149,36.665459,127.3190149
박달재수련원,충북 제천시,충청북도 제천시 봉양읍 박달로 256-46,37.1430545,128.0604749
속리산유스타운,충북 보은군,충청북도 보은군 속리산면 법주사로 134,36.5212004,127.8179903
단양 패러일번지,충북 단양군,충청북도 단양군 가곡면 두산길 196-91,36.9938568,128.3949081
충청북도자연학습원,충북 괴산군,충청북도 괴산군 청천면 화양로 1314-12,36.6674381,127.844173
대청호,충북 옥천군,충청북도 청주시 상당구 문의면 대청호반로 206,36.4790378,127.4850578
월류봉 둘레길,충북 영동군,충청북도 영동군 황간면 원촌리,36.2406353,127.8896966
청풍호 카약카누체험장 (관광두레 주민사업체),충북 제천시,충청북도 제천시 수산면 옥순봉로 342,36.955213,128.2153962
