name,region,address,lat,lon
비엔나 인형박물관,강원 평창군,강원도 평창군 대관령면 솔봉로 296,37.66272045,128.6639536
박인환문학관,강원 인제군,강원도 인제군 인제읍 인제로156번길 50,38.06277763,128.1717233
참소리축음기&에디슨과학박물관,강원 강릉시,강원도 강릉시 경포로 393,37.79796032,128.897388
고성 DMZ박물관,강원 고성군,강원도 고성군 현내면 통일전망대로 369,38.57624688,128.3825278
속초시립박물관·속초실향민문화촌,강원 속초시,강원도 속초시 신흥2길 16,38.20105323,128.5382041
한얼문예박물관,강원 횡성군,강원도 횡성군 우천면 경강로 2885-2,37.48911759,128.072891
뮤지엄 산,강원 원주시,강원도 원주시 지정면 오크밸리2길 260,37.41532774,127.8234698
강릉시 오죽헌/시립박물관,강원 강릉시,강원도 강릉시 율곡로3139번길 24,37.77830804,128.8767146
이효석 문학관,강원 평창군,강원도 평창군 봉평면 효석문학길 73-25,37.61317497,128.3701153
젊은달 와이파크,강원 영월군,강원도 영월군 주천면 송학주천로 1467-9,37.27400332,128.2692247
춘천 애니메이션박물관,강원 춘천시,강원도 춘천시 서면 박사로 854,37.89302024,127.6919244
동양자수박물관,강원 강릉시,강원도 강릉시 죽헌길 140-12,37.77809202,128.8802567
백룡동굴 생태체험학습장,강원 평창군,강원도 평창군 미탄면 문희길 63,37.27786222,128.5770659
삼척 동굴신비관,강원 삼척시,강원도 삼척시 엑스포로 69,37.43806226,129.1582499
화진포 해양박물관,강원 고성군,강원도 고성군 현내면 화진포길 412,38.48138177,128.4356979
책과인쇄박물관,강원 춘천시,강원도 춘천시 신동면 풍류1길 156,37.81942663,127.7248512
설악산 탐방안내소,강원 속초시,강원도 속초시 설악산로 833,38.16712471,128.5172593
인제산촌민속박물관,강원 인제군,강원도 인제군 인제읍 인제로156번길 50,38.06277763,128.1717233
춘천문화예술회관,강원 춘천시,강원도 춘천시 효자상길5번길 13,37.87261579,127.7293405
태백 고생대자연사박물관,강원 태백시,강원도 태백시 태백로 2249,37.0948994,129.0396319
평창무이예술관,강원 평창군,강원도 평창군 봉평면 사리평길 233,37.61527565,128.3487846
오산리선사유적박물관,강원 양양군,강원도 양양군 손양면 학포길 33,38.08589573,128.6604739
정동진시간박물관,강원 강릉시,강원도 강릉시 강동면 헌화로 990-1,37.68694053,129.0375964
