name,region,tel,keyword,photo
유리섬박물관,경기 안산시,032-885-6262,"['가족체험여행', '남녀노소', '문화시설', '사계절', '수도권', '아이와함께', '안산가볼만한곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6626a1a9-6006-4887-9f1e-93736d6cc512&thumb
돼지박물관(돼지보러오면돼지),경기 이천시,031-641-7540,"['가족체험여행', '농촌체험', '돼지박물관', '마을축제', '문화시설', '박물관', '사계절']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a4c82bab-8e1e-4231-8fe6-934fa8fb75a6&thumb
아쿠아플라넷 일산,경기 고양시,031-960-8500,"['당일치기여행', '데이트코스', '문화시설', '미세먼지_피하는_실내여행', '사계절']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e2a8bda8-46b4-4b62-8146-86a9e184b88c&thumb
조명박물관,경기 양주시,070-7780-8911,"['교과서속여행', '문화시설', '박물관', '복합문화공간', '사계절', '상설공연', '수도권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=04084d57-5cbe-4850-a018-b0418f05d781&thumb
한국잡월드,경기 성남시,1644-1333,"['경상남도과학교육원', '교육여행', '남녀노소', '문화시설', '사계절', '수도권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b5f71425-ee73-4a4c-b0dc-f3e9fb55e3ce&thumb
한국근현대사박물관,경기 파주시,031-957-1125,"['근현대사여행', '문화시설', '박물관', '수도권', '안보관광', '역사공부', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2fdab79e-86f3-4474-8e01-c992b3c124c0&thumb
경기도미술관,경기 안산시,031-481-7000,"['경기도미술관', '남녀노소', '문화시설', '문화예술', '미술관', '미술작품', '복합문화공간']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8812d329-b4de-4b2a-b423-463b9730ac41&thumb
해우재,경기 수원시,031-271-9777,"['가족여행', '가족체험여행', '당일치기여행', '똥도서관', '문화시설', '박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9cd038b3-ecf5-427c-8ddb-9d2ce5ed91c4&thumb
미메시스 아트 뮤지엄,경기 파주시,031-955-4100,"['문화공간', '문화시설', '문화예술창작공간', '문화예술활동', '미메시스아트뮤지엄']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=90cf7334-7fd9-45b8-9f74-eca45bbba0c2&thumb
목아박물관,경기 여주시,031-885-9952,"['나들이', '목아박물관', '문화시설', '미세먼지_피하는_실내여행', '박물관', '수도권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=012813fe-1ca3-4065-ad10-f4f25d400b13&thumb
국립과천과학관,경기,02-3677-1500,"['가족과함께', '겨울방학가볼만한곳', '과천가볼만한곳', '국립과천과학관', '남녀노소']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d1fce5dd-69bd-4723-8cc3-330f0fe7a0ca&thumb
