name,region,address,lat,lon
유리섬박물관,경기 안산시,경기도 안산시 단원구 부흥로 254,37.21975458,126.6024191
돼지박물관(돼지보러오면돼지),경기 이천시,경기도 이천시 율면 임오산로372번길 129-7,37.08577621,127.5839422
아쿠아플라넷 일산,경기 고양시,경기도 고양시 일산서구 한류월드로 282,37.66383701,126.7556101
조명박물관,경기 양주시,경기도 양주시 광적면 광적로 235-48,37.83609524,126.9675306
한국잡월드,경기 성남시,경기도 성남시 분당구 분당수서로 501,37.37849451,127.1063938
한국근현대사박물관,경기 파주시,경기도 파주시 탄현면 헤이리마을길 59-85,37.79087271,126.6952019
경기도미술관,경기 안산시,경기도 안산시 단원구 동산로 268,37.32507855,126.8099898
해우재,경기 수원시,경기도 수원시 장안구 장안로458번길 9,37.31922693,126.9780441
미메시스 아트 뮤지엄,경기 파주시,경기도 파주시 문발로 253,37.71664923,126.6890972
목아박물관,경기 여주시,경기도 여주시 강천면 이문안길 21,37.28855027,127.6881229
국립과천과학관,경기,경기도 과천시 상하벌로 110,37.43963718,127.002295
경기도자박물관,경기 광주시,경기도 광주시 곤지암읍 경충대로 727,37.35028278,127.3347855
청암민속박물관,경기 양주시,경기도 양주시 장흥면 권율로 83-5,37.72205241,126.9457903
수원화성박물관,경기 수원시,경기도 수원시 팔달구 창룡대로 21,37.28259139,127.0189851
여주박물관,경기 여주시,경기도 여주시 신륵사길 6-12,37.29965313,127.6533791
구하우스미술관,경기 양평군,경기도 양평군 서종면 무내미길 49-12,37.60305157,127.3511444
C 아트뮤지엄(숲속의 미술공원),경기 양평군,경기도 양평군 양동면 다락근이길 57-13,37.39488762,127.7373348
경기도박물관,경기 용인시,경기도 용인시 기흥구 상갈로 6,37.2681702,127.1088507
경기도어린이박물관,경기 용인시,경기도 용인시 기흥구 상갈로 6,37.2681702,127.1088507
안산 어촌민속박물관,경기 안산시,경기도 안산시 단원구 대부황금로 7,37.19250726,126.6461205
박물관 얼굴,경기 광주시,경기도 광주시 남종면 분원길 3-6,37.4939575,127.3020509
부천자연생태공원,경기 부천시,경기도 부천시 원미구 길주로 660,37.50512868,126.8156874
더 파크 아프리카뮤지엄,경기 포천시,경기도 포천시 소흘읍 광릉수목원로 967,37.77526972,127.1393277
전곡선사박물관,경기 연천군,경기도 연천군 전곡읍 평화로443번길 2,38.01159172,127.0637623
백남준아트센터,경기 용인시,경기도 용인시 기흥구 백남준로 10,37.26914663,127.1104379
광명업사이클아트센터,경기 광명시,경기도 광명시 가학로85번길 142,37.42467857,126.8634321
모란미술관,경기 남양주시,경기도 남양주시 화도읍 경춘로2110번길 8,37.6504135,127.3237775
추억의 청춘뮤지엄,경기 양평군,경기도 양평군 용문면 용문산로 620,37.5445765,127.5854011
프라움악기박물관,경기 남양주시,경기도 남양주시 와부읍 경강로 756,37.56850845,127.2270492
부천시립심곡도서관,경기 부천시,경기도 부천시 성무로 24,37.48035202,126.7839472
왈츠와 닥터만 커피박물관,경기 남양주시,경기도 남양주시 조안면 북한강로 856-37,37.59196631,127.3384565
수원시립아이파크미술관,경기 수원시,경기도 수원시 팔달구 정조로 833,37.28270503,127.0158251
안산문화원,경기 안산시,경기도 안산시 상록구 석호로 144,37.29932569,126.8476317
국립수목원 산림박물관,경기 포천시,경기도 포천시 소흘읍 광릉수목원로 415,37.75624231,127.1656646
기형도문학관,경기 광명시,경기도 광명시 오리로 268,37.42640701,126.8815782
수원광교박물관,경기 수원시,경기도 수원시 영통구 광교로 182,37.29634871,127.0514216
남양주시립박물관,경기 남양주시,경기도 남양주시 와부읍 팔당로 121,37.54638614,127.2443744
경기아트센터,경기 수원시,경기도 수원시 팔달구 효원로307번길 20,37.26158333,127.0375696
안성맞춤박물관,경기 안성시,경기도 안성시 대덕면 서동대로 4726-15,37.01131789,127.2283559
경기북부어린이박물관,경기 동두천시,경기도 동두천시 평화로2910번길 46,37.94467141,127.0644512
한국 초콜릿연구소뮤지엄,경기 가평군,경기도 가평군 청평면 경춘로 157,37.69012485,127.3803031
안성 3.1운동기념관,경기 안성시,경기도 안성시 원곡면 만세로 868,37.06278466,127.1752952
여주세계생활도자관,경기 여주시,경기도 여주시 신륵사길 7,37.30014504,127.6545462
양평군립미술관,경기 양평군,경기도 양평군 양평읍 문화복지길 2,37.49709935,127.4839989
일본군'위안부'역사관,경기 광주시,경기도 광주시 퇴촌면 가새골길 85,37.4428472,127.3220198
한국미술관,경기 용인시,경기도 용인시 기흥구 마북로 244-2,37.30896613,127.1319669
김포독립운동기념관,경기 김포시,경기도 김포시 양촌읍 양곡2로30번길 46,37.65335898,126.629642
지앤아트스페이스,경기 용인시,경기도 용인시 기흥구 백남준로 7,37.26991208,127.1101251
만해기념관,경기 광주시,경기도 광주시 남한산성면 남한산성로792번길 24-8,37.47780122,127.181305
이천시립월전미술관,경기 이천시,경기도 이천시 경충대로2709번길 185,37.28016656,127.4240472
과천시민회관,경기,경기도 과천시 통영로 5,37.42819272,126.9891524
용인 포은아트홀,경기 용인시,경기도 용인시 수지구 포은대로 499,37.32561804,127.1047625
부천시립원미도서관,경기 부천시,경기도 부천시 소사로 456,37.4979854,126.7990398
고양 아람누리,경기 고양시,경기도 고양시 일산동구 중앙로 1286,37.6614856,126.7744583
고양 선인장전시관,경기 고양시,경기도 고양시 일산동구 호수로 731,37.66444706,126.7604422
남한산성아트홀(광주시문화스포츠센터 공연장),경기 광주시,경기도 광주시 회안대로 891,37.4268685,127.2547061
재미있는 추억 박물관,경기 파주시,경기도 파주시 탄현면 헤이리마을길 93-148,37.79090185,126.6981573
우석헌자연사박물관,경기 남양주시,경기도 남양주시 진접읍 금강로 1095,37.69803201,127.1608188
성호박물관,경기 안산시,경기도 안산시 상록구 성호로 131,37.31507523,126.8595774
국립현대미술관(과천관),경기,경기도 과천시 광명로 313,37.43100343,127.0199299
경기도국악당,경기 용인시,경기도 용인시 기흥구 민속촌로 89,37.25940011,127.1136197
일산밤가시초가,경기 고양시,경기도 고양시 일산동구 햇살로105번길 36-7,37.67019413,126.7802954
수원박물관,경기 수원시,경기도 수원시 영통구 창룡대로 265,37.29764714,127.0356329
와동 생태곤충 체험관,경기 안산시,경기도 안산시 단원구 와동공원로 109,37.34001915,126.8203026
호암미술관,경기 용인시,경기도 용인시 처인구 포곡읍 에버랜드로562번길 38,37.29321604,127.192333
뮤지엄그라운드,경기 용인시,경기도 용인시 수지구 샘말로 122,37.35645009,127.0440969
부천 물 박물관,경기 부천시,경기도 부천시 길주로 691,37.520248,126.812149
남양주 어린이비전센터,경기 남양주시,경기도 남양주시 진접읍 해밀예당1로 96,37.71709051,127.1910488
김포 아트빌리지,경기 김포시,경기도 김포시 모담공원로 170,37.64663282,126.6962136
남송미술관,경기 가평군,경기도 가평군 북면 백둔로 322,37.9045119,127.4722748
판교박물관,경기 성남시,경기도 성남시 분당구 판교로 191,37.40108358,127.0955457
광주문화원(경기),경기 광주시,경기도 광주시 문화로85번길 19-12,37.40997626,127.2493751
수원시미술전시관,경기 수원시,경기도 수원시 장안구 송정로 19,37.29703674,126.9994548
서울액션스쿨 (마샬아트센터),경기 파주시,경기도 파주시 탄현면 헤이리마을길 18-61,37.78739839,126.6948364
최용신기념관,경기 안산시,경기도 안산시 상록구 샘골서길 64,37.29964386,126.8627402
포천 반월아트홀,경기 포천시,경기도 포천시 군내면 청성로 111,37.89610864,127.2124184
용인시여성회관,경기 용인시,경기도 용인시 수지구 문정로7번길 15,37.32052477,127.095499
한국항공대학교 항공우주박물관,경기 고양시,경기도 고양시 덕양구 항공대학로 76,37.59901633,126.8641725
고양 어린이박물관,경기 고양시,경기도 고양시 덕양구 화중로 26,37.62948078,126.8309491
파주 나비나라박물관,경기 파주시,경기도 파주시 광인사길 161,37.71485205,126.6869124
배다골테마파크 고양민속박물관,경기 고양시,경기도 고양시 덕양구 배다골길 131,37.63016535,126.8481093
의왕조류생태과학관,경기 의왕시,경기도 의왕시 왕송못동로 209,37.31088595,126.9503038
여주곤충박물관,경기 여주시,경기도 여주시 명품로 308-28,37.24330328,127.6160282
중남미문화원,경기 고양시,경기도 고양시 덕양구 대양로285번길 33-15,37.70358397,126.8953482
고양 화장실전시관,경기 고양시,경기도 고양시 일산동구 호수로 731,37.66444706,126.7604422
현대어린이책미술관,경기 성남시,경기도 성남시 분당구 판교역로146번길 20,37.39279462,127.1120875
죽포미술관,경기 여주시,경기도 여주시 산북면 고촌길 26-10,37.4100311,127.4426381
갤러리박영,경기 파주시,경기도 파주시 회동길 37-9,37.70574008,126.6843092
용인시문예회관,경기 용인시,경기도 용인시 처인구 중부대로1392번길 15,37.23174325,127.1988706
한과문화박물관 한가원,경기 포천시,경기도 포천시 영북면 산정호수로322번길 26-9,38.0683561,127.3037294
평택남부문화예술회관,경기 평택시,경기도 평택시 중앙로 277,36.99113416,127.1140857
연천수레울아트홀,경기 연천군,경기도 연천군 연천읍 문화로 150,38.10712455,127.0797463
동화나라,경기 파주시,경기도 파주시 탄현면 헤이리마을길 93-20,37.79066684,126.6985295
성남문화원,경기 성남시,경기도 성남시 수정구 산성대로215번길 7,37.43905043,127.1408494
오산문화예술회관,경기 오산시,경기도 오산시 경기동로 41,37.15954898,127.076857
인터렉티브아트뮤지엄,경기 가평군,경기도 가평군 가평읍 호반로 1655,37.74347669,127.5106258
보름산미술관(김포),경기 김포시,경기도 김포시 고촌읍 수기로 100-78,37.59637231,126.760888
안성 남사당 공연장,경기 안성시,경기도 안성시 보개면 남사당로 198-2,37.03181804,127.3100506
지도박물관,경기 수원시,경기도 수원시 영통구 월드컵로 92,37.27577145,127.0549634
이천아트홀,경기 이천시,경기도 이천시 부악로 40,37.27212308,127.4350366
한국등잔박물관,경기 용인시,경기도 용인시 처인구 모현읍 능곡로56번길 8,37.33658645,127.1778809
의정부문화원,경기 의정부시,경기도 의정부시 산단로 123,37.74638963,127.0794087
말박물관,경기,경기도 과천시 경마공원대로 107,37.44120036,127.0161266
하남역사박물관,경기 하남시,경기도 하남시 덕풍동로 30,37.54546042,127.2060842
양평 친환경농업박물관,경기 양평군,경기도 양평군 용문면 용문산로 670,37.54760517,127.5812248
킨텍스,경기 고양시,경기도 고양시 일산서구 킨텍스로 217-60,37.66893348,126.7458028
김포인삼쌀맥주갤러리,경기 김포시,경기도 김포시 대곶면 대명항로 518,37.64653895,126.5637598
평택북부문화예술회관,경기 평택시,경기도 평택시 경기대로 1366,37.06581156,127.0650909
광명문화원,경기 광명시,경기도 광명시 철망산로 42,37.4674687,126.8732102
가평현암농경유물박물관,경기 가평군,경기도 가평군 북면 석장모루길 13,37.87934605,127.5481207
양주시립 회암사지박물관,경기 양주시,경기도 양주시 회암사길 11,37.84122644,127.1029809
활판공방,경기 파주시,경기도 파주시 문발로 203,37.71262039,126.6865563
성남아트센터,경기 성남시,경기도 성남시 분당구 성남대로 808,37.40295657,127.1305599
창조자연사박물관,경기 시흥시,경기도 시흥시 두문로71번길 4,37.43371524,126.7864731
명필름아트센터,경기 파주시,경기도 파주시 회동길 530-20,37.72349442,126.6933584
경기과천교육도서관,경기,경기도 과천시 도서관길 36,37.4323292,126.9966062
영은미술관,경기 광주시,경기도 광주시 청석로 300,37.41355842,127.268748
아지동테마파크(헤이리마을),경기 파주시,경기도 파주시 탄현면 헤이리마을길 93-75,37.79140653,126.6962488
예아리박물관,경기 용인시,경기도 용인시 처인구 백암면 원설로270번길 25,37.14132389,127.3642612
평촌아트홀,경기 안양시,경기도 안양시 동안구 평촌대로 76,37.37998052,126.9640318
시흥문화원,경기 시흥시,경기도 시흥시 연성로13번길 3,37.39044726,126.8047632
가평문화예술회관,경기 가평군,경기도 가평군 가평읍 문화로 131,37.82542273,127.5069577
태평무 전수관,경기 안성시,경기도 안성시 태평무길 42,37.03581661,127.2665665
유엔군 초전기념관,경기 오산시,경기도 오산시 경기대로 742,37.1846106,127.0490138
부천문화원,경기 부천시,경기도 부천시 경인로92번길 33,37.48250488,126.766558
안양아트센터,경기 안양시,경기도 안양시 만안구 문예로36번길 16,37.38458842,126.931366
지혜샘어린이도서관,경기 수원시,경기도 수원시 권선구 동탄원천로 818,37.248009,127.0400808
군포문화원,경기 군포시,경기도 군포시 한세로56번길 12,37.34722585,126.9548318
아시아출판문화정보센터,경기 파주시,경기도 파주시 회동길 145,37.70848115,126.6867933
성포예술광장(성포예술공원),경기 안산시,경기도 안산시 상록구 성포로 6,37.322456,126.842433
한국기독교역사박물관,경기 이천시,경기도 이천시 대월면 대평로214번길 10-13,37.22281443,127.4992512
풀짚공예박물관,경기 광주시,경기도 광주시 오포읍 문형산길 76,37.3641976,127.1651077
