name,region,address,lat,lon
무등갤러리,광주 동구,광주 동구 예술길 18-1,35.15009066,126.9181561
남도향토음식박물관·호남문화자료전시관,광주 북구,광주광역시 북구 설죽로 477,35.20175126,126.8986732
광주 역사민속박물관,광주 북구,광주광역시 북구 서하로 48-25,35.18441617,126.8884364
국립광주박물관,광주 북구,광주광역시 북구 하서로 110,35.18965658,126.8839515
국립광주과학관,광주 북구,광주광역시 북구 첨단과기로 235,35.22990781,126.8498705
광주시립미술관,광주 북구,광주광역시 북구 하서로 52,35.18323305,126.8857358
국립아시아문화전당,광주 동구,광주광역시 동구 문화전당로 38,35.14691559,126.9199945
김대중컨벤션센터,광주 서구,광주광역시 서구 상무누리로 30,35.14677706,126.8404805
광주광역시립무등도서관,광주 북구,광주광역시 북구 면앙로 130,35.17650598,126.9252752
광주시청 야외음악당,광주 서구,광주광역시 서구 내방로 111,35.16009941,126.8514619
광주학생독립운동기념회관,광주 서구,광주광역시 서구 학생독립로 30,35.14058722,126.8650206
광주문화예술회관,광주 북구,광주광역시 북구 북문대로 60,35.17820945,126.881993
광주광역시립 사직도서관,광주 남구,광주광역시 남구 제중로 56,35.13952796,126.9139811
광주 동구문화원,광주 동구,광주광역시 동구 예술길 18-1,35.15009066,126.9181561
광주학생교육문화회관,광주 서구,광주광역시 서구 상무민주로 61,35.15574851,126.8585843
광주 송정도서관,광주 광산구,광주광역시 광산구 송정공원로 8-13,35.14492618,126.7997822
의재미술관,광주 동구,광주광역시 동구 증심사길 155,35.12937059,126.9673915
빛고을시민문화관,광주 남구,광주광역시 남구 천변좌로338번길 7,35.14790588,126.9078967
광산문화원,광주 광산구,광주광역시 광산구 상무대로 265,35.14248372,126.7951172
광주광역시립산수도서관,광주 동구,광주광역시 동구 경양로 355,35.15441235,126.9284433
우제길미술관,광주 동구,광주광역시 동구 의재로 140-6,35.13180762,126.9430427
광주중앙도서관,광주 동구,광주광역시 동구 장동로 23-16,35.14838197,126.9252986
광주광역시 서구문화원,광주 서구,광주광역시 서구 풍금로 182,35.131965,126.8598139
광주 남구문화원,광주 남구,광주광역시 남구 봉선로 208,35.12206372,126.9174046
무등현대미술관,광주 동구,광주광역시 동구 증심사길 9,35.13418204,126.9537242
광주 북구문화원,광주 북구,광주광역시 북구 향토문화로 65,35.17285434,126.9136518
고싸움놀이전수회관,광주 남구,광주광역시 남구 고싸움로 2,35.06974381,126.8375167
금호평생교육관,광주 남구,광주광역시 남구 중앙로 15,35.14546881,126.9006251
민들레소극장,광주 동구,광주광역시 동구 동계천로 111,35.15087389,126.9227422
