name,region,tel,keyword,photo
수창청춘맨숀,대구 중구,053-252-2566,"['문화시설', '문화예술창작공간', '복합문화공간', '복합문화시설', '실내데이트']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fff8ceae-c086-4b86-97ac-6ed04c927dfe&thumb
국립대구박물관,대구 수성구,053-768-6051,"['국립대구박물관', '데이트코스', '무료관람', '문화시설', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2a57aaa4-d3b8-4829-9ec9-2fb0353dc5b1&thumb
대구예술발전소,대구 중구,053-430-1225,"['경상권', '기념품판매', '대구예술발전소', '문화시설', '문화행사', '예술', '음악회']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e887c324-5a2e-4899-aa0c-2ade809b7d53&thumb
대구교육대학교 교육박물관,대구 남구,053-620-1471,"['경상권', '대구교육대학교교육박물관', '문화시설', '박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5bab020b-9db4-49e4-8318-ce11802050af&thumb
근대문화체험관 계산예가,대구 중구,053-661-3323,"['가족과함께', '문화공간', '문화시설', '아이와함께', '역사공부', '역사속', '역사속으로']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=aaf88cfb-d307-44c8-ad92-f5aaf55c709f&thumb
대구미술관,대구 수성구,053-803-7900,"['경상권', '대구미술관', '데이트코스', '문화공간', '문화시설', '복합문화공간']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8422e8c5-28d1-4387-852c-d69508d1bf24&thumb
국립대구과학관,대구 달성군,053-670-6114,"['경상권', '교과서속여행', '교육여행', '교육프로그램', '국립대구과학관', '무더위_피해_실내놀이']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a8003bb2-fdaa-481d-98df-4a51f93ce076&thumb
계명아트센터,대구 달서구,053-580-6600,"['경상권', '계명아트센터', '데이트코스', '문화공간', '문화시설', '문화행사', '복합문화공간']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3cd1ae3b-1a89-41fa-b780-4e9bef2810f2&thumb
대구근대역사관,대구 중구,053-606-6430,"['경상권', '교과서속여행', '근대문화유산', '기념관', '나홀로여행', '대구근대역사관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6d9bdfb0-66cc-4127-b2ed-412e4f45322f&thumb
대구서구문화회관,대구 서구,053-663-3081,"['경상권', '대구서구문화회관', '문화시설', '상설공연', '예술', '전시회', '체험학습']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=aa5770a0-63f5-496f-9727-53b3065ca295&thumb
대구 아쿠아리움,대구 동구,053-247-8899,"['경상권', '대구가볼만한곳', '문화시설', '미세먼지_피하는_실내여행', '아이가_좋아하는_여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=87d96143-f0ca-4091-9e7e-d65ae2f81cea&thumb
웃는얼굴아트센터,대구 달서구,053-584-8715,"['경상권', '데이트코스', '문화공간', '문화시설', '문화행사', '복합문화공간', '사계절']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=75028163-92aa-4379-8c81-f02208959b21&thumb
계명대학교 행소박물관,대구 달서구,053-580-6992,"['계명대학교행소박물관', '무료관람', '문화시설', '박물관', '수도권', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4abc27a3-441e-43f8-872b-218a2fc3c2c2&thumb
