name,region,address,lat,lon
수창청춘맨숀,대구 중구,대구광역시 중구 달성로22길 27,35.87532215,128.5832174
국립대구박물관,대구 수성구,대구광역시 수성구 청호로 321,35.84557453,128.6383419
대구예술발전소,대구 중구,대구광역시 중구 달성로22길 31-12,35.87543672,128.5844989
대구교육대학교 교육박물관,대구 남구,대구광역시 남구 중앙대로 219,35.85143158,128.5877392
근대문화체험관 계산예가,대구 중구,대구광역시 중구 서성로 6-1,35.86720726,128.5878652
대구미술관,대구 수성구,대구광역시 수성구 미술관로 40,35.82702862,128.6743408
국립대구과학관,대구 달성군,대구광역시 달성군 유가면 테크노대로6길 20,35.68662166,128.4652247
계명아트센터,대구 달서구,대구광역시 달서구 달구벌대로 1095,35.85355435,128.4814938
대구근대역사관,대구 중구,대구광역시 중구 경상감영길 67,35.87179779,128.5911599
대구서구문화회관,대구 서구,대구광역시 서구 당산로 403,35.87278996,128.5455378
대구 아쿠아리움,대구 동구,대구광역시 동구 동부로 149,35.87794067,128.62919
웃는얼굴아트센터,대구 달서구,대구광역시 달서구 문화회관길 160,35.84342236,128.5228263
계명대학교 행소박물관,대구 달서구,대구광역시 달서구 달구벌대로 1095,35.85355435,128.4814938
행복북구문화재단 어울아트센터,대구 북구,대구광역시 북구 구암로 47,35.93586735,128.5451287
향촌문화관,대구 중구,대구광역시 중구 중앙대로 449,35.8734081,128.5941862
향토역사관,대구 중구,대구광역시 중구 달성공원로 35,35.87339859,128.5759183
국립대구기상과학관,대구 동구,대구광역시 동구 효동로2길 10,35.87910949,128.6508435
대구광역시립남부도서관,대구 남구,대구광역시 남구 앞산순환로 512,35.83205667,128.5807514
대구 코오롱 야외음악당,대구 달서구,대구광역시 달서구 야외음악당로 180,35.85114987,128.5561992
대구교육박물관,대구 북구,대구광역시 북구 대동로1길 40,35.8973687,128.6118383
대백프라자갤러리,대구 중구,대구광역시 중구 명덕로 333,35.85571704,128.6063616
에코한방웰빙체험관,대구 중구,대구광역시 중구 남성로 24,35.86902235,128.5880558
대구문화예술회관,대구 달서구,대구광역시 달서구 공원순환로 201,35.84476741,128.5581018
대구 서구문화원,대구 서구,대구광역시 서구 당산로 403,35.87278996,128.5455378
대구 달서문화원,대구 달서구,대구광역시 달서구 문화회관길 160,35.84342236,128.5228263
"아양아트센터(구, 동구문화체육회관)",대구 동구,대구광역시 동구 효동로2길 24,35.87956368,128.6519367
봉산문화회관,대구 중구,대구광역시 중구 봉산문화길 77,35.86339725,128.5965647
낙동강승전기념관,대구 남구,대구광역시 남구 앞산순환로 574-110,35.82717061,128.5887885
대구 남구문화원,대구 남구,대구광역시 남구 앞산순환로 478,35.83129333,128.5769704
대구광역시어린이회관,대구 수성구,대구광역시 수성구 동대구로 176,35.84663547,128.6277931
수성아트피아,대구 수성구,대구광역시 수성구 무학로 180,35.82928322,128.6282735
대구오페라하우스,대구 북구,대구광역시 북구 호암로 15,35.88346535,128.5922331
패션주얼리전문타운,대구 중구,대구광역시 중구 경상감영길 176,35.87177744,128.5966863
가창창작스튜디오&스페이스 가창,대구 달성군,대구광역시 달성군 가창면 가창로57길 46,35.73770881,128.6583175
수성구립 고산도서관,대구 수성구,대구광역시 수성구 달구벌대로650길 6,35.83790532,128.7106325
수성구립 용학도서관,대구 수성구,대구광역시 수성구 지범로41길 36,35.8212089,128.6461307
엑스코(EXCO),대구 북구,대구광역시 북구 엑스코로 10,35.90706959,128.6130739
박물관 수,대구 수성구,대구광역시 수성구 국채보상로186길 79,35.86482862,128.6341486
달성 한일우호관,대구 달성군,대구광역시 달성군 가창면 우록길 206,35.72334111,128.6471646
대구북구청소년회관 아트홀,대구 북구,대구광역시 북구 검단로 71-17,35.90578013,128.6160512
대구콘서트하우스 (구.대구시민회관),대구 중구,대구광역시 중구 태평로 141,35.876059,128.5936972
팔공문화원,대구 동구,대구광역시 동구 팔공로197길 25,35.95594001,128.6891819
대구 북구문화원,대구 북구,대구광역시 북구 구암로 47,35.93586735,128.5451287
수성구립 범어도서관,대구 수성구,대구광역시 수성구 달구벌대로 2451,35.85937462,128.6306765
선사시대로 거리박물관,대구 달서구,대구광역시 달서구 진천동 470-38,35.810141,128.522085
대구광역시립중앙도서관,대구 중구,대구광역시 중구 공평로10길 25,35.86844035,128.6017133
서구어린이도서관,대구 서구,대구광역시 서구 문화로 123,35.87427925,128.5463811
대구 중구문화원,대구 중구,대구광역시 중구 봉산문화길 77,35.86339725,128.5965647
관덕정 순교기념관,대구 중구,대구광역시 중구 관덕정길 11,35.86516311,128.5911199
자연염색박물관,대구 동구,대구광역시 동구 파계로112길 17,35.97933851,128.6364735
경북대학교박물관,대구 북구,대구광역시 북구 대학로 80,35.88909749,128.6143223
패션디자인개발지원센터,대구 북구,대구광역시 북구 유통단지로14길 17,35.90617968,128.6117418
동원화랑,대구 중구,대구광역시 중구 봉산문화길 42,35.86200474,128.5981419
맥향화랑,대구 중구,대구광역시 중구 동덕로 74,35.86145989,128.603849
작은 중앙가족박물관(한방개인박물관),대구 중구,대구광역시 중구 중앙대로77길 50-5,35.86865711,128.5909303
신미화랑,대구 중구,대구 중구 봉산문화길 34,35.861654,128.5980819
중앙갤러리,대구 중구,대구 중구 봉산문화길 34,35.861654,128.5980819
갤러리소헌,대구 중구,대구광역시 중구 봉산문화길 34,35.861654,128.5980819
예송갤러리,대구 중구,대구광역시 중구 봉산문화길 56,35.86259382,128.5975792
고모역복합문화공간,대구 수성구,대구광역시 수성구 고모로 208,35.85823431,128.6786155
반야월역사작은도서관,대구 동구,대구광역시 동구 신서로 50,35.87250383,128.7249556
