name,region,tel,keyword,photo
천연기념물센터(대전),대전 서구,042-610-7610,"['가족여행', '가족체험여행', '교과서속정보', '대전가볼만한곳', '문화시설', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3d46d65a-114e-45d9-90c5-259fa37ff1b7&thumb
국립중앙과학관,대전 유성구,042-601-7979,"['가족여행', '과학관', '국립중앙과학관', '기차여행', '무더위_피해_실내놀이']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3fa046c8-7d7a-442a-8d94-ca0be82a46ec&thumb
대전한밭도서관,대전 중구,042-270-7420,"['대전시', '독서', '문화시설', '아이와함게']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fe0f5232-fd27-4dcf-8df8-6920b8bfde3e&thumb
대전근현대사전시관(옛 충남도청사 본관),대전 중구,042-270-6303,"['가족과함께', '대전근현대사전시관', '문화시설', '실내관광지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6c0a7d30-0060-47c5-9da8-eacb4662e225&thumb
충남대학교 정심화국제문화회관,대전 유성구,042-821-8080,"['기념관', '문화시설', '충남대학교', '충남대학교정심화국제문화회관', '충청권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a65edb71-e35a-47dc-b8f7-1b575071a9ef&thumb
대전시립박물관,대전 유성구,042-270-8600,"['대전시립박물관', '문화시설', '박물관', '사계절', '아이와함께', '충청권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=67a21897-219a-4e90-a7da-ae0343ce7e89&thumb
대전컨벤션센터(DCC),대전 유성구,042-250-1100,"['가족여행', '대전컨벤션센터', '문화시설', '복합문화공간', '사계절', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=77500a73-93fb-4fd6-9042-2168abf2e448&thumb
옛터민속박물관,대전 동구,042-274-0016,"['교과서속여행', '문화시설', '박물관', '사계절', '실내여행지', '아이와함께', '옛터민속박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b43922ba-0a68-4b1e-8696-9af67069ee43&thumb
지질박물관,대전 유성구,042-868-3797,"['기차여행', '문화시설', '박물관', '아이와함께', '이색체험', '지질박물관', '체험학습']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=35714d69-a98d-4a05-b566-1c3a8d02854d&thumb
대전유성도서관,대전 유성구,042-601-6530,"['대전', '독서', '문화시설', '아이와함게']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6c8101bd-568d-4227-841a-07c360972b25&thumb
대전시립미술관,대전 서구,042-270-7370,"['가족여행', '기차여행', '대전시립미술관', '문화시설', '미술관', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=424d85ef-54bc-4584-9e5f-f52c7709219a&thumb
