name,region,address,lat,lon
천연기념물센터(대전),대전 서구,대전광역시 서구 유등로 927,36.36783297,127.3925063
국립중앙과학관,대전 유성구,대전광역시 유성구 대덕대로 481,36.3771312,127.3749897
대전한밭도서관,대전 중구,대전광역시 중구 서문로 10,36.30992398,127.4096772
대전근현대사전시관(옛 충남도청사 본관),대전 중구,대전광역시 중구 중앙로 101,36.32677115,127.4207316
충남대학교 정심화국제문화회관,대전 유성구,대전광역시 유성구 대학로 99,36.36836824,127.3420015
대전시립박물관,대전 유성구,대전광역시 유성구 도안대로 398,36.33685903,127.3353401
대전컨벤션센터(DCC),대전 유성구,대전광역시 유성구 엑스포로 107,36.37498373,127.3916917
옛터민속박물관,대전 동구,대전광역시 동구 산내로 321-35,36.21510494,127.4408443
지질박물관,대전 유성구,대전광역시 유성구 과학로 124,36.38105757,127.3573584
대전유성도서관,대전 유성구,대전광역시 유성구 대덕대로 507-38,36.37842291,127.3759135
대전시립미술관,대전 서구,대전광역시 서구 둔산대로 155,36.36704787,127.3857263
이응노 미술관,대전 서구,대전광역시 서구 둔산대로 157,36.36686823,127.3870189
한밭교육박물관,대전 동구,대전광역시 동구 우암로 96,36.33739295,127.4287971
대전 가수원도서관,대전 서구,대전광역시 서구 가수원로 91-11,36.30169402,127.3489227
여진불교미술관,대전 유성구,대전광역시 유성구 엑스포로 624,36.41077032,127.4061155
대전선사박물관,대전 유성구,대전광역시 유성구 노은동로 126,36.37191134,127.32384
신탄진도서관,대전 대덕구,대전광역시 대덕구 신탄진동로 64,36.44650532,127.437329
대전대학교박물관,대전 동구,대전광역시 동구 대학로 62 대전대학교,36.33669617,127.4590019
대전어린이회관,대전 유성구,대전광역시 유성구 월드컵대로 32,36.36196622,127.3235553
대전 서구문화원,대전 서구,대전광역시 서구 계룡로553번길 38,36.34462276,127.3855666
대전 갈마도서관,대전 서구,대전광역시 서구 신갈마로127번길 138,36.34088982,127.3656966
한남대학교 성지관,대전 대덕구,대전광역시 대덕구 한남로 70,36.35279952,127.4233094
대전예술의전당,대전 서구,대전광역시 서구 둔산대로 135,36.3666138,127.3837588
서대전공원 야외음악당,대전 중구,대전광역시 중구 계백로1716번길 23,36.32076136,127.4108655
유성문화원,대전 유성구,대전광역시 유성구 문화원로 46,36.35985547,127.3408365
우송예술회관,대전 동구,대전광역시 동구 동대전로 171,36.33577184,127.4456424
대전 중구문화원,대전 중구,대전광역시 중구 대흥로 109,36.32354028,127.4243949
대전통일관,대전 유성구,대전광역시 유성구 대덕대로 480,36.37662634,127.3871992
평송청소년문화센터,대전 서구,대전광역시 서구 둔산대로 201,36.36585777,127.3918502
대전학생교육문화원,대전 중구,대전광역시 중구 동서대로 1360,36.32936148,127.4102877
"대덕문예회관(구, 대덕구 평생학습센터)",대전 대덕구,대전광역시 대덕구 대전로 1348,36.37411504,127.420651
충남대학교박물관,대전 유성구,대전광역시 유성구 대학로 99,36.36836824,127.3420015
대덕문화원,대전 대덕구,대전광역시 대덕구 대전로 1348,36.37411504,127.420651
한남대학교 중앙박물관,대전 대덕구,대전광역시 대덕구 한남로 70,36.35279952,127.4233094
대전현대갤러리,대전 중구,대전광역시 중구 중교로 33,36.32534204,127.4234176
전통나래관,대전 동구,대전광역시 동구 철갑1길 15,36.33528877,127.4373093
대전 동구문화원,대전 동구,대전광역시 동구 백룡로 20,36.33535621,127.4490867
오원화랑,대전 서구,대전광역시 서구 둔산중로78번길 36,36.35329215,127.388738
한국과학기술원 강당 / 노천극장,대전 유성구,대전광역시 유성구 대학로 291,36.36828278,127.3569819
테미오래,대전 중구,대전광역시 중구 보문로205번길 13,36.3206686,127.4232712
