name,region,tel,keyword,photo
장기려기념 더 나눔센터,부산 동구,051-468-1248,"['가족과함께', '문화공간', '문화시설', '미세먼지_피하는_실내여행', '실내데이트']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e15752a1-b681-4d35-920c-fd6ee1fa4871&thumb
국립부산과학관,부산 기장군,051-750-2300,"['가족체험여행', '경상권', '국립부산과학관', '무더위_피해_실내놀이', '문화시설']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=90ab1001-ee2d-4bdc-87b7-ec6e4d1ea76e&thumb
SEA LIFE 부산아쿠아리움,부산 해운대구,051-740-1700,"['가족과함께', '경상권', '남녀노소', '도심여행', '문화시설', '문화행사', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bd0e0acb-4f95-4b4a-a3a8-4564ed721377&thumb
누리마루 APEC하우스,부산 해운대구,051-743-1974,"['가족과함께', '경상권', '경치좋은곳', '교육여행', '남녀노소', '누리마루APEC하우스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2a434fdb-22a0-40a3-ba25-d709a0bcfc9b&thumb
부산세관박물관,부산 중구,051-620-6092,"['경상권', '기차여행', '문화시설', '박물관', '부산세관박물관', '아이와함께', '이색체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=64b709a8-200e-4788-8d01-e7bb56ec78c0&thumb
국립해양박물관,부산 영도구,051-309-1900,"['경상권', '교과서속여행', '국립해양박물관', '단체관광', '문화시설', '사계절']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=879e8178-1b02-4578-beda-a0a9993baf99&thumb
부산근대역사관,부산 중구,051-253-3845,"['경상권', '교과서속여행', '문화시설', '박물관', '부산근대역사관', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ef217477-7c42-4ac7-b507-a219b3d8f38e&thumb
부산 트릭아이뮤지엄,부산 중구,051-557-1577,"['가족여행', '경상권', '데이트코스', '문화시설', '부산가볼만한곳', '사계절', '사진찍기']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=89babaf6-46c6-4105-8d5e-2774436d2723&thumb
부산 반여도서관,부산 해운대구,051-783-4010,"['독서여행', '문화시설', '반여도서관', '부산', '아이와 함께', '친구와 함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=94e39f90-a0cf-437c-8522-402e289473ea&thumb
동의대학교 중앙도서관,부산 부산진구,051-890-1160,"['경상권', '도서관', '동의대학교중앙도서관', '문화시설']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=222e5f3d-76e5-451a-ab41-cbfa3190caff&thumb
부산현대미술관,부산 사하구,051-220-7400,"['문화시설', '문화예술', '문화예술공간', '미세먼지_피하는_실내여행', '복합문화공간']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b1cef700-f2b8-42e2-85a6-99b291dc7960&thumb
정관박물관,부산 기장군,051-720-6900,"['기장군', '문화시설', '문화유적', '미세먼지_피하는_실내여행', '부산광역시']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bad9ad60-80fa-4141-8a36-15badb06160d&thumb
부산 스마트시티 전시관,부산 해운대구,051-749-9491,"['가족과함께', '경상권', '남녀노소', '문화시설', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c49e4469-cef5-4155-a8dc-6255668feaa0&thumb
부산해양자연사박물관,부산 동래구,051-553-4944,"['경상권', '교과서속여행', '문화시설', '박물관', '부산해양자연사박물관', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3b7a2b13-762a-43b4-89d8-a8c66c8965fc&thumb
이바구공작소,부산 동구,051-468-0289,"['감성사진', '남녀노소', '문화시설', '복합문화공간', '사진여행', '사진찍기', '사진찍기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4073e5ca-0e61-4433-a4b9-51a61a47a813&thumb
벡스코(BEXCO),부산 해운대구,051-740-7300,"['가족여행', '경상권', '기차여행', '문화시설', '벡스코', '복합문화공간', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4a247eae-dff3-4b9e-999c-a604896f7122&thumb
부산시립미술관,부산 해운대구,051-744-2602,"['데이트코스', '문화시설', '미술관', '부산시립미술관', '실내여행지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3e362471-c362-403e-b167-cba24c28fda9&thumb
부산금정도서관,부산 금정구,051-519-5601,"['금정구', '도서관', '독서', '무장애', '문화시설', '부산']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=654ee71a-dc8c-4ba8-a8a2-5a571213e86e&thumb
부산어촌민속관,부산 북구,051-363-3333,"['겨울방학가볼만한곳', '경상권', '문화시설', '부산어촌민속관', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=56abf3be-1a23-40cc-8ca1-33b037d157dd&thumb
부산박물관,부산 남구,051-610-7118,"['교과서속여행', '기차여행', '문화시설', '박물관', '부산박물관', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4aca0962-c8b1-4b87-85a3-f6a3241371e7&thumb
부산광역시 영도도서관,부산 영도구,051-419-4821,"['경상권', '도서관', '문화시설', '영도도서관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7b96885a-a53d-4a37-a852-5c3a78eccc40&thumb
