name,region,tel,keyword,photo
울산문화예술회관,울산 남구,052-275-9623,"['공연', '남구', '무장애', '문화시설', '문화예술', '울산광역시']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=284d2711-913e-4316-a075-aaf158661178&thumb
장생포 고래박물관,울산 남구,052-256-6301,"['경상권', '기차여행', '문화시설', '박물관', '아이와함께', '이색체험', '장생포고래박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f9fb3bd4-135b-4923-8b16-e0fbceec2000&thumb
현대자동차 문화회관,울산 북구,052-219-2447,"['기차여행지', '문화시설', '실내여행지', '아이와함께', '이색체험', '전시관', '체험학습']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4e004ae2-b89a-4dd7-81f8-eec595fccbe7&thumb
울산암각화박물관,울산 울주군,052-229-4797,"['가족과함께', '경상권', '교과서속여행', '문화시설', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6c97c63e-7dd8-4e96-aa45-2d7bd71bb5c3&thumb
울산동부도서관,울산 동구,052-241-2300,"['독서', '문화시설', '아이와함게', '울산동부']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=52af963d-6ab6-4813-97d4-ff39f5e4e0ea&thumb
울산해양박물관,울산 울주군,052-239-6708,"['가족여행', '경상권', '문화시설', '박물관', '산업관광', '생태관광지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=67c0c9a0-14cc-459f-94d3-73697e001aa3&thumb
울산대곡박물관,울산 울주군,052-229-4787,"['문화시설', '박물관', '아이와함께', '울산대곡박물관', '전시관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5cd6d0f1-27f1-43f0-9344-7a15d3ebb9bb&thumb
울주문화예술회관,울산 울주군,052-229-9500,"['공연', '무장애', '문화공간', '문화시설', '문화예술', '문화예술회관', '복합문화공간']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=df94f105-0a1a-4e73-866e-d795f33c659f&thumb
태화강생태관,울산 울주군,052-204-1650,"['가족과함께', '문화시설', '미세먼지_피하는_실내여행', '민물고기', '생태관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a23e23e2-da72-4235-9725-d3b123c5e15b&thumb
약사동 제방유적전시관,울산 중구,052-229-4727,"['경상권', '교과서속여행', '문화시설', '아이와함께', '약사동제방유적전시관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a6c7da3b-1528-449a-ab23-663cac9ba793&thumb
외솔 최현배선생 생가 기념관,울산 중구,052-290-4828,"['경상권', '근대문화유산', '기념관', '문화시설', '박물관', '사계절', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a285ce6e-2d11-4455-860a-57a8d62ddb8f&thumb
울산 남구문화원,울산 남구,052-266-3786,"['남구문화원', '문화시설', '복합문화공간', '열린문화공간', '울산시']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=79e882d3-60b3-4638-bf0e-d9c927f94cb1&thumb
