name,region,address,lat,lon
인천도시역사관,인천 연수구,인천광역시 연수구 인천타워대로 238,37.39281282,126.6358893
송도컨벤시아,인천 연수구,인천광역시 연수구 센트럴로 123,37.3881431,126.6455531
송도해돋이도서관,인천 연수구,인천광역시 연수구 해돋이로 7,37.38582193,126.6590477
청라호수도서관,인천 서구,인천광역시 서구 크리스탈로 59,37.5306152,126.6362978
인천어린이박물관,인천 미추홀구,인천광역시 미추홀구 매소홀로 618,37.43654516,126.6864606
재미난 박물관,인천 중구,인천광역시 중구 인중로 190,37.4693807,126.6235199
인천 검단선사박물관,인천 서구,인천광역시 서구 고산후로121번길 7,37.59444584,126.6986824
인천 녹청자박물관,인천 서구,인천광역시 서구 도요지로 54,37.55820186,126.6562692
강화자연사박물관,인천 강화군,인천광역시 강화군 하점면 강화대로 994-33,37.77459527,126.4347208
인천상륙작전기념관,인천 연수구,인천광역시 연수구 청량로 138,37.41957419,126.6542363
애보박물관,인천 남동구,인천광역시 남동구 만의골로 71,37.45046296,126.7670819
황어장터 3.1만세운동 기념관,인천 계양구,인천광역시 계양구 황어로126번길 9,37.57902483,126.7353117
강화역사박물관,인천 강화군,인천광역시 강화군 하점면 강화대로 994-19,37.77371034,126.4353383
인천학생과학관,인천 중구,인천광역시 중구 영종대로277번길 74-10,37.4906584,126.5065551
인천학생교육문화회관,인천 중구,인천광역시 중구 자유공원로 12,37.47571168,126.6296708
남동소래아트홀,인천 남동구,인천광역시 남동구 아암대로1437번길 32,37.38746375,126.7245963
인천광역시 여성문화회관,인천 부평구,인천광역시 부평구 길주로 539,37.50794083,126.7221957
영종대교휴게소 기념관,인천 서구,인천광역시 서구 정서진남로 25,37.55377853,126.6070575
수도국산달동네박물관,인천 동구,인천광역시 동구 솔빛로 51,37.47777516,126.6392236
부평역사박물관,인천 부평구,인천광역시 부평구 굴포로 151,37.51214216,126.7379081
녹청자박물관,인천 서구,인천광역시 서구 도요지로 54,37.55820186,126.6562692
인천서구문화회관,인천 서구,인천광역시 서구 서달로 190,37.51569923,126.6798899
강화화문석문화관,인천 강화군,인천광역시 강화군 송해면 장정양오길 413,37.79571134,126.4547784
인천광역시 미추홀도서관,인천 남동구,인천광역시 남동구 인주대로776번길 53,37.44704741,126.7248703
국립생물자원관,인천 서구,인천광역시 서구 환경로 42,37.56915184,126.6385146
인천문화예술회관,인천 남동구,인천광역시 남동구 예술로 149,37.44758892,126.7000558
부평 기적의도서관,인천 부평구,인천광역시 부평구 길주남로 166,37.5034483,126.7401938
해든뮤지움,인천 강화군,인천광역시 강화군 길상면 장흥로101번길 44,37.61213705,126.5088507
인천통일관,인천 미추홀구,인천광역시 미추홀구 수봉안길 84,37.45982986,126.6632947
송암미술관,인천 미추홀구,인천광역시 미추홀구 비류대로55번길 68,37.43441631,126.6422184
인천광역시립박물관,인천 연수구,인천광역시 연수구 청량로160번길 26,37.42070925,126.6531798
인천 부평도서관,인천 부평구,인천광역시 부평구 경원대로 1191,37.48499649,126.7045861
인천아트플랫폼,인천 중구,인천광역시 중구 제물량로218번길 3,37.47278273,126.6205946
인천 화도진도서관,인천 동구,인천광역시 동구 화도진로 122,37.48183742,126.6283495
범패박물관,인천 미추홀구,인천광역시 미추홀구 경인로70번길 11-13,37.46478542,126.6512164
인천개항박물관,인천 중구,인천광역시 중구 신포로23번길 89,37.47331375,126.620332
심은미술관,인천 강화군,인천광역시 강화군 하점면 강화서로 915-1,37.77353136,126.3908998
인천 서구도서관,인천 서구,인천광역시 서구 건지로334번길 45,37.49436108,126.679627
한국이민사박물관,인천 중구,인천광역시 중구 월미로 329,37.47014308,126.6002711
인천광역시 중앙도서관,인천 남동구,인천광역시 남동구 정각로 9,37.45631112,126.703115
중구생활사전시관,인천 중구,인천광역시 중구 신포로23번길 101,37.47355849,126.6199768
소리체험박물관,인천 강화군,인천광역시 강화군 길상면 해안남로474번길 11,37.59896244,126.5082407
인천 중구문화원,인천 중구,인천광역시 중구 축항대로296번길 81,37.44017538,126.629407
한중문화관,인천 중구,인천광역시 중구 제물량로 238,37.47358364,126.6187763
인천광역시교육청북구도서관,인천 부평구,인천광역시 부평구 신트리로 21,37.50658208,126.7236378
인천 계양도서관,인천 계양구,인천광역시 계양구 계양산로134번길 18,37.54600361,126.7301101
인천주안도서관,인천 미추홀구,인천광역시 미추홀구 구월남로 27,37.45550009,126.6928788
강화문화원(강화미술관),인천 강화군,인천광역시 강화군 강화읍 남문로 52,37.74254964,126.4879725
인천수봉문화회관,인천 미추홀구,인천광역시 미추홀구 수봉안길 78,37.46153324,126.6622628
돌체소극장,인천 미추홀구,인천광역시 미추홀구 매소홀로 573,37.43879643,126.6857463
계양문화회관,인천 계양구,인천광역시 계양구 계양산로35번길 11,37.54607888,126.7181312
인천동구청소년수련관,인천 동구,인천광역시 동구 솔빛로 82,37.47606794,126.6425753
혜명단청박물관,인천 중구,인천광역시 중구 신포로15번길 48,37.47190732,126.6220591
영종역사관,인천 중구,인천광역시 중구 구읍로 63,37.48906984,126.5777145
삼산도서관,인천 부평구,인천광역시 부평구 부평북로 445,37.52217318,126.743069
전원미술관,인천 강화군,인천광역시 강화군 강화대로766번길 27,37.76665206,126.4584439
송도 초콜릿문화박물관,인천 연수구,인천광역시 연수구 능허대로 227-10,37.41598224,126.6516105
인천 부평문화원,인천 부평구,인천광역시 부평구 굴포로 151,37.51214216,126.7379081
인하대학교 정석학술정보관,인천 미추홀구,인천광역시 미추홀구 인하로 100,37.45144803,126.6515423
인하대학교 박물관,인천 미추홀구,인천광역시 미추홀구 인하로 100,37.45144803,126.6515423
추억극장미림,인천 동구,인천광역시 동구 화도진로 31,37.47549514,126.6342924
가천박물관,인천 연수구,인천광역시 연수구 청량로102번길 40-9,37.41847997,126.6576026
강화문예회관,인천 강화군,인천광역시 강화군 강화읍 고비고개로19번길 12,37.74536636,126.4745728
짜장면박물관,인천 중구,인천광역시 중구 차이나타운로 56-14,37.4748564,126.6181913
인천음악문화원,인천 미추홀구,인천광역시 미추홀구 경인로 391,37.45856675,126.6835474
연수문화원,인천 연수구,인천광역시 연수구 비류대로 299,37.42630571,126.6676686
은율탈춤전수관,인천 미추홀구,인천광역시 미추홀구 수봉안길 78,37.46153324,126.6622628
인천어린이과학관,인천 계양구,인천광역시 계양구 방축로 21,37.55157123,126.7399488
소래역사관,인천 남동구,인천광역시 남동구 아암대로 1605,37.39816437,126.7375999
화도진전시관,인천 동구,인천광역시 동구 화도진로 114,37.48147946,126.6283528
인천대공원 목재문화체험장,인천 남동구,인천광역시 남동구 무네미로 236,37.45769366,126.7492908
강화전쟁박물관,인천 강화군,인천광역시 강화군 강화읍 해안동로1366번길 18,37.73357906,126.5159972
도솔미술관,인천 강화군,인천광역시 강화군 길상면 길상로210번길 52-71,37.64199726,126.5064723
강화문학관,인천 강화군,인천광역시 강화군 강화읍 관청길 40,37.74955128,126.4855737
