name,region,tel,keyword,photo
아쿠아플라넷 여수,전남 여수시,061-660-1111,"['문화시설', '미세먼지_피하는_실내여행', '상설공연', '실내관광지', '실내데이트']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1d941681-960e-421b-8fd2-6c3984e52408&thumb
보성군립 백민미술관,전남 보성군,061-853-0003,"['문화공간', '문화시설', '복합문화공간', '열린문화공간', '예술공간', '작품', '전시작품']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9acdb734-bba8-486e-a626-8bbc12da2acf&thumb
전라남도해양수산과학관,전남 여수시,061-644-4136,"['기차여행', '문화시설', '박물관', '실내여행지', '아이와함께', '이색체험', '전라권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4a37518b-d075-465f-af03-73164f941148&thumb
목포근대역사관 2관,전남 목포시,061-270-8728,"['목포근대역사관2관', '문화시설', '미세먼지_피하는_실내여행', '실내관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=79fdc7d1-d20e-4ed1-95dd-876de7ad790e&thumb
순천만 자연생태관,전남 순천시,061-749-4007,"['가족여행', '남녀노소', '문화시설', '미세먼지_피하는_실내여행', '사계절', '생태여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8a92a37c-aec6-4ae5-942e-bdcbbec21684&thumb
목포자연사박물관,전남 목포시,061-274-3655,"['가족여행', '기차여행', '목포자연사박물관', '문화시설', '박물관', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1054830a-a8f3-40bc-a475-c4e39b816085&thumb
함평엑스포공원,전남 함평군,061-322-2203,"['가족여행', '문화시설', '사계절', '아이와함께', '여름휴가', '워터파크', '전라권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ab09866d-794c-4473-9360-ec8fbdf52855&thumb
한국천연염색박물관,전남 나주시,061-335-0160,"['교과서속여행', '문화시설', '미세먼지_피하는_실내여행', '박물관', '실내관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=530d7646-e90d-455a-b3a3-52a06e4f66bc&thumb
국립나주박물관,전남 나주시,061-330-7800,"['가족과함께', '가족여행', '가족체험여행', '교과서속정보', '국립나주박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a47ce73c-40a0-47a1-9daa-78269d2a285b&thumb
목포어린이바다과학관,전남 목포시,061-242-6359,"['가족과함께', '가족여행', '가족체험여행', '교과서속정보', '목포어린이바다과학관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=aeade4e8-2467-420d-bf8c-19bbce8cb8b4&thumb
태백산맥문학관,전남 보성군,061-850-8653,"['교과서속여행', '무장애', '문학관', '문학기념관', '문학기행', '문학기행', '문화시설']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9040f948-f546-423b-9ffe-da3ac7944e26&thumb
한국대나무박물관,전남 담양군,061-380-3479,"['가족여행', '기차여행', '문화시설', '박물관', '아이와함께', '이색체험', '전라권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=933a9ea5-ae7b-4fdb-a2a7-3dabb49d8bc8&thumb
섬진강어류생태관,전남 구례군,061-781-3665,"['교과서속여행', '문화시설', '사계절', '섬진강어류생태관', '실내여행지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e14a2ff2-ba20-471e-b67d-b21cdb39e41e&thumb
목포근대역사관 1관,전남 목포시,061-242-0340,"['가족과함께', '남녀노소', '목포가볼만한곳', '목포당일코스', '목포여행', '무더위_피해_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a4104ac2-1be3-49af-b956-0776456c2f07&thumb
