name,region,address,lat,lon
아쿠아플라넷 여수,전남 여수시,전라남도 여수시 오동도로 61-11,34.74626041,127.7487115
보성군립 백민미술관,전남 보성군,전라남도 보성군 문덕면 죽산길 168-14,34.9669474,127.1600655
전라남도해양수산과학관,전남 여수시,전라남도 여수시 돌산읍 돌산로 2876,34.68223799,127.7758995
목포근대역사관 2관,전남 목포시,전라남도 목포시 번화로 18,34.78596374,126.3814912
순천만 자연생태관,전남 순천시,전라남도 순천시 순천만길 513-25,34.88579701,127.5092833
목포자연사박물관,전남 목포시,전라남도 목포시 남농로 135,34.79372717,126.4210674
함평엑스포공원,전남 함평군,전라남도 함평군 함평읍 곤재로 27,35.05618874,126.5199494
한국천연염색박물관,전남 나주시,전라남도 나주시 다시면 백호로 379,34.99403168,126.6625254
국립나주박물관,전남 나주시,전라남도 나주시 반남면 고분로 747,34.91485383,126.6589014
목포어린이바다과학관,전남 목포시,전라남도 목포시 삼학로92번길 98,34.78195651,126.388849
태백산맥문학관,전남 보성군,전라남도 보성군 벌교읍 홍암로 89-19,34.8492229,127.3522516
한국대나무박물관,전남 담양군,전라남도 담양군 담양읍 죽향문화로 35,35.30934367,126.9764088
섬진강어류생태관,전남 구례군,전라남도 구례군 간전면 간전중앙로 47,35.18745224,127.5465226
목포근대역사관 1관,전남 목포시,전라남도 목포시 영산로29번길 6,34.78769578,126.3817942
해남공룡박물관,전남 해남군,전라남도 해남군 황산면 공룡박물관길 234,34.58908867,126.4428321
"장전미술관 (구, 남진미술관)",전남 진도군,전라남도 진도군 임회면 하미길 39,34.4297596,126.2379554
북한 반잠수정 전시관,전남 여수시,전라남도 여수시 돌산읍 향일암로 365,34.60548076,127.786683
순천시립 뿌리깊은나무 박물관,전남 순천시,전라남도 순천시 낙안면 평촌3길 45,34.90363951,127.3399816
곡성레저문화센터,전남 곡성군,전라남도 곡성군 곡성읍 곡성로 855,35.28142166,127.2981783
호남기후변화체험관,전남 담양군,전라남도 담양군 담양읍 메타세쿼이아로 45,35.32495533,127.0062507
강진 고려청자박물관,전남 강진군,전라남도 강진군 대구면 청자촌길 33,34.50866203,126.8008374
대원사 티벳박물관,전남 보성군,전라남도 보성군 문덕면 죽산길 520-1,34.95915165,127.132037
진도향토문화회관,전남 진도군,전라남도 진도군 진도읍 진도대로 7197,34.47970593,126.2685772
한국가사문학관,전남 담양군,전라남도 담양군 가사문학면 가사문학로 877,35.18796216,127.0054858
목포문학관,전남 목포시,전라남도 목포시 남농로 95,34.79282351,126.416929
장보고기념관,전남 완도군,전라남도 완도군 완도읍 청해진로 1455,34.3550953,126.730162
나주학생독립운동기념관,전남 나주시,전라남도 나주시 죽림길 26,35.02806317,126.7262445
아산조방원미술관,전남 곡성군,전라남도 곡성군 옥과면 미술관로 288,35.29708033,127.1226242
다산박물관,전남 강진군,전라남도 강진군 도암면 다산로 766-20,34.57641194,126.7499561
나주배박물관,전남 나주시,전라남도 나주시 금천면 영산로 5838,35.03343515,126.767208
담양우표박물관,전남 담양군,전라남도 담양군 대전면 대치9길 16,35.27663454,126.8895788
