name,region,tel,keyword,photo
제주돌문화공원,제주 제주시,064-710-7731,"['17_18한국관광100선', '걷기길', '걷기여행', '문화시설', '사계절', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=74be8475-ae61-4f45-a37e-4c72b233b67b&thumb
제주도민속자연사박물관,제주 제주시,064-710-7708,"['가족여행', '데이트코스', '문화시설', '박물관', '섬여행', '아이와함께', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=70714f1b-c087-452b-a6fb-ea5ae0065bba&thumb
제주 세계자연유산센터,제주 제주시,1800-2002,"['가족여행', '가족체험여행', '교과서속여행', '문화시설', '사계절', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=033011ba-560c-4903-b8c9-b1274317584e&thumb
초콜릿 박물관,제주 서귀포시,064-792-3121,"['가족여행', '단체관람', '문화시설', '아이와함께', '연인과함께', '이색체험', '제주권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4044c045-7b30-4102-806a-34ebb65ed1db&thumb
제주테지움,제주 제주시,064-799-4820,"['가족여행', '문화시설', '미세먼지_피하는_실내여행', '박물관', '사계절', '실내관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7c704041-17e7-4462-a866-725837d5e37f&thumb
피규어뮤지엄 제주,제주 제주시,064-792-2244,"['남녀노소', '문화시설', '미세먼지_피하는_실내여행', '실내여행지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=28a6f903-1217-4cd3-9ad3-622bb659d143&thumb
김영갑 갤러리(두모악),제주 서귀포시,064-784-9907,"['15_16한국관광100선', '가족여행', '기념품판매', '김영갑갤러리', '두모악']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=79b6bbad-5578-48fe-9aef-1968d14a9250&thumb
국립제주박물관,제주 제주시,064-720-8000,"['가족여행', '국립제주박물관', '문화시설', '미세먼지_피하는_실내여행', '실내관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=609f9323-983d-43c3-bc0f-be30f2f29fe1&thumb
아쿠아플라넷 제주,제주 서귀포시,064-780-0900,"['가족여행', '문화시설', '문화행사', '미세먼지_피하는_실내여행', '복합문화공간']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=73882fc4-5a44-4d99-950f-066129e48ebb&thumb
제주서커스월드공연장,제주 서귀포시,064-794-4444,"['문화시설', '실내여행지', '아이와함께', '어린이날가볼만한곳', '이색체험', '제주권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3fdb57bc-0321-4568-8a73-5d9d034640ab&thumb
