name,region,address
제주돌문화공원,제주 제주시,제주특별자치도 제주시 조천읍 남조로 2023
제주도민속자연사박물관,제주 제주시,제주특별자치도 제주시 삼성로 40
제주 세계자연유산센터,제주 제주시,제주특별자치도 제주시 조천읍 선교로 569-36
초콜릿 박물관,제주 서귀포시,제주특별자치도 서귀포시 대정읍 일주서로3000번길 144
제주테지움,제주 제주시,제주특별자치도 제주시 애월읍 평화로 2159
피규어뮤지엄 제주,제주 제주시,제주특별자치도 서귀포시 안덕면 한창로 243
김영갑 갤러리(두모악),제주 서귀포시,제주특별자치도 서귀포시 성산읍 삼달로 137
국립제주박물관,제주 제주시,제주특별자치도 제주시 일주동로 17
아쿠아플라넷 제주,제주 서귀포시,제주특별자치도 서귀포시 성산읍 섭지코지로 95
제주서커스월드공연장,제주 서귀포시,제주특별자치도 서귀포시 안덕면 동광로 214
박물관은 살아있다(제주중문점),제주 서귀포시,제주특별자치도 서귀포시 중문관광로 42
제주민속촌,제주 서귀포시,제주특별자치도 서귀포시 표선면 민속해안로 631-34
해녀박물관,제주 제주시,제주특별자치도 제주시 구좌읍 해녀박물관길 26
방림원,제주 제주시,제주특별자치도 제주시 한경면 용금로 864
제주 추사관,제주 서귀포시,제주특별자치도 서귀포시 대정읍 추사로 44
제주유리박물관,제주 서귀포시,제주특별자치도 서귀포시 중산간서로 1403
테디베어뮤지엄 제주,제주 서귀포시,제주특별자치도 서귀포시 중문관광로110번길 31
제주라프(Light Art Flash),제주 제주시,제주특별자치도 제주시 조천읍 선교로 115-1
믿거나 말거나 박물관,제주 서귀포시,제주특별자치도 서귀포시 중문관광로110번길 32
본태박물관,제주 서귀포시,제주특별자치도 서귀포시 안덕면 산록남로762번길 69
드라마월드,제주 제주시,제주특별자치도 제주시 애월읍 화전길 3
한국야구명예전당,제주 서귀포시,제주특별자치도 서귀포시 중산간서로 97-1
제주현대미술관,제주 제주시,제주특별자치도 제주시 한경면 저지14길 38
김만덕기념관,제주 제주시,제주특별자치도 제주시 산지로 7
제주아트센터,제주 제주시,제주특별자치도 제주시 오남로 231
제주도립미술관,제주 제주시,제주특별자치도 제주시 1100로 2894-78
제주세계성문화박물관,제주 서귀포시,제주특별자치도 서귀포시 월드컵로 33
트랜스포머 오토봇 얼라이언스 (신화월드),제주 서귀포시,제주특별자치도 서귀포시 안덕면 신화역사로304번길 89
이중섭 미술관,제주 서귀포시,제주특별자치도 서귀포시 이중섭로 27-3
세계자동차&피아노 박물관,제주 서귀포시,제주특별자치도 서귀포시 안덕면 중산간서로 1610
서귀포천문과학문화관,제주 서귀포시,제주특별자치도 서귀포시 1100로 506-1
그리스신화박물관,제주 제주시,제주특별자치도 제주시 한림읍 광산로 942
제주항일기념관,제주 제주시,제주특별자치도 제주시 조천읍 신북로 303
헬로키티아일랜드,제주 서귀포시,제주특별자치도 서귀포시 안덕면 한창로 340
조안베어뮤지엄,제주 서귀포시,제주특별자치도 서귀포시 대포로 113
캐릭파크,제주 제주시,제주특별자치도 제주시 조천읍 선교로 266
제주교육박물관,제주 제주시,제주특별자치도 제주시 오복4길 25
제주 탑동해변공연장,제주 제주시,공연에 따라 다름
건강과 성 박물관(제주),제주 서귀포시,제주특별자치도 서귀포시 안덕면 일주서로 1611
닥종이인형박물관,제주 서귀포시,제주특별자치도 서귀포시 월드컵로 33
제주특별자치도립기당미술관,제주 서귀포시,제주특별자치도 서귀포시 남성중로153번길 15
조천읍도서관,제주 제주시,제주특별자치도 제주시 조천읍 일주동로 1189
성산포 해녀물질공연장,제주 서귀포시,제주특별자치도 서귀포시 성산읍 일출로 284-34
신영영화박물관 무비스타,제주 서귀포시,제주특별자치도 서귀포시 남원읍 태위로 536
돌거북이수석박물관,제주 제주시,제주특별자치도 제주시 한경면 명이2길 68
제주난타전용관,제주 제주시,제주특별자치도 제주시 선돌목동길 56-26
서복전시관,제주,제주특별자치도 서귀포시 칠십리로 156-8
제주평화박물관,제주 제주시,제주특별자치도 제주시 한경면 청수서5길 63
삼매봉도서관,제주 서귀포시,제주특별자치도 서귀포시 남성중로153번길 15
하멜상선전시관,제주 서귀포시,제주특별자치도 서귀포시 안덕면 사계남로216번길 24-30
제주국제평화센터,제주 서귀포시,제주특별자치도 서귀포시 중문관광로 227-24
제주문화원,제주 제주시,제주특별자치도 제주시 중앙로 2
제주 문화예술진흥원,제주 제주시,제주특별자치도 제주시 동광로 69
서귀포문화원,제주 서귀포시,제주특별자치도 서귀포시 동홍로 31-7
아프리카 박물관,제주 서귀포시,제주특별자치도 서귀포시 이어도로 49
제주돌마을공원 수석전시관,제주 제주시,제주특별자치도 제주시 한림읍 금능남로 421
고흐의정원,제주 서귀포시,제주특별자치도 서귀포시 성산읍 삼달신풍로 132
갓전시관,제주 제주시,제주특별자치도 제주시 조천읍 남조로 1904
제주국제컨벤션센터,제주 서귀포시,제주특별자치도 서귀포시 중문관광로 224
세계조가비박물관,제주 서귀포시,제주특별자치도 서귀포시 태평로 284
제주 생태문화전시관 더플래닛,제주 서귀포시,제주특별자치도 서귀포시 천제연로 70
법환동 청소년문화의집,제주 서귀포시,제주특별자치도 서귀포시 막숙포로 70-1
봉황솟대박물관,제주 제주시,제주특별자치도 제주시 한경면 명이2길 66
제주통일관,제주 제주시,제주특별자치도 제주시 신산로9길 4 
왈종미술관,제주 서귀포시,제주특별자치도 서귀포시 칠십리로214번길 30
오설록 티뮤지엄,제주 서귀포시,제주특별자치도 서귀포시 안덕면 신화역사로 15
자연사랑미술관,제주 서귀포시,제주특별자치도 서귀포시 표선면 가시로613번길 46
제주항공우주박물관,제주 서귀포시,제주특별자치도 서귀포시 안덕면 녹차분재로 218
