name,region,tel,keyword,photo
구룡포 일본인 가옥거리,경북 포항시,054-276-9605,"['걷기좋은길', '경상권', '관광지', '구룡포일본인가옥거리', '나홀로여행', '데이트코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3de3fb79-8a2c-4fb0-a0a9-3e546d3b54a9&thumb
백두대간협곡열차(V-트레인),경북 봉화군,1544-7788,"['가족여행', '경상권', '관광지', '당일치기여행', '데이트코스', '백두대간협곡열차(V-트레인)']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=775a1bc8-6df9-4368-84a8-7d18e60c7c8e&thumb
예천 출렁다리마을,경북 예천군,054-655-8301,"['가족여행', '경상권', '관광지', '김장체험', '예천출렁다리마을', '이색체험', '자연마을']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6c2b9825-44ee-4193-b777-b5acfa82f0dd&thumb
구미에코랜드,경북 구미시,054-480-5887,"['가족여행', '가족체험여행', '걷기길', '경상권', '관광지', '구미에코랜드', '복합문화공간']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b6d0bf98-6bff-4ab0-aece-a593b2322504&thumb
한국역사문화음식학교 라선재,경북 경주시,054-771-6005,"['가족여행', '경상권', '관광지', '남녀노소', '음식문화', '음식탐험', '이색체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1c420260-0e1a-4822-a702-fa32cbfe1b94&thumb
포항 초롱구비마을,경북 포항시,054-270-6661,"['관광지', '농촌', '농촌길', '농촌여행코스', '농촌체험', '농촌체험마을', '농촌체험여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b41e1319-8e77-44d5-b133-95d57f86386a&thumb
경주 산에들레마을,경북 경주시,054-745-9292,"['관광지', '남녀노소', '농촌', '농촌마을', '농촌여행', '농촌체험', '자연마을', '자연좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=278df31c-4545-483f-81d0-43001aef6973&thumb
영천 별빛마을,경북 영천시,054-338-0377,"['경상권', '관광지', '아이와함께', '영천별빛마을', '자연', '자연마을', '자연좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a306a07e-b30e-4309-8215-067538093268&thumb
문경 오미자체험마을,경북 문경시,054-553-5244,"['관광지', '체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=28087350-1391-41e3-8f14-9c872167f5db&thumb
비슬리조트관광농원 군불로,경북 청도군,054-372-0900,"['가족과함께', '관광지', '농원', '자연과함께', '자연관광', '자연관광지', '자연좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=391b8fb8-89c0-432f-931e-ba45beae78bd&thumb
유교랜드,경북 안동시,054-820-8800,"['경상권', '관광지', '미세먼지_피하는_실내여행', '실내관광지', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=420b83ec-065f-4f62-9679-0cd4d171da64&thumb
경북전통음식체험관 모심정,경북 문경시,054-571-1845,"['가족여행', '가족체험여행', '경북전통음식체험관', '경상권', '관광지', '나홀로여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ad505091-87ca-4a2a-9278-d0e95f6014ef&thumb
울진 백암온천마을,경북 울진군,054-788-4490,"['경상권', '관광지', '아이와함께', '울진백암온천마을', '자연마을', '자연속으로']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=174589fb-e523-4d3c-aa16-33b06b56cdf6&thumb
아가야체험가자,경북 청도군,054-371-8822,"['관광지', '농촌', '농촌체험', '농촌체험마을', '농촌체험여행', '농촌체험학습']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e3e1cb03-daaa-4cf2-a25b-c69065dff0fa&thumb
개실마을,경북 고령군,054-956-4022,"['가족여행', '가족이색체험', '가족체험', '경상권', '고령개실마을', '관광지', '농촌체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3d5f0c9b-cb83-45c6-b883-d0e52c8be526&thumb
영천 별별미술마을,경북 영천시,054-330-6062,"['가족여행', '걷기여행', '걷기좋은길', '경상권', '관광지', '마을축제', '문화공간']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=726ad223-43e1-4235-a877-d8b649cda684&thumb
안동한지체험,경북 안동시,054-858-7007,"['가족여행', '경상권', '공예', '공예체험', '공예품', '관광지', '안동한지체험', '안동한지체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8b3ae17e-e4e5-4bf6-bcc2-5a10ceb7eabb&thumb
청량산비나리마을,경북 봉화군,010-9373-1927,"['가족과함께', '관광지', '농촌', '농촌마을', '농촌여행', '농촌체험', '농촌체험마을']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7ffade1e-37c5-4bc0-a76f-f4b143c0183e&thumb
인량전통테마마을,경북 영덕군,054-734-0301,"['가족여행', '경상권', '관광지', '농촌마을', '농촌여행', '농촌전통테마마을', '농촌체험마을']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5322b449-a911-4337-a8db-a10c67ef3694&thumb
교촌농촌체험마을,경북 의성군,054-862-7755,"['관광지', '농촌여행코스', '농촌체험', '농촌체험마을', '농촌체험여행', '농촌체험학습']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d722c30f-41f6-4527-ace6-6cc3662beb3d&thumb
안동다례원 [다례체험],경북 안동시,054-823-4079,"['가족과함께', '관광지', '교육여행', '교육프로그램', '아이와함께', '역사공부']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=caf1c7a0-4e00-4c19-ad9d-297cbbc9faca&thumb
회룡포여울마을,경북 예천군,054-655-7120,"['가족여행', '경상권', '관광지', '사계절', '아이와함께', '이색체험', '자연좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d9a7b9c2-b1e5-42e8-a051-eeedc12f83c0&thumb
청도한옥학교,경북 청도군,054-373-8555,"['가족과함께', '관광지', '교육여행', '목수', '문화교육', '아이와함께', '이색체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=56913105-6d42-4c31-83c0-074f4dadb691&thumb
버스로기획(관광두레 주민사업체),경북 안동시,1661-0416,"['가족과함께', '관광두레', '관광두레_주민사업체', '관광지', '관광프로그램', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1d2c7d90-cfee-4e3e-848c-eaaf41826f63&thumb
감빛고을,경북 청도군,054-373-1187,"['감빛고을', '경상권', '관광지', '아이와함께', '연인과함께', '염색법', '염색체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4ad8f9cc-b522-4302-ad25-c3c4466d4992&thumb
양떡마을 음떡마을,경북 울진군,054-789-4700,"['건강여행', '관광지', '농촌', '농촌마을', '시골여행', '자연마을', '자연속으로']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8b5f7293-b377-4cfa-9f28-d68db54ffc0d&thumb
연동어촌체험마을,경북 경주시,054-772-3843,"['가족과함께', '관광지', '남녀노소', '이색체험', '자연마을', '자연환경', '체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a0e07c9d-be57-4425-acb6-22960d6720cf&thumb
화랑마을,경북 경주시,054-760-2433,"['관광지', '짚코스터', '체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5010d91f-fd71-41ad-b7eb-7a694200ace0&thumb
안동 하회촌,경북 안동시,054-841-9925,"['가족여행', '경상권', '관광지', '서울역사박물관', '아이와함께', '안동하회마을']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5446e882-b0e8-4398-ad04-e2cf8b3bb827&thumb
안동반가(관광두레 주민사업체),경북 안동시,010-6517-2357,"['경상권', '관광두레', '관광두레_주민사업체', '관광지', '관광프로그램', '남녀노소']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e2688552-e447-438d-9135-f199f0bb0f0f&thumb
수리뫼 [한국전통음식체험교육원],경북 경주시,054-748-2507,"['경상권', '관광지', '교육여행', '교육원', '맛집', '수리뫼', '연인과함께', '음식']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b527cf1a-ea59-4e97-9475-3d1e67309c67&thumb
영주 솔향기마을,경북 영주시,054-636-1336,"['관광지', '농촌마을', '농촌여행', '농촌체험', '농촌체험마을', '농촌체험여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=efcf4b29-da27-4023-822e-24b35374094f&thumb
장난끼공화국,경북 청송군,054-874-0101,"['경상권', '경치좋은곳', '관광지', '아이와함께', '자연여행', '자연좋은곳', '자연풍경']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=163c7bf0-d966-4177-91db-3ed96c609d99&thumb
영양 두메송하마을,경북 영양군,054-682-7999,"['가족체험', '관광지', '농촌체험', '농촌체험마을', '농촌체험학습', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6f4ecabe-0bdf-457c-9b40-c0b92b366731&thumb
김천 이화만리 마을,경북 김천시,054-436-1213,"['관광지', '농촌체험', '농촌체험마을', '농촌체험여행', '농촌체험학습', '산책하기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9967f71a-371b-44ea-91a4-ad5f6bdf8003&thumb
가야산칠불봉 야생화마을,경북 성주군,054-931-6594,"['관광지', '농촌마을', '농촌여행', '농촌체험마을', '농촌체험여행', '자연마을']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=807203a0-ca9f-4c31-97a8-066754725f63&thumb
궁터산촌생태체험마을,경북 문경시,054-571-8395,"['가족과함께', '경상권', '관광지', '궁터산촌생태체험마을', '농촌마을', '농촌여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=131efa58-843a-4b6a-86c6-fa349761d0e0&thumb
우복동 체험마을,경북 상주시,054-536-9722,"['가족과함께', '경상권', '관광지', '농촌마을', '농촌여행', '농촌체험마을', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=924edaa9-1ea3-4e2b-a53e-709c8c8b418a&thumb
청송고택,경북 청송군,054-870-6247,"['경상권', '고택', '관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=48991c10-405e-4e87-9da8-cc0700d2a7d8&thumb
