name,region,tel,keyword,photo
부산 감천문화마을,부산 사하구,051-204-1444,"['15_16한국관광100선', '17_18한국관광100선', '19_20한국관광100선', '가족여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c891faae-3ba3-4f74-81a5-2174fe0a2019&thumb
40계단 문화관광테마거리,부산 중구,051-600-4041,"['40계단문화관광테마거리', '걷기길', '관광지', '문화공간', '아이와함께', '역사공부']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fe5d21b4-67e7-4766-9342-3e8b756d58e3&thumb
광안리해변 테마거리,부산 수영구,051-610-4211,"['경치좋은곳', '관광지', '광안리해변', '광안리해수욕장', '바다경치', '산책길']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=aa608f16-128a-4df5-9214-75e769d2b083&thumb
국제시장 먹자골목,부산 중구,051-245-7389,"['가족여행', '경상권', '관광지', '국제시장먹자골목', '남녀노소', '맛집탐방', '먹거리']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=aa87ee91-3dd3-461a-be3a-4e00c0ca4ea4&thumb
공수어촌체험마을,부산 기장군,051-723-1919,"['경상권', '공수어촌체험마을', '관광지', '바다낚시', '바다체험', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cfbaf573-6e9b-45ab-8c8c-ab4e4f597dda&thumb
남도해양관광열차 S-트레인(S-train),부산 동구,1544-7788,"['관광지', '남도바다', '바다열차', '부산', '부산여행', '연인과함께', '체험', '친구와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=407da3da-b83b-44e9-8d9f-a33fe2f06d31&thumb
168계단,부산 동구,051-253-8253,"['168계단', '168계단모노레일', '경상권', '관광지', '부산여행', '역사공부', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8c675227-b40a-49b7-af7a-6d0987706f50&thumb
대항 어촌체험 휴양마을,부산 강서구,010-3570-1036,"['관광지', '바다낚시', '바다내음', '바다전망', '바다체험', '바다향기로', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=84baf98c-0bb2-4aef-9e01-c3e5dfdca047&thumb
키자니아 부산,부산 해운대구,1544-5110,"['경상권', '관광지', '미세먼지_피하는_실내여행', '실내관광지', '실내놀이터']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c269f453-fa02-47d0-9799-6af06071eeb6&thumb
전포카페거리,부산 부산진구,051-441-3121,"['관광지', '데이트장소추천', '데이트코스', '서면카페거리', '이색카페', '체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ceaee40e-02a8-4ad0-965b-11123f27d1a2&thumb
서면1번가,부산 부산진구,051-605-4091,"['경상권', '관광지', '도심여행', '먹거리', '문화행사', '미식여행', '서면1번가', '주류']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=01eb9823-8048-4a9d-b6e2-27d4bf472b9f&thumb
부산 자갈치 양곱창 골목,부산 중구,,"['곱창골목', '곱창전골', '관광지', '맛집', '맛집투어', '먹자골목', '부산가볼만한곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ad190d01-0772-4f4d-97bb-7e8999f43fe5&thumb
소름요,부산 기장군,051-722-0018,"['가족과함께', '공예체험', '관광지', '도자기만들기체험', '도자기체험', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2542a7b9-b05f-4c42-a83c-1d814ec5a58a&thumb
부산 가톨릭 특성화 거리,부산 금정구,051-515-5811,"['가톨릭', '관광지', '역사를품은곳', '역사속으로', '역사이야기', '역사탐방', '역사탐험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=39e3be13-5177-4e31-b647-aa9a98acffc0&thumb
부산 부평 족발 골목,부산 중구,051-441-3121,"['경상권', '관광지', '부평족발골목', '음식테마거리', '체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=eed58e24-1b0c-4b01-ad21-da00d8fae63b&thumb
금수동,부산 기장군,051-727-5679,"['가족과함께', '가족체험', '가족체험여행', '문화시설', '연인과함께', '체험', '체험관광']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1c278af5-1f73-48d2-bd54-213e9dcb6f27&thumb
재난안전체험관,부산 금정구,1577-0880,"['겨울방학가볼만한곳', '경상권', '관광지', '아이와함께', '여름방학가볼만한곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=80130c01-844a-461e-b5ee-ac080d6ab3a4&thumb
브이알존 엘큐브 광복점,부산 중구,070-4106-3348,"['VR체험', '관광지', '남녀노소', '실내관광지', '실내데이트', '실내레포츠', '아이가_좋아하는_여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9229daaf-abe0-4007-8713-bd67b61f71a5&thumb
