name,region,tel,keyword,photo
인천 차이나타운,인천 중구,032-777-1330,"['19_20한국관광100선', '관광지', '당일치기여행', '맛집', '먹거리', '미식여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c97d3d84-ff9e-4165-a18d-bd85142f2a6e&thumb
옥토끼우주센터,인천 강화군,032-937-6917,"['가족체험여행', '겨울방학가볼만한곳', '관광지', '서울근교여행', '수도권', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c6902ede-ddc9-4706-89c2-4d08cbe541d9&thumb
강화 아르미애월드,인천 강화군,032-930-4124,"['가족과함께', '가족여행', '강화아르미애월드', '관광지', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=91a6eabb-5087-4f61-98ec-8f6cad928101&thumb
도래미마을,인천 강화군,032-934-4994,"['가족과함께', '관광지', '농촌', '농촌마을', '농촌여행', '농촌체험', '농촌체험여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f3d16501-1bbb-4fe5-8451-09cb7dac6ef0&thumb
동인천 삼치거리,인천 중구,032-760-6477,"['가족과함께', '관광지', '남녀노소', '동인천삼치거리', '먹자골목', '삼치', '삼치구이']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=49fddaa8-9b7f-4a33-9797-e08403bba280&thumb
인천 화평동 세숫대야 냉면 거리,인천 동구,032-777-1330,"['가족과함께', '관광지', '냉면맛집', '맛집탐방', '비빔냉면', '숨은맛집', '음식거리']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8890e3a1-e296-4011-b23a-026c2a2d4f8d&thumb
부평 해물탕거리,인천 부평구,032-832-3031,"['가족과함께', '관광지', '맛집탐방', '숨은맛집', '음식테마거리', '이색거리', '인천']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cf598c6c-91b5-480c-95e4-40598796def3&thumb
큰무리어촌체험마을,인천 중구,032-751-0310,"['관광지', '농어촌체험', '아이와함께', '어촌체험', '이색체험', '자연마을', '자연좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0e92de5d-5a57-423b-ae4d-a4721c7e47e9&thumb
강화 용두레마을,인천 강화군,032-933-5711,"['관광지', '농촌마을', '농촌여행', '자연관광지', '자연마을', '자연여행', '자연체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=70843658-3f50-4d9f-9794-cfd26df368f3&thumb
인천 푸른벗말,인천 옹진군,032-899-3410,"['관광지', '농촌체험', '농촌체험마을', '농촌체험여행', '농촌체험학습', '산책길']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=946c2450-5f4c-4513-be0c-a3ee3d62ecdf&thumb
강화 달빛동화마을,인천 강화군,032-937-9960,"['가족과함께', '가족체험', '관광지', '농촌', '농촌체험', '농촌체험마을', '농촌체험여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5bf002ba-5bce-4a7d-bc2f-73bd640bd2cb&thumb
강화 화문석마을,인천 강화군,032-934-2290,"['가족체험', '관광지', '농촌', '농촌체험', '농촌체험마을', '농촌체험학습', '산책하기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4ead57e5-d031-4293-b9aa-601e59ddf039&thumb
인하대후문먹거리타운,인천 미추홀구,032-880-7998,"['관광지', '맛집', '맛집골목', '맛집탐방', '먹거리투어', '먹자골목', '인하대', '지역특화먹거리']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=aa7c3de8-3c7a-4cca-b0cf-bef78901e627&thumb
연안부두 밴댕이회무침거리,인천 중구,032-765-4169,"['가족과함께', '관광지', '남녀노소', '맛집탐방', '물회', '바다경치', '바다내음']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d7b4f6df-6015-417c-b4b0-bc0805466bb8&thumb
무의 까치놀섬마을,인천 중구,070-7759-5422,"['관광지', '농촌마을', '농촌여행', '농촌체험여행', '자연마을', '자연속으로', '자연좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=906a282d-1087-495a-8229-7080cbe4eabc&thumb
장봉마을,인천 옹진군,032-746-8003,"['관광지', '농촌', '농촌마을', '농촌여행', '농촌체험마을', '농촌체험여행', '시골']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5277e4be-c193-4b6b-9a9e-163cab2105ac&thumb
실미원농장,인천 중구,032-752-7600,"['가족체험', '관광지', '교육여행', '교육프로그램', '농촌', '농촌여행코스', '농촌체험학습']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c23ce8e7-fd4a-4434-9770-caeef8267921&thumb
