name,region,tel,keyword,photo
광양 매화마을,전남 광양시,061-772-9494,"['가족과함께', '가족체험', '관광지', '농촌체험', '농촌체험마을', '농촌체험여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f4019e99-eaa8-413e-82a0-9c0e66ca4adf&thumb
섬진강기차마을,전남 곡성군,061-363-6174,"['19_20한국관광100선', '2014', '가족여행', '관광지', '기차여행', '섬진강기차마을']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d54a8e4a-a78d-473d-8875-10198d47c347&thumb
보해매실농원,전남 해남군,061-532-4959,"['관광지', '보해매실농원', '연인과함께', '자연', '자연마을', '자연속으로', '자연여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5184f624-b343-4521-8493-f2e5f5ad5d2c&thumb
임자도,전남 신안군,061-275-3004,"['가족과함께', '관광지', '섬', '임자도', '자연', '자연속으로', '자연여행', '자연좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=16f18e06-0b14-4f6c-827c-3228314b6d8c&thumb
광양 형제의병장마을,전남 광양시,061-763-8277,"['가족과함께', '가족여행', '가족체험', '관광지', '광양형제의병장마을', '녹색농촌체험마을']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6039ecba-f12f-484e-8c13-c47c1c1d5521&thumb
짱뚱어다리,전남 신안군,061-240-4003,"['가족과함께', '갯벌', '경치좋은곳', '관광지', '바다내음', '바다산책', '사진찍기']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0d251fe5-5d1d-467b-9a54-480d30c3ea7f&thumb
고소동 천사벽화마을,전남 여수시,061-659-4563,"['골목투어', '관광지', '벽화마을', '사진여행', '사진찍기좋은곳', '사진촬영명소']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2c475e9f-46c8-4f3b-933b-941b5e0def87&thumb
웅치관광농원,전남 보성군,061-852-6300,"['가족과함께', '관광지', '단체모임', '아이와함께', '야유회', '자연좋은곳', '자연환경']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8ed7e0ed-c00d-4cca-b5fa-0c685d891516&thumb
청산도 느림보마을(느린섬 여행학교),전남 완도군,061-554-6962,"['관광지', '슬로시티', '어촌', '어촌마을', '어촌체험', '어촌체험마을', '유채꽃']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cc983eb4-402c-478e-bd54-2342cdeb0e7c&thumb
전남 강진다원,전남 강진군,,"['가족여행', '관광지', '녹차', '자연', '자연관광지', '자연마을', '자연좋은곳', '자연환경']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9b2e5754-73d3-481e-a0fe-295fce43f8b9&thumb
순천전통야생차체험관,전남 순천시,061-789-4500,"['가족과함께', '가족여행', '관광지', '다도체험', '순천전통야생차체험관', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=56671298-3303-425b-9251-9fcb0a18fb26&thumb
순천 향매실마을,전남 순천시,061-754-2337,"['관광지', '농촌체험', '매실', '이색체험', '자연마을', '자연좋은곳', '자연환경']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=91d3186a-a34b-474e-b8f0-98c713316864&thumb
순천 용오름마을 [농촌전통테마마을],전남 순천시,061-754-2416,"['관광지', '산책길', '산책하기', '산책하기좋은곳', '자연관광지', '자연마을', '자연좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c4f21b36-0ff1-41dc-a6f4-97abb2cd622e&thumb
장수풍뎅이마을,전남 장흥군,,"['가족과함께', '가족체험', '관광지', '농촌마을', '농촌체험마을', '농촌체험학습']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ac80b1bd-12b4-48f4-b692-4e57e3fb156c&thumb
태평염전,전남 신안군,061-275-1596,"['경치좋은곳', '관광지', '사진찍기', '사진찍기좋은곳', '사진촬영', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=76be552d-aa5f-4141-a5b3-ddf598b16651&thumb
담양 음식테마거리,전남 담양군,061-380-3155,"['관광지', '맛집', '수제음식', '연인과함께', '음식문화', '음식문화거리', '음식탐험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3caf47ac-a75e-4fa7-a099-1b566249d642&thumb
갓바위 문화타운,전남 목포시,061-270-8598,"['갓바위문화타운', '관광지', '기념관', '드라이브여행', '바다풍경', '박물관', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0e7a2453-afcc-4451-a260-570400e070c0&thumb
모암마을 [산촌체험마을],전남 장성군,061-390-7608,"['가족과함께', '관광지', '농촌체험', '산촌체험', '산촌체험마을', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e726fc85-f935-4228-bd7d-cabb71f21112&thumb
해남 동해김치마을,전남 해남군,061-534-1743,"['가족여행', '관광지', '김치실습', '김치체험', '어촌체험', '어촌체험마을', '이색체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=97f2b966-a9f9-4568-aa10-56a684bec7fa&thumb
봇재다원,전남 보성군,061-850-5384,"['가족여행', '관광지', '녹차', '녹차밭', '녹차밭', '녹차재배', '보성녹차', '보성녹차밭']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=639846a7-e5b7-44f2-8c12-3a3307ed5215&thumb
영산포 홍어거리,전남 나주시,061-286-4052,"['가족여행', '관광지', '나주3대맛거리', '맛집', '영산포홍어거리', '이색거리', '전라권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ba455e51-0bf4-4470-b436-4561304334e7&thumb
신리어촌체험마을,전남 장흥군,010-2031-2201,"['가족과함께', '관광지', '어촌마을', '어촌체험', '이색체험', '자연마을', '자연여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4ac4394c-9015-4f3c-b73a-55ae062557bd&thumb
섬진강 도깨비마을,전남 곡성군,061-363-2953,"['관광지', '문화마을', '산업관광', '섬진강도깨비마을', '아이와함께', '예술', '자연마을']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3318cda4-7390-44fe-a7f6-afb40b13b784&thumb
마복산 목재문화체험장,전남 고흥군,061-830-5430,"['가족과함께', '가족여행', '관광지', '교육프로그램', '남녀노소', '마복산목재문화체험장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c256b9ed-7bf8-420a-9e27-735ccd2947f6&thumb
죽림어촌체험마을,전남 진도군,061-544-6645,"['관광지', '어촌체험', '이색체험', '자연마을', '자연여행', '자연좋은곳', '자연풍경']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d6b3a9a4-e477-41d9-9461-2df11c4f8f8c&thumb
돌산갓 장터마을,전남 여수시,061-644-8722,"['가족여행', '관광지', '농촌전통테마마을', '돌산갓장터마을', '전라권', '체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6cb4623f-e881-498d-b6d6-c79d2fcd3e9d&thumb
송계 어촌체험마을,전남 무안군,061-454-8737,"['가족여행', '가족체험여행', '관광지', '바다풍경', '생태관광지', '송계어촌체험마을']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3ea2394d-d2d9-4207-83ae-abcd075105f6&thumb
완도 청해포구촬영장,전남 완도군,061-555-4500,"['관광지', '드라마 촬영지', '드라마세트장', '사진여행', '사진찍기', '사진찍기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7103fcbb-0bf7-446f-9aad-f5b1497cbb12&thumb
나주 구진포 장어거리,전남 나주시,061-286-4052,"['가족여행', '관광지', '구진포장어거리', '나주3대맛거리', '맛집', '몸보신', '몸보신여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bfe9aebc-329f-40c8-9d10-4b2ac34aa6eb&thumb
나주 영산나루마을,전남 나주시,061-335-3882,"['가족여행', '관광지', '기차여행', '나들이', '나주영산나루마을', '데이트코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0cc630ad-396c-411f-8630-942c56431ed6&thumb
별나로마을,전남 고흥군,010-9851-7536,"['가족체험', '갯벌체험', '경치좋은곳', '관광지', '별나로마을', '아이와함께', '어촌마을']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e5c600d5-3375-433b-ba8a-360c2ba7950c&thumb
무월마을,전남 담양군,061-381-1607,"['가족여행', '관광지', '농촌', '농촌마을', '농촌여행', '농촌체험마을', '농촌체험여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ba196551-9803-49d3-9412-48f4d2d51bc4&thumb
섬진강 다무락마을 [녹색관광마을],전남 구례군,061-780-2911,"['가족체험', '관광지', '녹색관광마을', '농촌마을', '농촌체험', '다무락마을', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6a061027-b5b2-454a-89f4-275754a78edb&thumb
파도목장,전남 무안군,061-453-6193,"['가족과함께', '가족체험', '관광지', '목장체험', '아이가_좋아하는_여행', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=57ad2cae-eeea-4e1c-ac39-9efb41f122aa&thumb
진도 의신사천마을 [농촌체험휴양마을],전남 진도군,061-543-5889,"['가족여행', '가족체험', '관광지', '농촌마을', '농촌체험', '농촌체험마을', '농촌체험여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=08977931-0534-4a30-a5f0-1c52c4e034c5&thumb
영광 용암마을,전남 영광군,061-351-0878,"['관광지', '연흥사', '용암마을', '전라권', '체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6994c5cb-6ff9-45f2-911b-11c45071f0d1&thumb
