name,region,tel,keyword,photo
단양 방곡도깨비마을,충북 단양군,043-422-1146,"['관광지', '도자기체험', '방곡도깨비마을', '이색체험', '자연마을', '자연속으로']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9079e7e6-6f87-43a9-891d-61930369ec14&thumb
수암골 벽화마을,충북 청주시,043-201-0916,"['가족여행', '감성사진', '관광지', '드라마촬영지', '사진찍기좋은곳', '수암골벽화마을']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=939518be-bad2-4715-9745-3b6b56aae221&thumb
충주 라바랜드,충북 충주시,043-852-7721,"['관광지', '놀이동산', '놀이동산&테마파크', '라바랜드', '아이들과가볼만한곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f91d004c-cfa7-406d-adf4-7b7361a5d319&thumb
속리산 숲체험휴양마을,충북 보은군,043-540-3220,"['가족과함께', '경치좋은곳', '관광지', '자연관광지', '자연마을', '자연여행', '자연좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ca5cabdf-4b9b-4634-a978-f4dd06b4d593&thumb
중부내륙순환열차(O-트레인),충북 제천시,1544-7788,"['가족여행', '관광지', '기차여행', '데이트코스', '봄나들이', '연인과함께', '이색열차']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=54c6515e-a73c-4527-8eb1-32b93ca62be7&thumb
상수허브랜드,충북 청주시,043-277-6633,"['관광지', '상수허브랜드', '수목원', '아이와함께', '연인과함께', '연중무휴', '자연좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1ae57162-52b3-4451-8be0-2f2de4c3dd47&thumb
진천공예마을,충북 진천군,043-532-3938,"['관광지', '체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f50318b5-5315-4931-916b-985a2cb6789d&thumb
한드미마을,충북 단양군,043-422-2831,"['가족여행', '가족체험', '관광지', '농촌마을', '농촌체험', '농촌체험마을', '농촌체험마을']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=19a05f85-abcb-4ac9-8fff-1d9a35ce8035&thumb
제천 산야초마을,충북 제천시,043-651-1357,"['관광지', '농촌체험', '아이와함께', '자연마을', '자연속으로', '자연좋은곳', '자연환경']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d9095ad2-2d8a-4375-99fc-214c6b112933&thumb
벌랏한지마을,충북 청주시,010-7750-3975,"['관광지', '농촌체험', '농촌체험마을', '농촌체험여행', '농촌체험학습', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5bcc967c-f186-4c6e-bb92-ea24f053fdb4&thumb
음성 흥미진진한 팩토리 투어센터,충북 음성군,043-530-1007,"['문화공간', '가족과함께', '관광지', '아이와함께', '연중무휴', '열린문화공간']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=71b95c18-c9a8-4f95-8f55-f0e9dc7224ab&thumb
높은벌,충북 옥천군,043-730-4622,"['경치좋은곳', '관광지', '산책길', '산책하기', '산책하기좋은곳', '자연마을', '자연환경']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c43121a0-b47e-4387-bb3e-03b4ef792b94&thumb
풍류문화관,충북 충주시,043-842-0531,"['가족과함께', '관광지', '문화공간', '복합문화공간', '연인과함께', '열린문화공간']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0e1e5805-5c52-4a33-983d-68c1892a7059&thumb
영동 국악체험촌,충북 영동군,043-740-3891,"['가족체험여행', '경상권', '관광지', '교과서속여행', '문화행사', '상설공연', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d4546b08-5806-4625-90f1-ba357c4e13f2&thumb
괴산 둔율 올갱이마을,충북 괴산군,043-830-3903,"['가족여행', '가족체험', '관광지', '괴산둔율올갱이마을', '김장체험', '농촌마을']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d457b4d9-b0b6-4093-a7b1-89eae725a257&thumb
청주에듀피아,충북 청주시,043-219-1000,"['가족체험여행', '관광지', '문화콘텐츠산업', '미세먼지_피하는_실내여행', '실내놀이터']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=00745508-f16a-4581-bb00-db30679ec441&thumb
교동민화마을(관광두레 주민사업체),충북 제천시,010-4877-3275,"['걷기길', '관광두레', '관광두레_주민사업체', '관광지', '교동민화마을', '근대산업유산']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5912e496-aba6-48ba-8767-460e4100ad99&thumb
우드트레인,충북 제천시,070-4418-5120,"['가족여행', '공예체험', '공예품', '관광지', '목공예', '목공체험', '수공예', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4571fa20-0407-40a3-b82d-b86b5bc6daae&thumb
영동 비단강숲마을,충북 영동군,043-745-5432,"['가족체험', '관광지', '농촌', '농촌길', '농촌체험', '농촌체험마을', '농촌체험여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6cef0a8a-cc82-498b-81dd-f69256e1986d&thumb
충주 하니마을,충북 충주시,043-850-2310,"['가족과함께', '가족체험', '가족체험학습', '관광지', '농촌전통테마마을', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a0fcff59-1440-4ae5-8a76-793b3a86d5ea&thumb
음성동요마을,충북 음성군,043-878-9966,"['걷기길', '관광지', '교과서속여행', '남녀노소', '산책하기', '산책하기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d84aa57b-45d1-4697-8be6-29be7a26d384&thumb
보은 분저실마을,충북 보은군,070-7723-8592,"['관광지', '농촌', '농촌체험', '농촌체험마을', '농촌체험여행', '농촌체험학습']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b062745a-2393-49c2-a61b-0ce0e0811ab9&thumb
백마권역마을,충북 괴산군,043-836-9911,"['가족여행지', '가족체험', '관광지', '농촌', '농촌길', '농촌체험', '농촌체험마을']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=56ac8edb-4dc2-4cbf-899e-d41a2407c626&thumb
단양 감골 바람개비마을,충북 단양군,043-420-3977,"['가족여행', '감골바람개비마을', '관광지', '농촌마을', '농촌전통테마마을', '농촌체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=77674b49-40ae-455e-93ae-d03120df7803&thumb
충주 민속공예거리,충북 충주시,043-120,"['고미술품', '공예품', '관광지', '문화예술활동', '미술작품', '석공예', '수공예']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8122e83c-2209-40df-bbfb-6e8d9314a6cc&thumb
청원 연꽃마을,충북 청주시,043-232-8400,"['가족체험', '관광지', '농촌', '농촌마을', '농촌체험', '농촌체험마을', '농촌체험여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=671c1f22-b035-435b-ab7f-150ac558b998&thumb
덕동생태숲,충북 제천시,043-220-5517,"['관광지', '덕동생태숲', '생태숲', '이색체험', '자연', '체험', '충청권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ab377151-dcb1-4576-b043-849daf6e3fc9&thumb
