name,region,tel,keyword,photo
강릉 경포대,강원 강릉시,033-640-5119,"['강원권', '경포대', '관광지', '역사', '역사공부', '역사관광지', '역사문화재', '역사속']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=592e36f8-4c9c-4e08-b7de-66406a84873a&thumb
낙산사,강원 양양군,033-672-2447,"['가족여행', '강원권', '관광지', '기차여행', '나들이', '낙산사', '사찰&산사', '서울근교여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ab292223-ce92-456e-8b5b-3fcaae0bc4fa&thumb
오죽헌,강원 강릉시,033-660-3301,"['가족여행', '강원권', '관광지', '교과서속여행', '기차여행', '나들이', '당일치기여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=15238c3a-0e3d-4bc4-8c6c-fb192a6d8185&thumb
월정사·월정사 전나무숲,강원 평창군,033-339-6800,"['가족여행', '강원권', '관광지', '기차여행', '나들이', '당일치기여행', '데이트코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=86f43050-d945-4213-99e2-51376c35ac11&thumb
강릉 선교장,강원 강릉시,033-648-5303,"['강원권', '관광지', '국가민속문화재', '선교장', '역사', '역사공부', '역사관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7c9fdc5d-b93a-473f-89ad-307d797c9c1e&thumb
화진포의 성(김일성별장),강원 고성군,033-680-3677,"['가족과함께', '강원권', '고성가볼만한곳', '관광지', '교과서속여행', '김일성별장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6f8b69e9-3167-40bd-b26e-5b74c80fdf2f&thumb
청간정,강원 고성군,033-680-3353,"['강원권', '강원도유형문화재', '경치좋은곳', '관광지', '관동팔경', '교과서속여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=759ad8e6-33b5-48ac-9fe0-2b0431f98468&thumb
설악산 권금성,강원 속초시,033-636-7700,"['가족여행', '강원권', '관광지', '기차여행', '나들이', '단풍여행', '데이트코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e1c064b0-b04e-4f4c-b89c-31eaa7109ac0&thumb
고성 왕곡마을,강원 고성군,033-631-2120,"['가족여행', '고성왕곡마을', '관광지', '기차여행', '나들이', '데이트코스', '마을축제']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=861be136-147c-4616-8f57-e7060697688d&thumb
휴휴암(강원),강원 양양군,033-671-0093,"['관광지', '불교', '불교문화', '사찰', '사찰여행', '역사', '자연좋은곳', '자연환경']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9caf7cf7-7dc4-47a4-b773-dd57ef7a4bfb&thumb
대관령 황태덕장마을,강원 평창군,033-335-5301,"['가족과함께', '경치좋은곳', '관광지', '남녀노소', '농촌마을', '농촌여행', '대관령']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=848e0c78-0595-4cee-b9b7-f17c17992e9e&thumb
청령포 (강원고생대 국가지질공원),강원 영월군,033-560-2379,"['가족여행', '강원고생대_국가지질공원', '관광지', '교과서속여행', '국가지질공원']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=533b2bab-02b3-4624-a0bc-9543e68a791d&thumb
횡성 풍수원천주교회(풍수원성당),강원 횡성군,033-342-0035,"['강원권', '관광지', '기차여행', '나들이', '서울근교여행', '아이와함께', '역사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cdc41ab8-964a-4988-b227-5d2691e26bcc&thumb
DMZ 생태평화공원,강원 철원군,033-458-3633,"['DMZ', 'DMZ생태평화공원', 'DMZ여행', '강원권', '걷기여행', '경치좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5b1c9a09-5be0-4b95-b2a3-933807b57c3f&thumb
영월 장릉(단종) [유네스코 세계문화유산],강원 영월군,033-374-4215,"['가족여행', '강원권', '관광지', '교과서속여행', '나들이', '서울근교여행', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3807eb97-4a7c-47dd-b68e-db2c460a7c08&thumb
천학정/문암포구,강원 고성군,033-680-3361,"['강원권', '관광지', '동해안', '문암포구', '바다', '역사', '역사공부', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ccacc3ef-de92-43cf-8418-fbddaf4117e2&thumb
제2땅굴(철원),강원 철원군,033-450-5559,"['가족과함께', '관광지', '아이와함께', '안보관광', '안보여행', '안보체험', '역사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e64ada4a-b33b-4d66-8f46-41f9113c572c&thumb
신흥사(설악산),강원 속초시,033-636-7044,"['강원권', '관광지', '나홀로여행', '불교', '불교문화', '사찰', '사찰여행', '산사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=24bcd734-2761-443b-b811-0679c4581c77&thumb
김유정 문학촌,강원 춘천시,033-261-4650,"['강원권', '관광지', '김유정문학촌', '김유정역', '남녀노소', '문학기행', '산책하기']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bc50dad0-6b8a-4d50-9137-af4f953aa8b7&thumb
정암사,강원 정선군,033-591-2469,"['가족여행', '강원권', '관광지', '기차여행', '나들이', '당일치기여행', '사찰&산사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3ae2834b-4c4f-4989-97f9-0ef161995a84&thumb
백담사,강원 인제군,033-462-6969,"['강원권', '관광지', '백담사', '불교', '불교문화', '사찰여행', '역사', '역사관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=84726b44-2fa7-46b7-a406-123f91d4ba3d&thumb
