name,region,tel,keyword,photo
만어사,경남 밀양시,055-356-2010,"['경상권', '관광지', '만어사', '불교', '불교문화', '사찰', '사찰여행', '역사', '역사유적지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1f7d68af-1674-4272-922a-02d3de777709&thumb
금산 보리암(남해),경남 남해군,055-860-5800,"['가족여행', '관광지', '금산보리암', '불교', '불교문화', '사찰', '사찰&산사', '사찰여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=019d2e36-ffdb-4390-aaa3-6d4a898794ca&thumb
해저터널(통영),경남 통영시,055-650-0582,"['걷기길', '경상권', '관광지', '아이와함께', '역사', '역사공부', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e4e15bc8-5215-42cd-bc58-7c5e619e144c&thumb
해인사(합천),경남 합천군,055-934-3000,"['19_20한국관광100선', '가족여행', '경상권', '관광지', '교과서속여행', '불교']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e1ee5617-ca9e-4e49-b508-35aa49737c9c&thumb
통도사[유네스코 세계문화유산],경남 양산시,055-382-7182,"['가족여행', '관광지', '교과서속여행', '사찰&산사', '아이와함께', '역사', '역사공부']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cd9a6f58-ad85-480d-8414-e7e772f283bb&thumb
남해 물건리 방조어부림,경남 남해군,055-860-8605,"['가족여행', '경상권', '경상남도여행', '경치좋은곳', '관광지', '남해물건리방조어부림']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0193bd92-488f-422e-b906-e2133abba154&thumb
대방진굴항,경남 사천시,055-831-2728,"['가족여행', '경치좋은곳', '관광지', '대방진굴항', '사천가볼만한곳', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ac06227b-c4bf-400d-9865-550d5f24b277&thumb
최참판댁,경남 하동군,1588-3186,"['가족여행', '경상권', '관광지', '드라마촬영지', '슬로우시티', '역사', '역사공부']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5d1c4a49-2f8c-41ad-871c-10a09bd237a4&thumb
진주성,경남 진주시,055-749-5170,"['가족여행', '경상권', '관광지', '아이와함께', '역사', '역사공부', '역사관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=676098e1-dd7f-4e34-9dc8-f774505e6020&thumb
쌍계사(하동),경남 하동군,055-883-1901,"['경상권', '관광지', '불교', '불교사찰', '사찰', '산사', '쌍계사', '역사', '역사유적지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0b430d55-6114-4f12-8123-f8ed460edfe0&thumb
남사예담촌,경남 산청군,070-8199-7107,"['가족여행', '경상권', '관광지', '남사예담촌', '농촌전통테마마을', '역사', '역사공부']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=952ec3ef-fb0f-4f91-ad76-a899b368e4f4&thumb
밀양 영남루,경남 밀양시,055-356-1355,"['가족여행', '경상권', '관광지', '밀양영남루', '보물', '역사', '역사를품은곳', '역사속으로']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fa385655-e792-4c0d-8ad5-17242db9238d&thumb
당항포관광지,경남 고성군,055-670-4505,"['가족과함께', '경상권', '관광지', '남녀노소', '당항포', '당항포관광지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=85940320-7b60-433b-8147-1e80e46d870b&thumb
다솔사(경남),경남 사천시,055-853-0283,"['가족여행', '경상권', '관광지', '다솔사', '불교', '불교문화', '사찰', '사찰여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=973c1627-c5a9-4a78-956c-0a89856d5bf2&thumb
남해 관음포 이충무공 유적,경남 남해군,055-860-8633,"['가족여행', '경상권', '관광지', '교과서속여행', '나들이', '남해관음포이충무공유적']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=363c0a21-1c98-4b26-8647-7a09d66d8ae0&thumb
표충사(밀양),경남 밀양시,055-352-1150,"['가족여행', '관광지', '불교', '불교문화', '사찰&산사', '아이와함께', '역사', '역사유적지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=12b98194-f41b-48c4-839b-b805167cd89a&thumb
통영 세병관,경남 통영시,055-650-4514,"['경상권', '관광지', '교과서속여행', '문화재', '세병관', '역사', '역사공부', '역사관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=48cf4385-cb21-4278-ae8a-5dad71accc26&thumb
경남 하동 악양 [슬로시티],경남 하동군,055-880-2370,"['가족과함께', '관광지', '슬로시티', '아이와함께', '역사', '자연마을', '자연환경']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2eebc89d-0097-4a0d-8d11-e731b13d3d52&thumb
용암서원(합천),경남 합천군,055-930-3178,"['경상권', '관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4608fe4f-25ac-45b7-bc8c-f29f870c498b&thumb
거창 수승대,경남 거창군,055-940-8530,"['가족여행', '거창수승대', '경상권', '관광지', '역사', '역사공부', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5697f179-ccaa-4d93-8daa-42677ecc0eee&thumb
촉석루,경남 진주시,055-749-5171,"['가족여행', '관광지', '교과서속여행', '아이와함께', '역사', '역사공부', '역사관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7015078a-0bcb-4b12-9582-04bf2c9b17e6&thumb
화방사(남해),경남 남해군,055-863-5014,"['경상권', '관광지', '남해화방사', '불교', '불교문화', '사찰', '사찰여행', '역사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7049ccc5-074a-4489-ab0f-f7d719a5e2e7&thumb
개평한옥마을,경남 함양군,055-960-4537,"['개평한옥마을', '경상권', '고택', '관광지', '문화재', '역사', '역사공부', '역사관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8e24b9ad-e6d9-4a3f-98e4-c28ea2d2789b&thumb
산청 전 구형왕릉,경남 산청군,055-970-6411,"['경상권', '관광지', '사적', '산청전구형왕릉', '역사', '역사유적지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=03b76a54-e084-4231-8fab-a91b78c8a42c&thumb
사천선진리왜성,경남 사천시,055-831-2716,"['가족여행', '관광지', '교과서속여행', '사천선진리왜성', '아이와함께', '역사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ce1809e3-24f2-4ecc-8387-7d2345c0a127&thumb
칠불사(하동),경남 하동군,055-883-1869,"['관광지', '불교', '불교문화', '불교사찰', '사찰', '사찰여행', '역사', '자연속으로']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f90afac4-928b-4757-b033-77797fc7db50&thumb
월봉서원,경남 김해시,055-330-3934,"['경상권', '경상남도문화재자료', '관광지', '역사', '역사공부', '역사관광지', '역사문화재']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0488f817-5787-40f8-87a0-c1c79a9296d3&thumb
미래사(통영),경남 통영시,055-645-5324,"['경상권', '관광지', '미래사', '미륵산', '사찰', '산사', '역사', '역사유적지', '연중무휴']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=675deee6-fb3a-4698-a9e5-7e7fab8a8474&thumb
칠탄서원,경남 밀양시,055-359-5637,"['가족여행', '경상권', '경상남도문화재자료', '관광지', '역사', '역사공부', '역사관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=efa6441e-2189-4d36-9406-51aeeb6214e2&thumb
문수암(고성),경남 고성군,055-672-8078,"['경상권', '관광지', '문수암', '불교', '불교문화', '불교사찰', '사찰', '사찰여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=124a11d5-f119-4c82-a18f-1e72af0fe8e2&thumb
충렬사,경남 통영시,055-645-3229,"['관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재', '역사속']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f1ae7188-3eab-48ef-9df1-3e8c8b99dd1d&thumb
남계서원 [유네스코 세계문화유산],경남 함양군,055-960-4537,"['관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재', '역사속']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=85b1fb48-9cf7-4ab2-888f-445c3cf51d0a&thumb
생초국제조각공원,경남 산청군,055-970-7221,"['가족과함께', '경상권', '경치좋은곳', '관광지', '문화예술', '산책하기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ce0f34b1-be25-4b54-b95c-2198c1e6d8c4&thumb
진영 봉하마을과 노무현 대통령 생가,경남 김해시,1688-0523,"['걷기길', '경상권', '관광지', '교과서속여행', '노무현대통령생가', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c9fab820-cd79-4c9e-b988-8f3727c9edab&thumb
함안 채미정,경남 함안군,055-580-2551,"['경상권', '경치좋은곳', '관광지', '역사', '역사공부', '역사관광지', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f10e442b-40c8-446f-9e33-9a9bb47f812a&thumb
문수암 (산청),경남 산청군,055-973-5820,"['경상권', '관광지', '문수암', '사찰', '역사', '역사공부', '역사관광지', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6275d541-2f92-46d9-967d-8eb92847bcf6&thumb
통영 삼도수군통제영,경남 통영시,055-645-3805,"['관광지', '교과서속여행', '문화행사', '역사', '역사유적지', '이색체험', '전시관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b86d8fa5-cf55-4600-853a-eef5f49ba505&thumb
