name,region,tel,keyword,photo
국립대전현충원,대전 유성구,042-718-7114,"['가족여행', '관광지', '국립대전현충원', '기념관', '순국선열', '아이와함께', '언택트관광지_100선']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f4f32980-1081-4880-a254-08f2d4f8762c&thumb
우암사적공원,대전 동구,042-673-9286,"['가족여행', '걷기길', '관광지', '교과서속여행', '산책길', '산책하기', '산책하기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1bb9b153-9fc0-4bdc-89f3-9604c280aecc&thumb
대전 계족산성,대전 대덕구,042-608-6574,"['걷기길', '계족산', '관광지', '교과서속여행', '대전계족산성', '아이와함께', '역사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ade42d09-b7fc-49f6-98d5-7c4add41da9d&thumb
남간정사,대전 동구,042-662-2363,"['관광지', '교과서속여행', '남간정사', '문화재', '역사', '역사공부', '역사관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b671207e-e96a-4ec0-8274-6bc1a60afd63&thumb
진잠향교,대전 유성구,042-611-2078,"['관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재', '역사속']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4b987ca7-70ab-47cc-9e3a-bc21f21423be&thumb
둔산선사유적지,대전 서구,042-288-2716,"['관광지', '교과서속여행', '둔산선사유적지', '아이와함께', '역사', '역사관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=76fd4dc4-3af2-44e1-b4ea-6e2db9237b40&thumb
사교루,대전 유성구,042-611-2078,"['관광지', '교과서속여행', '사교루', '역사', '역사공부', '역사관광지', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=eba6b22f-5285-4091-bb00-f53ea0efd273&thumb
내원사(대전),대전 서구,042-531-3901,"['관광지', '대전내원사', '불교', '불교문화', '사찰', '사찰여행', '역사', '연중무휴']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bf5b27a7-efa7-45f2-a05f-ca56cd377c68&thumb
단재 신채호선생생가지,대전 중구,053-661-2193,"['관광지', '교과서속여행', '신채호선생생가지', '역사', '역사공부', '역사관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=49ce505c-1a8b-4037-893b-9124b59b7091&thumb
대전 회덕 동춘당,대전 대덕구,042-608-6574,"['관광지', '보물', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6c93d1fe-d553-4be1-923e-112ebc9838ea&thumb
자광사(대전),대전 유성구,042-822-9220,"['관광지', '불교', '불교문화', '사찰', '사찰여행', '역사', '자연관광지', '자연여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=null&thumb
문충사,대전 동구,042-662-2363,"['관광지', '교과서속여행', '문충사', '문화재', '사찰', '역사', '역사공부', '역사관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fbd011eb-ebed-4a19-ba81-5e3f03ac1c3b&thumb
초연물외암각,대전 대덕구,042-608-6574,"['관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재', '역사속']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=203b8594-7816-45a3-b370-17413e432814&thumb
도산서원,대전 서구,042-288-2716,"['관광지', '교과서속여행', '도산서원', '문화재', '서원', '역사', '역사공부', '역사관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d5b4dc37-eade-4377-b8f8-a7874abdd05c&thumb
